"arquivo","variavel","descricao","tipo_armazenamento","nivel_medida","fonte","preenchimento","cobertura_temporal","linhas"
"mandatos.csv","ano_eleicao","Ano da eleicao de origem","inteiro","Ordinal","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","unidade_posicao","Unidade em que a posicao e disputada, isto e, codigo TSE do municipio (cargos municipais), UF (estaduais e federais) ou BR (presidente)","texto","Categorico","Autor, a partir de TSE","100.0%","1998(1)2022",4253
"mandatos.csv","id_mandato","Identificador do mandato, na forma M<ano>_<unidade>_<cd_cargo>_<nr_candidato>_<sq_candidato>","texto","Categorico","Autor, identificador construido na deduplicacao","100.0%","1998(1)2022",4253
"mandatos.csv","id_pessoa","Identificador estavel da pessoa (BOCEL + 7 digitos), herdado entre versoes pela referencia ref/ids_pessoa_referencia.parquet; pessoa nova recebe numero acima do maior ja usado","texto","Categorico","Autor, identificador construido na deduplicacao","100.0%","1998(1)2022",4253
"mandatos.csv","sq_candidato","SQ_CANDIDATO do TSE (unico nacionalmente so a partir de 2010)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","nr_candidato","Numero do candidato na eleicao de origem","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","nr_turno_decisivo","Turno em que a eleicao se decidiu (1 ou 2)","inteiro","Numerico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","dt_eleicao","Data do pleito (turno decisivo)","data dd/mm/aaaa","Data","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","cd_cargo","Codigo TSE do cargo","inteiro","Numerico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","cargo","Descricao do cargo (PREFEITO, VEREADOR, ...)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","esfera","Esfera (municipal, estadual ou federal)","texto","Categorico","Autor, a partir de TSE","100.0%","1998(1)2022",4253
"mandatos.csv","sg_uf","UF da posicao (BR para presidente)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","sg_ue","Codigo TSE da unidade eleitoral (municipio ou UF)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","nm_ue","Nome da unidade eleitoral","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","nr_partido","Numero do partido na eleicao de origem","inteiro","Numerico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","sg_partido","Sigla do partido na eleicao de origem","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","tp_agremiacao","Tipo de agremiacao (partido isolado, coligacao, federacao)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","nm_coligacao","Nome da coligacao","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
