nome_fonte,nome_bocel,sg_ue,nome_municipio_fonte,exercicio,ano_eleicao,cargo_bocel,cargo,id_mandato_bocel,id_pessoa_bocel,id_pessoa,metodo_pareamento,mandato_inicio,mandato_fim,ok
EURIPEDES POTENCIANO DA SILVA,EURIPEDES POTENCIANO DA SILVA,94072,ITAGUARU,2015,2012,PREFEITO,PREFEITO,M2012_94072_11_22_90000001361,BOCEL0068116,BOCEL0068116,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
IRIS AURELIO BORGES DIAS,IRIS AURELIO BORGES DIAS,93270,CRISTIANOPOLIS,2007,2004,PREFEITO,PREFEITO,M2004_93270_11_22_2,BOCEL0135549,BOCEL0135549,nome_completo_eleicao,2005-01-01,2008-12-31,TRUE
GERALDO AFONSO LEITE,GERALDO AFONSO LEITE,95133,PALMELO,2008,2004,PREFEITO,PREFEITO,M2004_95133_11_11_81,BOCEL0071116,BOCEL0071116,nome_completo_eleicao,2005-01-01,2008-12-31,TRUE
GUSTAVO SILVA DE OLIVEIRA,GUSTAVO SILVA DE OLIVEIRA,92177,AMORINOPOLIS,2021,2020,PREFEITO,PREFEITO,M2020_92177_11_25_90001190235,BOCEL0180292,BOCEL0180292,nome_completo_eleicao,2021-01-01,2024-12-31,TRUE
ADELIR EMIDIO BORGES,ADELIR EMÍDIO BORGES,92550,AVELINOPOLIS,2004,2000,PREFEITO,PREFEITO,M2000_92550_11_41_81,BOCEL0075214,BOCEL0075214,nome_completo_eleicao,2001-01-01,2004-12-31,TRUE
SELMA DE OLIVEIRA BASTOS PIRES,SELMA DE OLIVEIRA BASTOS PIRES,93777,GOIAS,2015,2012,PREFEITO,PREFEITO,M2012_93777_11_13_90000008176,BOCEL0021733,BOCEL0021733,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
MARIA APARECIDA GOMES LIMA,MARIA APARECIDA GOMES LIMA,92053,ALEXANIA,2011,2008,PREFEITO,PREFEITO,M2008_92053_11_45_12014,BOCEL0068288,BOCEL0068288,nome_completo_eleicao,2009-01-01,2012-12-31,TRUE
REILA APARECIDA NAVES DE FARIAS,REILA APARECIDA NAVES DE FARIAS,92800,TURVELANDIA,2017,2016,PREFEITO,PREFEITO,M2016_92800_11_15_90000004823,BOCEL0133180,BOCEL0133180,nome_completo_eleicao,2017-01-01,2020-12-31,TRUE
GERALDO FERREIRA DE OLIVEIRA,GERALDO FERREIRA DE OLIVEIRA,93548,IPIRANGA GOIAS,2001,2000,PREFEITO,PREFEITO,M2000_93548_11_15_123,BOCEL0000120,BOCEL0000120,nome_completo_eleicao,2001-01-01,2004-12-31,TRUE
ITAMAR LEMES DO PRADO,ITAMAR LEMES DO PRADO,96776,SANTO ANTONIO DESCOBERTO,2015,2012,PREFEITO,PREFEITO,M2012_96776_11_12_90000001937,BOCEL0129561,BOCEL0129561,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
WELITON FERNANDES RODRIGUES,WELITON FERNANDES RODRIGUES,96873,CAMPINACU,2012,2008,PREFEITO,PREFEITO,M2008_96873_11_22_55,BOCEL0049300,BOCEL0049300,nome_completo_eleicao,2009-01-01,2012-12-31,TRUE
FRANCISCO CORREA SOBRINHO,FRANCISCO CORREA SOBRINHO,92932,CAMPINORTE,2018,2016,PREFEITO,PREFEITO,M2016_92932_11_90_90000019101,BOCEL0157764,BOCEL0157764,nome_completo_eleicao,2017-01-01,2020-12-31,TRUE
RONALDO FERNANDES DE QUEIROZ,RONALDO FERNANDES DE QUEIROZ,92053,ALEXANIA,2007,2004,PREFEITO,PREFEITO,M2004_92053_11_15_37,BOCEL0068533,BOCEL0068533,nome_completo_eleicao,2005-01-01,2008-12-31,TRUE
LINDOMAR GOMES FERREIRA,LINDOMAR GOMES FERREIRA,96873,CAMPINACU,2008,2004,PREFEITO,PREFEITO,M2004_96873_11_15_190,BOCEL0157563,BOCEL0157563,nome_completo_eleicao,2005-01-01,2008-12-31,TRUE
ANTÔNIO VIEIRA ROSA,ANTONIO VIEIRA ROSA,93319,CROMINIA,2012,2008,PREFEITO,PREFEITO,M2008_93319_11_23_10853,BOCEL0045850,BOCEL0045850,nome_completo_eleicao,2009-01-01,2012-12-31,TRUE
GERALDO AFONSO LEITE,GERALDO AFONSO LEITE,95133,PALMELO,2011,2008,PREFEITO,PREFEITO,M2008_95133_11_11_9933,BOCEL0071116,BOCEL0071116,nome_completo_eleicao,2009-01-01,2012-12-31,TRUE
NELIO PONTES DA CUNHA,NELIO PONTES DA CUNHA,96016,SAO MIGUEL ARAGUAIA,2019,2016,PREFEITO,PREFEITO,M2016_96016_11_45_90000003523,BOCEL0125919,BOCEL0125919,nome_completo_eleicao,2017-01-01,2020-12-31,TRUE
JOÃO BATISTA DA SILVA,JOÃO BATISTA DA SILVA,92622,SAO JOAO PARAUNA,2010,2008,PREFEITO,PREFEITO,M2008_92622_11_45_2794,BOCEL0044754,BOCEL0044754,nome_completo_eleicao,2009-01-01,2012-12-31,TRUE
MASSILON LIRA DE VASCONCELOS,MASSILON LIRA DE VASCONCELOS,93637,FORMOSO,2013,2012,PREFEITO,PREFEITO,M2012_93637_11_12_90000000711,BOCEL0119632,BOCEL0119632,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
MAURIDES RODRIGUES NASCIMENTO,MAURIDES RODRIGUES NASCIMENTO,96474,MINACU,2016,2012,PREFEITO,PREFEITO,M2012_96474_11_45_90000001279,BOCEL0049519,BOCEL0049519,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
ADAIR DIVINO DAS CHAGAS,ADAIR DIVINO DAS CHAGAS,92312,ARACU,2013,2012,PREFEITO,PREFEITO,M2012_92312_11_15_90000027725,BOCEL0075152,BOCEL0075152,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
MARCOS ANTÔNIO DE OLIVEIRA,MARCOS ANTONIO DE OLIVEIRA,92339,ARAGARCAS,2006,2004,PREFEITO,PREFEITO,M2004_92339_11_13_250,BOCEL0118897,BOCEL0118897,nome_completo_eleicao,2005-01-01,2008-12-31,TRUE
MARCOS ROGER GARCIA REIS,MARCOS ROGER GARCIA REIS,93319,CROMINIA,2014,2012,PREFEITO,PREFEITO,M2012_93319_11_15_90000004138,BOCEL0177939,BOCEL0177939,nome_completo_eleicao,2013-01-01,2016-12-31,TRUE
