metodo_pareamento,uf,sg_ue,ano_eleicao_bocel,nome_fonte,nome_parlamentar,nm_cand_tse,nome_urna_tse,id_mandato_bocel,titular,data_inicio_mandato,data_fim_mandato,forma_saida,url
nome_completo,MT,91910,2020,Heronides Silveira Junior,Heronides Silveira Junior,HERONIDES SILVEIRA JUNIOR,JUNIOR SILVEIRA,M2020_91910_13_22222_110001019251,TRUE,2021-01-01,2024-12-31,fim_regular,https://sapl.aguaboa.mt.leg.br/api/parlamentares/mandato/47/
nome_completo,SC,80004,2016,Joel de Oliveira,Joel de Oliveira,JOEL DE OLIVEIRA,JOEL VACARIANO,M2016_80004_13_11611_240000015552,TRUE,2017-01-01,2020-12-31,fim_regular,https://sapl.montecarlo.sc.leg.br/api/parlamentares/mandato/4/
nome_completo,PI,10286,2012,ADRIANA DE CARVALHO FERREIRA,ADRIANA DE PLINIO,ADRIANA DE CARVALHO FERREIRA,ADRIANA DE PLINIO,M2012_10286_13_15444_180000013302,TRUE,2013-01-01,2016-12-31,fim_regular,https://sapl.jacobinadopiaui.pi.leg.br/api/parlamentares/mandato/46/
nome_completo,RN,16152,2024,Josimário Jackson da Silva Maciel,Novinho Maciel,JOSIMÁRIO JACKSON DA SILVA MACIEL,NOVINHO MACIEL,M2024_16152_13_15333_200002173474,TRUE,2025-01-01,2028-12-31,fim_regular,https://sapl.angicos.rn.leg.br/api/parlamentares/mandato/14/
nome_completo,PR,79154,2012,Mario Cesar Marcondes,Cesinha,MÁRIO CÉSAR MARCONDES,CESINHA,M2012_79154_13_14600_160000033224,TRUE,2013-01-01,2016-12-31,fim_regular,https://sapl.telemacoborba.pr.leg.br/api/parlamentares/mandato/22/
nome_completo,BA,35955,2016,ANTONIO ANDRADE SANTOS NETO,BODINHO NETO,ANTONIO ANDRADE SANTOS NETO,BODINHO NETO,M2016_35955_13_70999_50000026646,TRUE,2017-01-01,2020-12-31,fim_regular,https://sapl.itaberaba.ba.leg.br/api/parlamentares/mandato/280/
nome_completo,CE,13188,2008,Luciano Nogueira da Silva,Irmão Luciano do Mercado,LUCIANO NOGUEIRA DA SILVA,LUCIANO DO MERCADO,M2008_13188_13_10123_1225,TRUE,2009-01-01,2012-12-31,fim_regular,https://sapl.horizonte.ce.leg.br/api/parlamentares/mandato/51/
nome_completo,SC,83550,2004,Elói Mariano Rocha,Elói Mariano Rocha,ELÓI MARIANO ROCHA,PROFESSOR ELÓI,M2004_83550_13_11233_47,TRUE,2005-01-01,2008-12-31,fim_regular,https://sapl.tijucas.sc.leg.br/api/parlamentares/mandato/103/
nome_completo,RS,89516,2000,Joao Adalberto da Rosa e Silva,Adalberto Silva,JOÃO ADALBERTO DA ROSA E SILVA,ADALBERTO SILVA,M2000_89516_13_11650_252,TRUE,2001-01-01,2004-12-31,fim_regular,https://sapl.uruguaiana.rs.leg.br/api/parlamentares/mandato/38/
nome_completo,CE,13196,2016,Francisco Carlos de Freitas Cavalcante,Chico Carlos,FRANCISCO CARLOS DE FREITAS CAVALCANTE,CHICO CARLOS,M2016_13196_13_51999_60000005633,TRUE,2017-01-01,2020-12-31,fim_regular,https://sapl.aquiraz.ce.leg.br/api/parlamentares/mandato/34/
