"id_mandato_bocel","uf","ano_eleicao","nome","nome_completo","metodo_pareamento","nome_bocel","urna_bocel"
"M1998_MG_7_11211_130001307112111","MG",1998,"Luiz Fernando Faria","Luiz Fernando Faria","tokens_nome_completo_no_civil","LUIZ FERNANDO RAMOS FARIA","LUIZ FERNANDO"
"M1998_MG_7_12120_130001307121201","MG",1998,"Marcelo Gonçalves","Marcelo Gonçalves","tokens_nome_completo_no_civil","MARCELO JERÔNIMO GONÇALVES","DR. MARCELO"
"M1998_MG_7_15169_130001307151691","MG",1998,"Jorge Eduardo de Oliveira","Jorge Eduardo de Oliveira","tokens_nome_completo_no_civil","JORGE EDUARDO VIEIRA DE OLIVEIRA","JORGE EDUARDO"
"M1998_MG_7_25234_130001307252341","MG",1998,"Sebastião Navarro Vieira","Sebastião Navarro Vieira","tokens_nome_completo_no_civil","SEBASTIÃO NAVARRO VIEIRA FILHO","SEBASTIÃO NAVARRO"
"M1998_MG_7_45155_130001307451551","MG",1998,"Antônio Carlos Andrada","Antônio Carlos Andrada","tokens_nome_completo_no_civil","ANTÔNIO CARLOS DOORGAL DE ANDRADA","TONINHO ANDRADA"
"M2002_MG_7_25234_1846","MG",2002,"Sebastião Navarro Vieira","Sebastião Navarro Vieira","tokens_nome_completo_no_civil","SEBASTIÃO NAVARRO VIEIRA FILHO","SEBASTIÃO NAVARRO"
"M2002_MG_7_43400_1374","MG",2002,"Doutor Ronaldo","Doutor Ronaldo","tokens_no_nome_de_urna","RONALDO JOÃO DA SILVA","DOUTOR RONALDO JOÃO"
"M2002_MG_7_45155_1638","MG",2002,"Antônio Carlos Andrada","Antônio Carlos Andrada","tokens_nome_completo_no_civil","ANTÔNIO CARLOS DOORGAL DE ANDRADA","TONINHO ANDRADA"
"M2002_MG_7_45220_1877","MG",2002,"Fahim Sawan","Fahim Sawan","tokens_nome_completo_no_civil","FAHIM MIGUEL SAWAN","FAHIM"
"M2002_MG_7_45789_1805","MG",2002,"Ana Maria Resende","Ana Maria Resende","tokens_nome_completo_no_civil","ANA MARIA RESENDE VIEIRA","ANA MARIA"
"M2006_MG_7_15000_10284","MG",2006,"Vanderlei Miranda","Vanderlei Miranda","tokens_nome_completo_no_civil","VANDERLEI ANDRADE MIRANDA","PASTOR VANDERLEI MIRANDA"
"M2006_MG_7_15196_10299","MG",2006,"José Henrique","José Henrique","tokens_nome_completo_no_civil","JOSÉ HENRIQUE LISBOA ROSA","ZÉ HENRIQUE"
"M2006_MG_7_25200_11045","MG",2006,"Elmiro Nascimento","Elmiro Nascimento","tokens_nome_completo_no_civil","ELMIRO ALVES DO NASCIMENTO","ELMIRO"
"M2006_MG_7_45045_11066","MG",2006,"Lafayette de Andrada","Lafayette de Andrada","tokens_nome_completo_no_civil","LAFAYETTE LUIZ DOORGAL DE ANDRADA","LAFAYETTE ANDRADA"
"M2010_MG_7_15300_130000001882","MG",2010,"Tadeu Leite","Tadeu Leite","tokens_nome_completo_no_civil","LUIZ TADEU MARTINS LEITE","TADEUZINHO"
