rid,legislatura,nome_norm,data_ato,forma,papel,padrao,doc_id
2,14,ADEMIR BIER,2002-02-26,outro,sai,substituicao,2002-02-26_diario-006.zip
3,14,ALBANOR GOMES,1999-09-13,suplente_efetivado,entra,assume_cadeira,1999-09-13_diario-114.zip
3,14,ALBANOR GOMES,2000-06-14,licenca,sai,pedido_licenca,2000-06-14_diario-078-e-079.zip
3,14,ALBANOR GOMES,2000-06-19,licenca,sai,marca_licenca,2000-06-19_diario-081-e-082.zip
3,14,ALBANOR GOMES,2000-06-19,licenca,sai,marca_licenca,2000-06-19_diario-081-e-082.zip
3,14,ALBANOR GOMES,2000-06-20,licenca,sai,marca_licenca,2000-06-20_diario-083-e-084.zip
3,14,ALBANOR GOMES,2000-06-20,licenca,sai,marca_licenca,2000-06-20_diario-083-e-084.zip
3,14,ALBANOR GOMES,2000-06-26,licenca,sai,marca_licenca,2000-06-26_diario-087-e-088.zip
3,14,ALBANOR GOMES,2000-06-28,licenca,sai,marca_licenca,2000-06-28_diario-092.zip
3,14,ALBANOR GOMES,2000-06-28,licenca,sai,marca_licenca,2000-06-28_diario-092.zip
4,14,ALGACI TULIO,2001-06-19,cassacao,sai,substituicao,2001-06-19_diario-086.zip
5,14,ANGELO VANHONI,2000-10-04,licenca,sai,pedido_licenca,2000-10-04_diario-132-e-133.zip
6,14,ANIBAL KHURY,1999-10-26,falecimento,sai,falecido_em,1999-10-26_diario-152-e-153.zip
8,14,ANTONIO BARATTER,1999-02-23,suplente_efetivado,entra,ata_posse,1999-02-23_diario-005.zip
8,14,ANTONIO BARATTER,2001-09-19,falecimento,sai,falecido_em,2001-09-19_diario-129.zip
8,14,ANTONIO BARATTER,2001-09-20,falecimento,sai,falecido_em,2001-09-20_diario-130.zip
12,14,BETO RICHA,2001-02-15,renuncia,sai,ata_posse,2001-02-15_diario-001.zip
13,14,CAITO QUINTANA,1999-02-23,suplente_efetivado,entra,ata_posse,1999-02-23_diario-005.zip
13,14,CAITO QUINTANA,1999-09-01,suplente_efetivado,entra,ata_posse,1999-09-01_avulso.zip
13,14,CAITO QUINTANA,1999-09-01,suplente_efetivado,entra,ata_posse,1999-09-01_avulsoanais.zip
14,14,CARLOS SIMOES,2001-06-19,suplente_efetivado,entra,substituicao,2001-06-19_diario-086.zip
19,14,DIVANIR BRAZ PALMA,2002-02-26,suplente_efetivado,entra,substituicao,2002-02-26_diario-006.zip
