ano_eleicao,nome,condicao,forma_saida,data_inicio_exercicio,data_fim_exercicio,id_mandato_bocel,metodo_pareamento,id_fonte
1998,Ademar Luiz Traiano,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_14222_160001607142221,primeiro_ultimo_x_nome_bocel,1999-02-01_diario-001.zip
1998,Ademir Bier,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_15280_160001607152801,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Albanor Gomes,suplente,suplente_efetivado,1999-09-13,2000-09-11,,,1999-09-13_diario-114.zip
1998,Algaci Túlio,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_14140_160001607141401,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Ângelo Vanhoni,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_13222_160001607132221,primeiro_ultimo_x_nome_bocel,1999-02-01_diario-001.zip
1998,Anibal Khury,titular,falecimento,1999-02-01,1999-08-30,M1998_PR_7_25128_160001607251281,nome_parlamentar_x_nome_bocel,1999-10-26_diario-152-e-153.zip
1998,Antonio Annibelli,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_15190_160001607151901,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Antonio Carlos Baratter,suplente,suplente_efetivado,1999-02-04,2003-01-31,,,1999-02-23_diario-005.zip
1998,Antonio Carlos Belinati,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_40123_160001607401231,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Augustinho Zucchi,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_11311_160001607113111,nome_parlamentar_x_nome_bocel,1999-02-01_diario-001.zip
1998,Basílio Zanusso,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_25103_160001607251031,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Beto Richa,titular,renuncia,1999-02-01,2001-01-02,M1998_PR_7_14150_160001607141501,ultimo_vocabulo_x_urna,2001-02-15_diario-001.zip
1998,Caíto Quintana,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_15107_160001607151071,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Carlos Simões,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_14190_160001607141901,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Cesar Seleme,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_11111_160001607111111,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Cezar Silvestri,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_14121_160001607141211,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Chico Noroeste,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_20104_160001607201041,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Cleiton Kielse,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_25250_160001607252501,ultimo_vocabulo_x_urna,1999-02-01_diario-001.zip
1998,Divanir Braz Palma,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_11900_160001607119001,nome_parlamentar_x_nome_bocel,1999-02-01_diario-001.zip
1998,Duílio Genari,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_11223_160001607112231,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
1998,Durval Amaral,titular,fim_regular,1999-02-01,2003-01-31,M1998_PR_7_25252_160001607252521,nome_parlamentar_x_urna,1999-02-01_diario-001.zip
