ano_eleicao,nome,condicao,data_inicio_exercicio,data_fim_exercicio,id_fonte
1998,Ana do Carmo,suplente,2003-02-10,2003-03-14,300400
1998,Antonio Mentor,suplente,2001-01-03,2003-03-14,300392
1998,Bruno Feder,suplente,2003-01-13,2003-03-14,300398
1998,Carlos Gaspar,suplente,2001-01-24,2002-01-21,300397
1998,Carlos Gaspar,suplente,2003-02-03,2003-03-14,300397
1998,Carlão Camargo,suplente,2001-01-03,2003-03-14,300391
1998,Cândido Vaccarezza,suplente,2001-01-03,2003-03-14,300393
1998,Djalma Bom,suplente,2003-01-06,2003-03-14,300307
1998,Donisete Braga,suplente,2001-01-03,2003-03-14,300394
1998,Emídio de Souza,suplente,2001-01-03,2002-11-20,300395
1998,Emídio de Souza,suplente,2003-02-03,2003-03-14,300395
1998,Flávio Chaves,suplente,2003-02-03,2003-03-14,300340
1998,Jorge Tokuzumi,suplente,2003-02-25,2003-03-14,300409
1998,José Carlos Tonin,suplente,2003-02-03,2003-03-14,300256
1998,José Roberto Atalaia,suplente,2003-02-28,2003-03-14,300422
1998,Milton Flávio,nao_informado,1999-03-15,2003-03-14,300311
1998,Monica Becker,suplente,2003-02-03,2003-03-14,300399
1998,Nabi Chedid,nao_informado,1999-03-15,2003-03-14,300042
1998,Newton Brandão,nao_informado,1999-03-15,2003-03-14,300249
1998,Rui Falcão,nao_informado,1999-03-15,2003-03-14,300272
1998,Valdomiro Lopes,nao_informado,1999-03-15,2003-03-14,300396
1998,Wadih Helú,suplente,1999-06-30,2003-03-14,300061
1998,Wagner Lino,suplente,2001-01-03,2003-03-14,300285
2002,Adilson Rossi,nao_informado,2003-03-15,2003-10-28,300432
2002,Adilson Rossi,suplente,2006-08-15,2007-03-14,300432
2002,Alfredo Ruzza,suplente,2007-02-01,2007-03-14,300448
2002,Ana Martins,nao_informado,2003-03-15,2007-03-14,300410
2002,Carlos Neder,nao_informado,2003-03-15,2007-03-14,300446
2002,Ed Thomas,nao_informado,2003-03-15,2007-03-14,300454
2002,Edir Sales,suplente,2006-09-12,2007-03-14,300357
2002,Edmur Mesquita,suplente,2007-02-01,2007-03-14,300358
2002,Henrique Pacheco,suplente,2007-02-01,2007-03-14,300365
2002,José Augusto,suplente,2007-02-01,2007-03-14,300368
2002,José Zico Prado,nao_informado,2003-03-15,2007-03-14,300228
2002,João Barbosa,suplente,2007-02-01,2007-03-14,300447
2002,Maria do Carmo Piunti,suplente,2007-02-01,2007-03-14,300213
2002,Mauro Bragato,suplente,2005-01-04,2007-03-14,300098
2002,Milton Flávio,suplente,2005-01-04,2006-03-30,300311
2002,Milton Flávio,suplente,2007-01-01,2007-03-14,300311
2002,Palmiro Mennucci,suplente,2005-01-04,2005-05-24,300444
2002,Palmiro Mennucci,suplente,2006-02-20,2007-03-14,300444
2002,Roberto Engler,suplente,2003-03-19,2007-03-14,300267
