legislatura,nome,nome_completo,condicao,data_inicio_exercicio,data_fim_exercicio,forma_saida,causa_original
14,Antonio Honorato,Antonio Honorato de Castro Neto,titular,,2000-10-10,renuncia,renunciou ao mandato em 10 de outubro de 2000.
14,Antonio Vieira,ANTONIO VIEIRA DE SOUZA,suplente,,,suplente_efetivado,"efetivou-se em janeiro de 2001, substituindo o deputado Jânio Natal."
14,Eliana Boaventura,ELIANA MARIA SANTOS BOAVENTURA,suplente,,,suplente_efetivado,"efetivou-se em dez.2000, na vaga do deputado Wilson Brito."
14,Hélder Almeida,Hélder Almeida de Souza,titular,,,renuncia,renunciou em dezembro de 2000.
14,Itamar Saraiva,Antonio Itamar Macedo Saraiva,suplente,2001-01-02,,suplente_efetivado,"efetivou-se em 2 de janeiro de 2001, na vaga do deputado Hélder Almeida."
14,Janio Natal,JANIO NATAL ANDRADE BORGES,titular,,,renuncia,renunciou em dez.2000.
14,José Clemente,José Clemente Alves Gondim,suplente,,,suplente_efetivado,"efetivou-se em out.2000, substituindo o deputado Antonio Honorato."
14,Márcio Oliveira,Márcio Montenegro Cerqueira de Oliveira,suplente,2000-12-28,,suplente_efetivado,"efetivou-se em 28 de dezembro de 2000, substituindo o deputado Prudente de Moraes."
14,Paulo Anunciação,Antonio Paulo da Anunciação,suplente,,,suplente_efetivado,"efetivou-se em jun. 2000, na vaga de Paulo Jackson."
14,Prudente de Morais,Prudente José de Morais,titular,,,renuncia,renunciou ao mandato em dezembro de 2000.
14,Wilson Brito,Wilson Alves de Brito Filho,titular,,,renuncia,renunciou em dezembro de 2000.
15,Carlinhos Oliveira,Carlos Alberto Oliveira de Carvalho,suplente,2007-01-03,2007-01-31,suplente_efetivado,"assumiu o mandato de 03 a 31 janeiro de 2007, no lugar do dep. Valmir Assunção."
15,Edmon Lucas,EDMON LOPES LUCAS,suplente,,2007-01-01,afastamento,"efetivou-se em jan. 2005, afastou-se em 01/01/2007 para assumir o cargo de Secretário de Desenvolvimento e Integração Regional do Estado da Bahia."
15,João Henrique,João Henrique de Barradas Carneiro,titular,,2004-12-30,renuncia,renunciou em 30/12/2004.
15,Luiz Augusto,LUIZ AUGUSTO GORDIANO DE MORAES,suplente,,,suplente_efetivado,"efetivou-se em 2005; eleito deputado estadual pelo Partido Popular-PP,"
15,Luiz Caetano,Luiz Carlos Caetano,titular,,,renuncia,renunciou em dez. 2004.
15,Michel Hagge,Michel José Hagge Filho,titular,,2004-12-30,renuncia,renunciou em 30/12/2004.
15,Moema Gramacho,Moema Isabel Passos Gramacho,titular,,2004-12-30,renuncia,renunciou em 30/12/2004.
15,Padre Joel,JOEL VALENTIM DA SILVA,suplente,,,suplente_efetivado,efetivou-se em jan. 2005.
15,Paulo Rangel,PAULO FERNANDO RANGEL DE LIMA,suplente,,,suplente_efetivado,efetivou-se em jan. 2005.
15,Raimundo Nonato,Raimundo Nonato Santos,suplente,2007-01-03,2007-01-31,suplente_efetivado,"assumiu o mandato de 03 a 31 jan. 2007, no lugar do dep. Edmon Lucas."
15,Rui Macedo,Rui Rei Matos Macedo,titular,,2004-12-30,renuncia,renunciou em 30/12/2004.
15,Valmir Assunção,VALMIR CARLOS DA ASSUNCAO,suplente,,,suplente_efetivado,"efetivou-se em 2005; deputado estadual, PT,"
16,Eliana Boaventura,ELIANA MARIA SANTOS BOAVENTURA,suplente,2009-01-05,2010-03-30,outro,"assumiu a vaga do deputado Roberto Muniz, de 05/01/2009 a 30/03/2010."
16,Humberto Leite,HUMBERTO SOARES LEITE,suplente,2010-12-06,,suplente_efetivado,assumiu o mandato em 6 de dezembro de 2010.
16,Isaac Cunha,ISAAC CUNHA DO NASCIMENTO,suplente,,,suplente_efetivado,"assumiu o mandato em dezembro de 2007, na vaga do dep. Valmir Assunção. Efetivou-se deputado estadual, na vaga do dep. José das Virgens,"
16,José das Virgens,JOSE CARLOS DOURADO DAS VIRGENS,titular,,2008-12-23,renuncia,renunciou em 23/12/2008.
16,João Carlos Bacelar,JOAO CARLOS BACELAR BATISTA,titular,,,licenca,"Licenciou-se em novembro de 2010, quando foi nomeado Secretário Municipal da Educação , Cultura, Esporte e Lazer do município de Salvador."
16,Pedro Alcântara,PEDRO ALCANTARA DE SOUSA,suplente,,,suplente_efetivado,"assumiu o cargo de jul.-out./2008 e de nov./2008 a jan./2009. Efetivou-se deputado estadual na vaga do dep. Tarcízio Pimenta,"
16,Prof. Valdeci,VALDECI AUGUSTO DE OLIVEIRA,suplente,2008-12-24,2010-03-30,outro,"assumiu o mandato na vaga do dep. Valmir Assunção, de 24 /12/2008 a 30/03/2010."
16,Roberto Muniz,ROBERTO DE OLIVEIRA MUNIZ,titular,,2008-11-13,licenca,licenciou-se de 13/11/2008 a 31/03/2010.
16,Tarcízio Pimenta,TARCIZIO SUZART PIMENTA,titular,,2008-12-29,renuncia,"licenciou-se de 1º jul./6 out.2008, renunciou em 29/12/2008."
