legislatura,sq_candidato,eid,ano_eleicao,biografia_de,secao_biografia,sujeito,sujeito_civil,secao_sujeito,papel,suplente_citado,forma,data_do_pleito_apenas,licenca_temporaria,data_evento,ano_evento,frase,url,id_fonte,sujeito_n,sujeito_s,civil_n,civil_s,ano_eleicao_leg,metodo_ato,data_ato,sessoes_depois_do_ato,sessoes_depois_do_ano,retornou
26,135,6,2002,JOSÉ MARIA PIMENTA LIMA,suplente,AGENOR GOMES DE ARAÚJO NETO,AGENOR GOMES DE ARAÚJO NETO,titular,titular_citado_na_vaga,,renuncia,0,0,,2003,"Entre 1998 e 2003, atuou como secretário de Agricultura de Quixeramobim, interrompendo suas atividades para assumir a cadeira de deputado estadual na Assembleia Legislativa na 26ª Legislatura, como suplente do deputado Agenor Neto, que renunciou ao mandato para assumir a Prefeitura de Iguatu.",https://www.al.ce.gov.br/edicoes-inesp/download/950,malce_leg26_p180,AGENOR GOMES DE ARAUJO NETO,AGENOR GOMES DE ARAUJO NETO,AGENOR GOMES DE ARAUJO NETO,AGENOR GOMES DE ARAUJO NETO,2002,ato_civil_exato,,0,58,TRUE
26,496,5,2002,HENRIQUE SÁVIO PEREIRA PONTES,suplente,INÊS MARIA CORRÊA DE ARRUDA,INÊS MARIA CORRÊA DE ARRUDA,titular,titular_citado_na_vaga,,renuncia,0,0,,2003,"Candidato a deputado estadual para legislatura 2003/2006, não foi eleito, mas ficou em uma suplência, assumindo em agosto de 2003 a vaga da deputada Inês Arruda que renunciou ao mandado para assumir a Prefeitura de Caucaia.",https://www.al.ce.gov.br/edicoes-inesp/download/950,malce_leg26_p172,INES MARIA CORREA DE ARRUDA,INES MARIA CORREA DE ARRUDA,INES MARIA CORREA DE ARRUDA,INES MARIA CORREA DE ARRUDA,2002,ato_civil_exato,,0,15,TRUE
26,827,1,2002,JOSÉ SÉRGIO TEIXEIRA BENEVIDES,titular,JOSÉ SÉRGIO TEIXEIRA BENEVIDES,JOSÉ SÉRGIO TEIXEIRA BENEVIDES,titular,dono_da_biografia,,cassacao,0,0,2004-10-27,2004,"Em 27 de outubro de 2004, o deputado Sérgio Benevides teve o seu mandato cassado pela Assembléia Legislativa do Ceará.",https://www.al.ce.gov.br/edicoes-inesp/download/950,malce_leg26_p105,JOSE SERGIO TEIXEIRA BENEVIDES,JOSE SERGIO TEIXEIRA BENEVIDES,JOSE SERGIO TEIXEIRA BENEVIDES,JOSE SERGIO TEIXEIRA BENEVIDES,2002,ato_civil_exato,2004-10-27,0,0,FALSE
26,134,3,2002,FRANCISCO (FRANCINI) HOLANDA GUEDES,suplente,JOSÉ VASQUES LANDIM,JOSÉ VASQUES LANDIM,titular,titular_citado_na_vaga,,licenca,0,0,2003-02-05,2003,"Na eleição seguinte, 2003/2006, mesmo obtendo 32.176 votos, ficou como suplente, assumindo, temporariamente, em 05/02/2003, a vaga do deputado Vasques Landim, licenciado para assumir a Secretaria-Ouvidoria do Meio Ambiente.",https://www.al.ce.gov.br/edicoes-inesp/download/950,malce_leg26_p164,JOSE VASQUES LANDIM,JOSE VASQUES LANDIM,JOSE VASQUES LANDIM,JOSE VASQUES LANDIM,2002,ato_civil_exato,2003-02-05,0,0,FALSE
26,,2,2002,PEDRO AUGUSTO TIMBÓ CAMELO,titular,PEDRO AUGUSTO TIMBÓ CAMELO,PEDRO AUGUSTO TIMBÓ CAMELO,titular,dono_da_biografia,,renuncia,0,0,2005-07-01,2005,"Após ter seu nome aprovado pela Assembleia Legislativa para Conselheiro do Tribunal de Contas do Estado do Ceará – TCE, em 1° de julho de 2005, Pedro Timbó renunciou ao mandato de deputado estadual e foi empossado no cargo de Conselheiro em 17 de julho de 2006.",https://www.al.ce.gov.br/edicoes-inesp/download/950,malce_leg26_p136,PEDRO AUGUSTO TIMBO CAMELO,PEDRO AUGUSTO TIMBO CAMELO,PEDRO AUGUSTO TIMBO CAMELO,PEDRO AUGUSTO TIMBO CAMELO,2002,,2005-07-01,0,0,FALSE
26,,4,2002,FRANCISCO MARCELO SOBREIRA,suplente,PEDRO AUGUSTO TIMBÓ CAMELO,PEDRO AUGUSTO TIMBÓ CAMELO,titular,titular_citado_na_vaga,,renuncia,0,0,,2006,"Ficou na 1ª suplência, assumindo a legislatura no período 2005-2006, na vaga do deputado Pedro Timbó, que renunciou ao mandato para assumir o cargo de conselheiro do TCE.",https://www.al.ce.gov.br/edicoes-inesp/download/950,malce_leg26_p168,PEDRO AUGUSTO TIMBO CAMELO,PEDRO AUGUSTO TIMBO CAMELO,PEDRO AUGUSTO TIMBO CAMELO,PEDRO AUGUSTO TIMBO CAMELO,2002,,,0,0,FALSE
27,10354,7,2006,HENRIQUE SÁVIO PEREIRA PONTES,titular,HENRIQUE SÁVIO PEREIRA PONTES,HENRIQUE SÁVIO PEREIRA PONTES,titular,dono_da_biografia,,renuncia,0,0,,2008,"Em 2008, renunciou ao mandato para candidatar-se à prefeitura de Ipu pela Coligação “União Pelo Povo”.",https://www.al.ce.gov.br/edicoes-inesp/download/914,malce_leg27_p87,HENRIQUE SAVIO PEREIRA PONTES,HENRIQUE SAVIO PEREIRA PONTES,HENRIQUE SAVIO PEREIRA PONTES,HENRIQUE SAVIO PEREIRA PONTES,2006,ato_civil_exato,,0,0,FALSE
27,,9,2006,NEURAMI GOMES DE AMORIM,suplente,JOSÉ EDÍSIO OLIVEIRA TEIXEIRA (PACHECO),JOSÉ EDÍSIO OLIVEIRA TEIXEIRA (PACHECO),titular,titular_citado_na_vaga,,licenca,0,1,2008-06-20,2008,"Em 20 de junho de 2008, assumiu cadeira na Assembleia Legislativa do Ceará, na vaga do deputado Edísio Pacheco, licenciado para tratar de assuntos particulares.",https://www.al.ce.gov.br/edicoes-inesp/download/914,malce_leg27_p197,JOSE EDISIO OLIVEIRA TEIXEIRA PACHECO,JOSE EDISIO OLIVEIRA TEIXEIRA PACHECO,JOSE EDISIO OLIVEIRA TEIXEIRA PACHECO,JOSE EDISIO OLIVEIRA TEIXEIRA PACHECO,2006,,2008-06-20,0,0,FALSE
27,10415,8,2006,LAVOISIER (ZIÊR) FÉRRER LIMA,suplente,VANDERLEY FARIAS PEDROSA,VANDERLEY FARIAS PEDROSA,suplente,titular_citado_na_vaga,,licenca,0,1,,2009,"Assumiu cadeira na Assembleia Legislativa do Ceará em 2009, na ausência de Vanderley Pedrosa, licenciado para tratar de assuntos particulares.",https://www.al.ce.gov.br/edicoes-inesp/download/914,malce_leg27_p186,VANDERLEY FARIAS PEDROSA,VANDERLEY FARIAS PEDROSA,VANDERLEY FARIAS PEDROSA,VANDERLEY FARIAS PEDROSA,2006,ato_civil_exato,,0,15,TRUE
28,60000000434,10,2010,CAMILO SOBREIRA DE SANTANA,titular,CAMILO SOBREIRA DE SANTANA,CAMILO SOBREIRA DE SANTANA,titular,dono_da_biografia,,licenca,0,0,,2011,"No segundo mandado de Cid Gomes como governador, Camilo Santana licenciou-se da Assembleia para assumir a Secretaria das Cidades, a partir de 2011.",https://www.al.ce.gov.br/edicoes-inesp/download/913,malce_leg28_p47,CAMILO SOBREIRA DE SANTANA,CAMILO SOBREIRA DE SANTANA,CAMILO SOBREIRA DE SANTANA,CAMILO SOBREIRA DE SANTANA,2010,ato_civil_exato,,0,197,TRUE
