legislatura,nome_normalizado,sq_candidato,id_mandato_bocel,condicao,forma_saida,n_sessoes_presente,data_prim,data_ult,saiu_na_serie,ficou_ate_o_fim,serie_densa,serie_alcanca_fim,n_presencas_trecho_final
25,ACILON,600000607151011,M1998_CE_7_15101_600000607151011,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,AGACI,600000607251111,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,ANTONIO JACO,600000607111021,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,ARTUR BRUNO,600000607132221,M1998_CE_7_13222_600000607132221,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,BARROSO,600000607142341,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,BOSCO,600000607451011,M1998_CE_7_45101_600000607451011,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,CAETANO,600000607123001,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,CANDIDA FIGUEIREDO,600000607451451,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,CARLOMANO,600000607151501,M1998_CE_7_15150_600000607151501,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,CC,600000607251171,M1998_CE_7_25117_600000607251171,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,DOMINGOS FILHO,600000607151461,M1998_CE_7_15146_600000607151461,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,DR DIONISIO,600000607456541,M1998_CE_7_45654_600000607456541,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,DR GIOVANNI,600000607121231,M1998_CE_7_12123_600000607121231,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,DR HUGO,600000607456781,M1998_CE_7_45678_600000607456781,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,DR PINHEIRO,600000607141111,M1998_CE_7_14111_600000607141111,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,EDILMO COSTA,600000607151561,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,EUDORO SANTANA,600000607401231,M1998_CE_7_40123_600000607401231,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,FABIOLA ALENCAR,600000607119991,M1998_CE_7_11999_600000607119991,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,FRANCINI,600000607454441,M1998_CE_7_45444_600000607454441,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,FRANCISCO AGUIAR,600000607231111,M1998_CE_7_23111_600000607231111,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,GONY,600000607454551,M1998_CE_7_45455_600000607454551,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,GORETE PEREIRA,600000607251231,M1998_CE_7_25123_600000607251231,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,GUIMARAES,600000607131231,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,GUMERCINDO TOURINHO FILHO,600000607455551,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,IDEMAR CITO,600000607453001,M1998_CE_7_45300_600000607453001,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,ILARIO MARQUES,600000607134561,M1998_CE_7_13456_600000607134561,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,INES,600000607451101,M1998_CE_7_45110_600000607451101,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,JOAO ALFREDO,600000607131211,M1998_CE_7_13121_600000607131211,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,JOSE ALBUQUERQUE,600000607231101,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,LOPES,600000607651651,M1998_CE_7_65165_600000607651651,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,MANOEL DUCA,600000607451241,M1998_CE_7_45124_600000607451241,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,MANOEL VERAS,600000607231231,M1998_CE_7_23123_600000607231231,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,MARCELIO,600000607451221,M1998_CE_7_45122_600000607451221,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,MARCOS CALS,600000607451411,M1998_CE_7_45141_600000607451411,titular,nao_observado,0,,,FALSE,FALSE,FALSE,FALSE,0
25,MARCOS TAVARES,600000607451172,,suplente,suplente_efetivado,0,,,FALSE,FALSE,FALSE,FALSE,0
