legislatura,nome,ult_presenca,n_presencas,n_presencas_trecho,n_sessoes_trecho,sustenta
27,EDSON SILVA,2011-01-20,485,15,15,TRUE
27,JOÃO JAIME,2011-01-19,332,2,15,TRUE
27,PROF. TEODORO,2011-01-20,498,15,15,TRUE
27,OSMAR BAQUIT,2011-01-19,327,12,15,TRUE
27,ADAHIL BARRETO,2011-01-20,577,10,15,TRUE
27,ROGÉRIO AGUIAR,2011-01-20,153,10,15,TRUE
27,MOÉSIO LOIOLA,2011-01-19,367,12,15,TRUE
27,CIRILO PIMENTA,2011-01-20,348,15,15,TRUE
27,TEO MENEZES,2011-01-19,447,12,15,TRUE
27,MARCOS CALS,2011-01-20,13,13,15,TRUE
27,DR. HUGO,2011-01-20,523,15,15,TRUE
27,NENEM COELHO,2011-01-20,278,12,15,TRUE
27,JULIO CESAR,2011-01-20,401,15,15,TRUE
27,ANTONIO GRANJA,2011-01-19,376,10,15,TRUE
27,WELINGTON LANDIM,2011-01-20,352,15,15,TRUE
27,SINEVAL ROQUE,2011-01-20,212,15,15,TRUE
27,ZEZINHO ALBUQUERQUE,2011-01-20,425,15,15,TRUE
27,DR SARTO,2011-01-20,310,15,15,TRUE
27,SERGIO AGUIAR,2011-01-20,466,15,15,TRUE
27,BRUNO,2011-01-20,521,11,15,TRUE
27,RACHEL MARQUES,2011-01-20,383,15,15,TRUE
27,CARLOMANO,2011-01-20,74,12,15,TRUE
27,RONALDO MARTINS,2011-01-20,496,15,15,TRUE
27,NETO NUNES,2011-01-20,243,10,15,TRUE
27,LUCILVIO GIRÃO SALES,2011-01-20,359,8,15,TRUE
27,LÍVIA ARRUDA,2011-01-19,459,12,15,TRUE
27,HEITOR FERRER,2011-01-20,523,15,15,TRUE
27,FERREIRA ARAGÃO,2011-01-20,488,15,15,TRUE
27,ROBERTO CLAUDIO,2011-01-20,500,15,15,TRUE
27,CAMINHA,2011-01-20,379,13,15,TRUE
27,JOÃO ANANIAS,2011-01-20,15,15,15,TRUE
27,AUGUSTINHO MOREIRA,2011-01-20,410,15,15,TRUE
27,EDÍSIO PACHECO,2011-01-20,315,13,15,TRUE
27,HERMÍNIO RESENDE,2011-01-20,396,12,15,TRUE
27,PERBOYRE,2011-01-20,391,15,15,TRUE
28,DR LEONARDO PINHEIRO,2014-12-23,557,28,57,TRUE
28,LULA MORAIS,2014-12-23,797,54,57,TRUE
28,GONY ARRUDA,2014-12-19,247,52,57,TRUE
28,DR HUGO,2014-12-23,862,49,57,TRUE
28,OSMAR BAQUIT,2014-12-23,393,22,57,TRUE
28,ROGERIO AGUIAR,2014-12-19,376,24,57,TRUE
28,JOAO JAIME,2014-12-23,413,28,57,TRUE
28,TEO MENEZES,2014-12-23,472,24,57,TRUE
28,MÁRIO HÉLIO,2014-12-23,597,40,57,TRUE
28,IDEMAR CITÓ,2014-12-23,508,34,57,TRUE
28,PAULO FACO,2014-12-23,669,44,57,TRUE
28,DELEGADO CAVALCANTE,2014-12-23,479,29,57,TRUE
28,HEITOR FERRER,2014-12-19,846,50,57,TRUE
28,FERREIRA ARAGAO,2014-12-23,859,48,57,TRUE
28,ELY AGUIAR,2014-12-23,697,46,57,TRUE
28,BETHROSE,2014-12-23,758,44,57,TRUE
28,AUGUSTINHO MOREIRA,2014-12-23,633,41,57,TRUE
28,ROBERTO MESQUITA,2014-12-23,741,44,57,TRUE
28,ANTONIO GRANJA,2014-12-23,679,30,57,TRUE
28,CAMILO SANTANA,2014-11-06,217,3,57,TRUE
28,CARLOMANO,2014-12-23,428,26,57,TRUE
28,MAURO FILHO,2014-12-23,242,46,57,TRUE
28,ELIANE NOVAIS,2014-12-23,802,43,57,TRUE
28,PROFESSOR PINHEIRO,2014-12-23,401,55,57,TRUE
28,DEDÉ TEIXEIRA,2014-12-23,700,40,57,TRUE
28,NETO NUNES,2014-12-23,459,38,57,TRUE
28,IVO GOMES,2014-12-23,88,20,57,TRUE
28,ZEZINHO ALBUQUERQUE,2014-12-23,564,27,57,TRUE
28,DR SARTO,2014-12-23,758,52,57,TRUE
28,WELINGTON LANDIM,2014-12-23,559,25,57,TRUE
28,NELSON MARTINS,2014-10-28,54,11,57,TRUE
28,LUCILVIO GIRAO,2014-12-23,821,45,57,TRUE
28,DUQUINHA,2014-12-19,862,47,57,TRUE
28,MIRIAN SOBREIRA,2014-12-23,689,42,57,TRUE
28,RACHEL MARQUES,2014-12-23,652,44,57,TRUE
28,RONALDO MARTINS,2014-12-23,853,39,57,TRUE
28,SERGIO AGUIAR,2014-12-23,790,51,57,TRUE
28,TIN GOMES,2014-12-23,761,42,57,TRUE
28,VANDERLEY PEDROSA,2014-12-23,738,56,57,TRUE
28,HERMINIO RESENDE,2014-12-16,502,5,57,TRUE
28,FERNANDA PESSOA,2014-12-23,806,49,57,TRUE
29,BRUNO PEDROSA,2018-12-18,832,62,115,TRUE
29,AUGUSTA BRITO,2018-12-18,772,79,115,TRUE
29,CARLOS FELIPE,2018-12-18,760,88,115,TRUE
29,TOMAZ HOLANDA,2018-12-18,630,73,115,TRUE
29,ELY AGUIAR,2018-12-18,894,66,115,TRUE
29,FERREIRA ARAGÃO,2018-12-17,885,53,115,TRUE
29,EVANDRO LEITÃO,2018-12-18,988,87,115,TRUE
29,HEITOR FERRER,2018-12-18,906,81,115,TRUE
29,RENATO ROSENO,2018-12-18,886,90,115,TRUE
29,JOAQUIM NORONHA,2018-12-18,711,61,115,TRUE
29,AGENOR NETO,2018-12-18,607,54,115,TRUE
29,DANNIEL OLIVEIRA,2018-12-18,750,65,115,TRUE
29,DRA. SILVANA,2018-12-18,973,80,115,TRUE
29,WALTER CAVALCANTE,2018-12-18,822,63,115,TRUE
29,JOÃO JAIME,2018-12-18,570,53,115,TRUE
29,FERNANDA PESSOA,2018-12-18,925,75,115,TRUE
29,CAPITÃO WÁGNER,2018-12-18,881,70,115,TRUE
29,BETHROSE,2018-12-18,693,53,115,TRUE
29,CARLOS MATOS,2018-12-18,778,74,115,TRUE
29,ROBERTO MESQUITA,2018-12-18,773,52,115,TRUE
29,TIN GOMES,2018-12-18,834,74,115,TRUE
29,DR. LUCÍLVIO GIRÃO,2018-12-17,779,65,115,TRUE
