legislatura,forma_saida,N
25,nao_observado,46
25,suplente_efetivado,14
26,nao_observado,39
26,suplente_efetivado,28
26,outro,3
26,renuncia,2
26,cassacao,1
26,licenca,1
27,fim_regular,35
27,suplente_efetivado,24
27,nao_observado,7
27,outro,3
27,renuncia,1
28,fim_regular,41
28,suplente_efetivado,28
28,outro,4
28,renuncia,1
29,fim_regular,39
29,suplente_efetivado,15
29,outro,5
29,falecimento,2
29,nao_observado,1
30,fim_regular,39
30,suplente_efetivado,18
30,outro,5
30,nao_observado,1
30,renuncia,1
31,nao_observado,40
31,suplente_efetivado,26
31,outro,6
