legislatura,secao,nome_toc,nome_completo,nome_parlamentar,partido,data_nascimento,sq_candidato,metodo_ml,id_fonte
25,suplente,ANTÔNIO DE ALMEIDA JACÓ,ANTÔNIO DE ALMEIDA JACÓ,,PPB,1939-06-13,600000607111021,malce_civil_x_civil,malce_leg25_p191
25,suplente,CAETANO GUEDES RODRIGUES,CAETANO GUEDES RODRIGUES,,PDT,1941-01-22,600000607123001,malce_civil_x_civil,malce_leg25_p193
25,suplente,CÂNDIDA MARIA SARAIVA DE PAULA PESSOA FIGUEIREDO,CÂNDIDA MARIA SARAIVA DE PAULA PESSOA FIGUEIREDO,,PSDB,1953-10-08,600000607451451,malce_tokens_no_nome_civil,malce_leg25_p196
25,suplente,EDVAR RODRIGUES XIMENES,EDVAR RODRIGUES XIMENES,,PTB,1949-11-04,600000607142001,malce_civil_x_civil,malce_leg25_p198
25,suplente,FRANCISCO AGACI FERNANDES DA SILVA,FRANCISCO AGACI FERNANDES DA SILVA,,PFL,1940-07-26,600000607251111,malce_civil_x_civil,malce_leg25_p200
25,suplente,FRANCISCO BARROSO RODRIGUES,FRANCISCO BARROSO RODRIGUES,,PTB,1964-07-26,600000607142341,malce_civil_x_civil,malce_leg25_p202
25,suplente,FRANCISCO EDILMO BARROS COSTA,FRANCISCO EDILMO BARROS COSTA,,PMDB,1945-01-31,600000607151561,malce_civil_x_civil,malce_leg25_p206
25,suplente,FRANCISCO RÔMULO COELHO DE FIGUEIREDO,FRANCISCO RÔMULO COELHO DE FIGUEIREDO,,PDT,1955-07-08,600000607121441,malce_civil_x_civil,malce_leg25_p208
25,suplente,GUMERCINDO TOURINHO FILHO,GUMERCINDO TOURINHO FILHO,,PPS,1961-04-22,600000607455551,malce_civil_x_civil,malce_leg25_p211
25,suplente,JOSÉ JÁCOME CARNEIRO ALBUQUERQUE,JOSÉ JÁCOME CARNEIRO ALBUQUERQUE,,PPS,1955-03-19,600000607231101,malce_civil_x_civil,malce_leg25_p215
25,suplente,JOSÉ NOBRE GUIMARÃES,JOSÉ NOBRE GUIMARÃES,,PT,1959-02-13,600000607131231,malce_civil_x_civil,malce_leg25_p218
25,suplente,MARCOS ANTÔNIO TAVARES,MARCOS ANTÔNIO TAVARES,,PSDB,,600000607451172,malce_civil_x_civil,malce_leg25_p221
25,suplente,MAURÍLIO BANHOS DIAS,MAURÍLIO BANHOS DIAS,,PMDB,1954-01-25,600000607151101,malce_civil_x_civil,malce_leg25_p223
25,suplente,ORIEL GUIMARÃES NUNES,ORIEL GUIMARÃES NUNES,,PMDB,1936-03-04,600000607151331,malce_civil_x_civil,malce_leg25_p226
25,titular,ACILON GONÇALVES PINTO JÚNIOR,ACILON GONÇALVES PINTO JÚNIOR,,PMDB,1956-03-13,600000607151011,malce_civil_x_civil,malce_leg25_p29
25,titular,ANTÔNIO (SINEVAL) ROQUE DE ARAÚJO,ANTÔNIO (SINEVAL) ROQUE DE ARAÚJO,,PSDB,1954-06-16,600000607456661,malce_tokens_no_nome_civil,malce_leg25_p36
25,titular,ANTÔNIO PINHEIRO GRANJA,ANTÔNIO PINHEIRO GRANJA,,PTB,1957-04-28,600000607141111,malce_civil_x_civil,malce_leg25_p32
25,titular,ARTUR JOSÉ VIEIRA BRUNO,ARTUR JOSÉ VIEIRA BRUNO,,PT,1959-08-04,600000607132221,malce_civil_x_civil,malce_leg25_p40
25,titular,CARLOMANO GOMES MARQUES,CARLOMANO GOMES MARQUES,,PMDB,1954-02-19,600000607151501,malce_civil_x_civil,malce_leg25_p45
25,titular,CARLOS ALBERTO DA CRUZ,CARLOS ALBERTO DA CRUZ,,PFL,1932-12-03,600000607251171,malce_civil_x_civil,malce_leg25_p48
25,titular,CARLOS MAURO CABRAL BENEVIDES FILHO,CARLOS MAURO CABRAL BENEVIDES FILHO,,PPS,1959-03-09,600000607230001,malce_tokens_no_nome_civil,malce_leg25_p50
25,titular,DIONÍSIO BROXADO LAPA FILHO,DIONÍSIO BROXADO LAPA FILHO,,PSDB,1952-12-27,600000607456541,malce_civil_x_civil,malce_leg25_p53
25,titular,DOMINGOS GOMES AGUIAR FILHO,DOMINGOS GOMES AGUIAR FILHO,,PMDB,1963-10-09,600000607151461,malce_tokens_no_nome_civil,malce_leg25_p57
25,titular,ESMERINO OLIVEIRA (GONY) ARRUDA COELHO JÚNIOR,ESMERINO OLIVEIRA (GONY) ARRUDA COELHO JÚNIOR,,PSDB,1972-02-03,600000607454551,malce_tokens_no_nome_civil,malce_leg25_p62
25,titular,EUDORO WALTER DE SANTANA,EUDORO WALTER DE SANTANA,,PSB,1936-10-06,600000607401231,malce_civil_x_civil,malce_leg25_p65
25,titular,FABÍOLA ALENCAR DE BISCUCCIA,FABÍOLA ALENCAR DE BISCUCCIA,,PPB,,600000607119991,malce_civil_x_civil,malce_leg25_p71
25,titular,FERNANDO HUGO DA SILVA COLARES,FERNANDO HUGO DA SILVA COLARES,,PSDB,1953-03-25,600000607456781,malce_civil_x_civil,malce_leg25_p73
25,titular,FRANCISCO (FRANCINI) DE HOLANDA GUEDES,FRANCISCO (FRANCINI) DE HOLANDA GUEDES,,PSDB,,600000607454441,malce_tokens_no_nome_civil,malce_leg25_p79
25,titular,FRANCISCO DE PAULA ROCHA AGUIAR,FRANCISCO DE PAULA ROCHA AGUIAR,,PSDB,1947-04-04,600000607231111,malce_civil_x_civil,malce_leg25_p84
