legislatura,nome,ano_eleicao,rid,nome_n,nome_s,sq_candidato,metodo_nome,n_obs
26,Fernando Hugo,2002,16,FERNANDO HUGO,FERNANDO HUGO,169,tokens_na_urna_eleito,453
26,Marcos Cals,2002,1,MARCOS CALS,MARCOS CALS,128,urna_exata_eleito,452
26,Heitor Férrer,2002,22,HEITOR FERRER,HEITOR FERRER,566,tokens_na_urna_eleito,448
26,Tânia Gurgel,2002,42,TANIA GURGEL,TANIA GURGEL,146,urna_exata_eleito,439
26,Francisco Aguiar,2002,18,FRANCISCO AGUIAR,FRANCISCO AGUIAR,703,urna_exata_eleito,437
26,Ronaldo Martins,2002,48,RONALDO MARTINS,RONALDO MARTINS,452,urna_sem_tratamento_eleito,432
26,Nelson Martins,2002,35,NELSON MARTINS,NELSON MARTINS,416,urna_exata_eleito,430
26,Chico Lopes,2002,44,CHICO LOPES,CHICO LOPES,650,urna_exata_eleito,429
26,Adahil Barreto,2002,10,ADAHIL BARRETO,ADAHIL BARRETO,186,urna_exata_eleito,427
26,Gony Arruda,2002,4,GONY ARRUDA,GONY ARRUDA,175,urna_exata_eleito,424
26,Delegado Cavalcante,2002,15,DELEGADO CAVALCANTE,CAVALCANTE,179,urna_exata_eleito,418
26,Osmar Baquit,2002,36,OSMAR BAQUIT,OSMAR BAQUIT,133,urna_exata_eleito,416
26,Gilberto Rodrigues,2002,7,GILBERTO RODRIGUES,GILBERTO RODRIGUES,1087,tokens_no_nome_civil_eleito,410
26,Francini Guedes,2002,17,FRANCINI GUEDES,FRANCINI GUEDES,733,urna_exata_candidato,397
26,Antônio Granja,2002,12,ANTONIO GRANJA,ANTONIO GRANJA,1057,tokens_na_urna_eleito,390
26,Pedro Timbó,2002,43,PEDRO TIMBO,PEDRO TIMBO,147,urna_exata_eleito,388
26,José Guimarães,2002,46,JOSE GUIMARAES,JOSE GUIMARAES,269,tokens_no_nome_civil_eleito,384
26,Lucílvio Girão,2002,8,LUCILVIO GIRAO,LUCILVIO GIRAO,438,tokens_na_urna_eleito,381
26,Moésio Loiola,2002,34,MOESIO LOIOLA,MOESIO LOIOLA,129,urna_exata_eleito,381
26,Paulo Duarte,2002,38,PAULO DUARTE,PAULO DUARTE,130,urna_exata_candidato,375
26,Artur Bruno,2002,13,ARTUR BRUNO,ARTUR BRUNO,527,tokens_no_nome_civil_eleito,369
26,José Sarto,2002,27,JOSE SARTO,JOSE SARTO,697,tokens_no_nome_civil_candidato,366
26,João Jaime,2002,45,JOAO JAIME,JOAO JAIME,141,urna_exata_eleito,366
26,Gislaine Landim,2002,20,GISLAINE LANDIM,GISLAINE LANDIM,1056,tokens_no_nome_civil_eleito,365
26,Anapaula Cruz,2002,9,ANAPAULA CRUZ,ANAPAULA CRUZ,255,grafia_proxima_eleito,362
