legislatura,nome,forma_saida,data_fim_exercicio,ult_presenca,n_presencas,n_presencas_trecho,sessoes_depois,sustenta
26,MANOEL VERAS,outro,2003-10-03,2003-10-03,153,0,0,TRUE
26,VASQUES LANDIM,licenca,2003-02-05,,,0,0,TRUE
26,AGENOR NETO,renuncia,2004-12-15,2004-12-15,337,0,0,TRUE
26,CARLOMANO,outro,2004-06-29,2004-06-29,164,0,0,TRUE
26,INES ARRUDA,renuncia,2004-12-15,2004-12-15,218,0,0,TRUE
26,VALDOMIRO TÁVORA,outro,2004-03-05,2004-03-05,215,0,0,TRUE
26,SÉRGIO BENEVIDES,cassacao,2004-10-27,2004-10-20,203,0,0,TRUE
27,ELY AGUIAR,outro,2009-08-26,2009-08-26,311,0,0,TRUE
27,GOMES FARIAS,outro,2009-10-20,2009-10-20,282,0,0,TRUE
27,SÁVIO PONTES,renuncia,2008-10-28,2008-10-28,124,0,0,TRUE
27,DR. WASHINGTON,outro,2008-12-18,2008-12-18,204,0,0,TRUE
28,MOESIO LOIOLA,renuncia,2012-12-28,2012-12-21,226,0,0,TRUE
28,JULIO CESAR,outro,2011-02-08,2011-02-08,3,0,0,TRUE
28,PATRÍCIA,outro,2014-02-27,2014-02-27,386,0,0,TRUE
28,ROQUE,outro,2011-09-14,2011-09-14,2,0,0,TRUE
28,ROBERTO CLAUDIO,outro,2012-12-21,2012-12-21,323,0,0,TRUE
29,JULIO CESAR,outro,2016-11-03,2016-11-03,4,0,0,TRUE
29,CARLOMANO MARQUES,outro,2016-10-06,2016-10-06,86,0,0,TRUE
29,LAIS NUNES,outro,2016-12-28,2016-12-28,222,0,0,TRUE
29,NAUMI AMORIM,outro,2016-12-28,2016-12-28,380,0,0,TRUE
29,IVO GOMES,outro,2016-12-22,2016-12-22,138,0,0,TRUE
29,WELINGTON LANDIM,falecimento,2015-06-09,2015-05-28,66,0,0,TRUE
29,PROFESSOR TEODORO,falecimento,2016-08-18,2016-07-20,281,0,0,TRUE
30,VITOR VALIM,outro,2020-12-17,2020-12-17,304,0,0,TRUE
30,PATRÍCIA AGUIAR,renuncia,2020-12-17,2020-12-17,272,0,0,TRUE
30,BRUNO GONÇALVES,outro,2020-11-19,2020-11-19,208,0,0,TRUE
30,ELMANO DE FREITAS,outro,2022-07-15,2022-07-15,740,0,0,TRUE
30,JOSÉ SARTO,outro,2020-12-10,2020-12-10,338,0,0,TRUE
30,NEZINHO FARIAS,outro,2020-12-17,2020-12-17,395,0,0,TRUE
31,Oriel Filho,outro,2023-02-23,2023-02-23,9,0,0,TRUE
31,Evandro Leitão,outro,2024-12-19,2024-12-19,282,0,0,TRUE
31,Dr. Oscar Rodrigues,outro,2024-12-19,2024-12-19,258,0,0,TRUE
31,Sargento Reginauro,outro,2026-03-12,2026-03-12,754,0,0,TRUE
31,Gabriella Aguiar,outro,2024-10-08,2024-10-08,387,0,0,TRUE
31,Stuart Castro,outro,2025-12-11,2025-12-11,578,0,0,TRUE
