legislatura,nome,cob_fim,ultima_presenca,nas_ultimas_completas,dias_serie_ate_fim_da_legislatura
15,Aderson Lago,2006-12-20,2006-12-20,TRUE,42
15,Alberto Franco,2006-12-20,2006-12-20,TRUE,42
15,Arnaldo Melo,2006-12-20,2006-12-20,TRUE,42
15,Carlos Braide,2006-12-20,2006-12-20,TRUE,42
15,Carlos Filho,2006-12-20,2006-12-20,TRUE,42
15,César Pires,2006-12-20,2006-12-20,TRUE,42
15,Cristina Archer,2006-12-20,2006-12-20,TRUE,42
15,Geovane Castro,2006-12-20,2006-12-20,TRUE,42
15,Graça Paz,2006-12-20,2006-12-20,TRUE,42
15,Helena Barros Heluy,2006-12-20,2006-12-20,TRUE,42
15,Hélio Soares,2006-12-20,2006-12-20,TRUE,42
15,João Evangelista,2006-12-20,2006-12-20,TRUE,42
15,Joaquim Nagib Haickel,2006-12-20,2006-12-20,TRUE,42
15,Julião Amin,2006-12-20,2006-12-20,TRUE,42
15,Luíz Pedro,2006-12-20,2006-12-20,TRUE,42
15,Manoel Ribeiro,2006-12-20,2006-12-20,TRUE,42
15,Maura Jorge,2006-12-20,2006-12-20,TRUE,42
15,Mauro Bezerra,2006-12-20,2006-12-20,TRUE,42
15,Max Barros,2006-12-20,2006-12-20,TRUE,42
15,Paulo Neto,2006-12-20,2006-12-20,TRUE,42
15,Pavão Filho,2006-12-20,2006-12-20,TRUE,42
15,Rigo Teles,2006-12-20,2006-12-20,TRUE,42
15,Rubem Brito,2006-12-20,2006-12-20,TRUE,42
15,Rubens Pereira,2006-12-20,2006-12-20,TRUE,42
15,Telma Pinheiro,2006-12-20,2006-12-20,TRUE,42
15,Teresa Murad,2006-12-20,2006-12-20,TRUE,42
15,Wilson Carvalho,2006-12-20,2006-12-20,TRUE,42
16,Afonso Manoel,2011-01-31,2011-01-31,TRUE,0
16,Alberto Franco,2011-01-31,2011-01-31,TRUE,0
16,Antônio Bacelar,2011-01-31,2011-01-31,TRUE,0
16,Antônio Pereira,2011-01-31,2011-01-31,TRUE,0
16,Arnaldo Melo,2011-01-31,2011-01-31,TRUE,0
16,Camilo Figueiredo,2011-01-31,2011-01-31,TRUE,0
16,Carlos Alberto Milhomem,2011-01-31,2011-01-31,TRUE,0
16,Carlos Braide,2011-01-31,2011-01-31,TRUE,0
16,Carlos Filho,2011-01-31,2011-01-31,TRUE,0
16,César Pires,2011-01-31,2011-01-31,TRUE,0
16,Cleide Coutinho,2011-01-31,2011-01-31,TRUE,0
16,Domingos Paz,2011-01-31,2011-01-31,TRUE,0
16,Edivaldo Holanda,2011-01-31,2011-01-31,TRUE,0
16,Eliziane Gama,2011-01-31,2011-01-31,TRUE,0
16,Fátima Vieira,2011-01-31,2011-01-31,TRUE,0
16,Francisco Gomes,2011-01-31,2011-01-26,TRUE,0
16,Graça Paz,2011-01-31,2011-01-31,TRUE,0
16,Helena Barros Heluy,2011-01-31,2011-01-31,TRUE,0
16,Hélio Soares,2011-01-31,2011-01-31,TRUE,0
16,João Batista,2011-01-31,2011-01-31,TRUE,0
16,Joaquim Nagib Haickel,2011-01-31,2011-01-26,TRUE,0
16,José Lima,2011-01-31,2011-01-31,TRUE,0
16,Jura Filho,2011-01-31,2011-01-26,TRUE,0
16,Marcelo Tavares,2011-01-31,2011-01-31,TRUE,0
16,Marcos Caldas,2011-01-31,2011-01-31,TRUE,0
16,Max Barros,2011-01-31,2011-01-26,TRUE,0
16,Nonato Aragão,2011-01-31,2011-01-31,TRUE,0
16,Paulo Neto,2011-01-31,2011-01-31,TRUE,0
16,Pavão Filho,2011-01-31,2011-01-31,TRUE,0
16,Raimundo Cutrim,2011-01-31,2011-01-31,TRUE,0
16,Ricardo Murad,2011-01-31,2011-01-31,TRUE,0
16,Rigo Teles,2011-01-31,2011-01-31,TRUE,0
16,Rubens Pereira Júnior,2011-01-31,2011-01-31,TRUE,0
16,Stênio Resende,2011-01-31,2011-01-31,TRUE,0
16,Valdinar Barros,2011-01-31,2011-01-31,TRUE,0
16,Victor Mendes,2011-01-31,2011-01-26,TRUE,0
17,Afonso Manoel,2015-01-30,2015-01-30,TRUE,1
17,Alexandre Almeida,2015-01-30,2015-01-30,TRUE,1
17,André Fufuca,2015-01-30,2015-01-30,TRUE,1
17,Antônio Pereira,2015-01-30,2015-01-30,TRUE,1
17,Arnaldo Melo,2015-01-30,2015-01-30,TRUE,1
17,Bira do Pindaré,2015-01-30,2015-01-30,TRUE,1
17,Camilo Figueiredo,2015-01-30,2015-01-30,TRUE,1
17,Carlinhos Amorim,2015-01-30,2015-01-30,TRUE,1
17,Carlinhos Florêncio,2015-01-30,2015-01-30,TRUE,1
17,Carlos Filho,2015-01-30,2015-01-30,TRUE,1
17,César Pires,2015-01-30,2015-01-30,TRUE,1
17,Cleide Coutinho,2015-01-30,2015-01-30,TRUE,1
17,Dr. Pádua,2015-01-30,2015-01-30,TRUE,1
17,Edilázio Júnior,2015-01-30,2015-01-30,TRUE,1
17,Edson Araújo,2015-01-30,2015-01-30,TRUE,1
17,Eduardo Braide,2015-01-30,2015-01-30,TRUE,1
