ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
1998,"14","ADERSON DE CARVALHO LAGO FILHO","ADERSON DE CARVALHO LAGO FILHO","M1998_MA_7_11122_100001007111221","BOCEL0014846","100001007111221","nome_parlamentar_x_nome_bocel","ADERSON DE CARVALHO LAGO FILHO","1948-04-04","PPB","ADERSON DE CARVALHO LAGO FILHO","ADERSON FILHO","titular"
1998,"14","ANTONIO ARNALDO ALVES DE MELO","ANTONIO ARNALDO ALVES DE MELO","M1998_MA_7_15140_100001007151401","BOCEL0045950","100001007151401","nome_parlamentar_x_nome_bocel","ANTONIO ARNALDO ALVES DE MELO","1954-06-08","PMDB","ANTONIO ARNALDO ALVES DE MELO","ANTONIO MELO","titular"
1998,"14","ANTONIO CARLOS BACELAR NUNES","ANTONIO CARLOS BACELAR NUNES","M1998_MA_7_41202_100001007412021","BOCEL0001386","100001007412021","nome_parlamentar_x_nome_bocel","ANTONIO CARLOS BACELAR NUNES","1951-01-11","PSD","ANTONIO CARLOS BACELAR NUNES","ANTONIO NUNES","titular"
1998,"14","ANTONIO CARLOS BRAIDE","ANTONIO CARLOS BRAIDE",NA,NA,"100001007181201","suplente_nome_parlamentar_x_nome_civil","ANTONIO CARLOS BRAIDE","27/05/1944",NA,"ANTONIO CARLOS BRAIDE","ANTONIO BRAIDE","suplente"
1998,"14","ANTONIO PONTES DE AGUIAR","ANTONIO PONTES DE AGUIAR","M1998_MA_7_70110_100001007701101","BOCEL0043935","100001007701101","nome_parlamentar_x_nome_bocel","ANTONIO PONTES DE AGUIAR","1927-08-26","PT do B","ANTONIO PONTES DE AGUIAR","ANTONIO AGUIAR","titular"
1998,"14","CAMILO LELIS CARNEIRO FIGUEIREDO","CAMILO LELIS CARNEIRO FIGUEIREDO","M1998_MA_7_41236_100001007412361","BOCEL0070139","100001007412361","primeiro_ultimo_x_nome_bocel","CAMILO DE LELLIS CARNEIRO FIGUEREDO","1966-01-01","PSD","CAMILO LELIS CARNEIRO FIGUEIREDO","CAMILO FIGUEIREDO","titular"
1998,"14","CAMILO LELIS CARNEIRO FIGUEIREDO","CAMILO LLIS CARNEIRO FIGUEIREDO","M1998_MA_7_41236_100001007412361","BOCEL0070139","100001007412361","primeiro_ultimo_x_nome_bocel","CAMILO DE LELLIS CARNEIRO FIGUEREDO","1966-01-01","PSD","CAMILO LELIS CARNEIRO FIGUEIREDO","CAMILO FIGUEIREDO","titular"
1998,"14","CARLOS ALBERTO MILHOMEM DE SOUSA","CARLOS ALBERTO MILHOMEM DE SOUSA","M1998_MA_7_25113_100001007251131","BOCEL0029809","100001007251131","nome_parlamentar_x_nome_bocel","CARLOS ALBERTO MILHOMEM DE SOUSA","1937-05-02","PFL","CARLOS ALBERTO MILHOMEM DE SOUSA","CARLOS SOUSA","titular"
1998,"14","DEOCLIDES MACEDO SANTOS NETO","DEOCLIDES MACEDO SANTOS NETO","M1998_MA_7_14121_100001007141211","BOCEL0048349","100001007141211","tokens_contidos_no_nome_bocel","DEOCLIDES ANTONIO SANTOS NETO","1962-12-09","PTB","DEOCLIDES MACEDO SANTOS NETO","DEOCLIDES NETO","titular"
1998,"14","GEOVANE SILVA CASTRO","GEOVANE SILVA CASTRO",NA,NA,NA,NA,NA,NA,NA,"GEOVANE SILVA CASTRO","GEOVANE CASTRO","suplente"
1998,"14","HELENA BARROS HELUY","HELENA BARROS HELUY",NA,NA,"100001007136101","suplente_nome_parlamentar_x_nome_civil","HELENA BARROS HELUY","07/10/1941",NA,"HELENA BARROS HELUY","HELENA HELUY","suplente"
1998,"14","HELIO OLIVEIRA SOARES","HELIO OLIVEIRA SOARES","M1998_MA_7_18200_100001007182001","BOCEL0003493","100001007182001","nome_parlamentar_x_nome_bocel","HELIO OLIVEIRA SOARES","1952-06-06","PST","HELIO OLIVEIRA SOARES","HELIO SOARES","titular"
1998,"14","HELIO OLIVEIRA SOARES","HLIO OLIVEIRA SOARES","M1998_MA_7_18200_100001007182001","BOCEL0003493","100001007182001","nome_parlamentar_x_nome_bocel","HELIO OLIVEIRA SOARES","1952-06-06","PST","HELIO OLIVEIRA SOARES","HELIO SOARES","titular"
1998,"14","HUMBERTO IVAR DE ARAUJO COUTINHO","HUMBERTO IVAR DE ARAJO COUTINHO","M1998_MA_7_25111_100001007251111","BOCEL0006996","100001007251111","primeiro_ultimo_x_nome_bocel","HUMBERTO IVAR ARAUJO COUTINHO","1946-08-21","PFL","HUMBERTO IVAR DE ARAUJO COUTINHO","HUMBERTO COUTINHO","titular"
1998,"14","HUMBERTO IVAR DE ARAUJO COUTINHO","HUMBERTO IVAR DE ARAUJO COUTINHO","M1998_MA_7_25111_100001007251111","BOCEL0006996","100001007251111","primeiro_ultimo_x_nome_bocel","HUMBERTO IVAR ARAUJO COUTINHO","1946-08-21","PFL","HUMBERTO IVAR DE ARAUJO COUTINHO","HUMBERTO COUTINHO","titular"
1998,"14","JANICE SANTOS BRAIDE","JANICE SANTOS BRAIDE","M1998_MA_7_41210_100001007412101","BOCEL0070687","100001007412101","nome_parlamentar_x_nome_bocel","JANICE SANTOS BRAIDE","1943-09-15","PSD","JANICE SANTOS BRAIDE","JANICE BRAIDE","titular"
1998,"14","JULIO PIRES MONTELES","JLIO PIRES MONTELES","M1998_MA_7_25101_100001007251011","BOCEL0030092","100001007251011","nome_parlamentar_x_nome_bocel","JULIO PIRES MONTELES","1939-07-01","PFL","JULIO PIRES MONTELES","JULIO MONTELES","titular"
1998,"14","JONATAS LOPES FREITAS","JNATAS LOPES FREITAS","M1998_MA_7_28170_100001007281701","BOCEL0029868","100001007281701","nome_parlamentar_x_nome_bocel","JONATAS LOPES FREITAS","1963-08-05","PRTB","JONATAS LOPES FREITAS","JONATAS FREITAS","titular"
1998,"14","JOAO EVANGELISTA SERRA DOS SANTOS","JOAO EVANGELISTA SERRA DOS SANTOS","M1998_MA_7_15678_100001007156781","BOCEL0001616","100001007156781","nome_parlamentar_x_nome_bocel","JOAO EVANGELISTA SERRA DOS SANTOS","1957-06-03","PMDB","JOAO EVANGELISTA SERRA DOS SANTOS","JOAO SANTOS","titular"
1998,"14","JOAO MACEDO DA SILVA","JOAO MACEDO DA SILVA","M1998_MA_7_11113_100001007111131","BOCEL0075532","100001007111131","nome_parlamentar_x_nome_bocel","JOAO MACEDO DA SILVA","1957-04-05","PPB","JOAO MACEDO DA SILVA","JOAO SILVA","titular"
1998,"14","JOAO PAVAO FILHO","JOAO PAVAO FILHO","M1998_MA_7_40140_100001007401401","BOCEL0013115","100001007401401","nome_parlamentar_x_nome_bocel","JOAO PAVAO FILHO","1958-04-06","PSB","JOAO PAVAO FILHO","JOAO FILHO","titular"
1998,"14","JOAQUIM ELIAS NAGIB PINTO HAICKEL","JOAQUIM ELIAS NAGIB PINTO HAICKEL","M1998_MA_7_44123_100001007441231","BOCEL0125607","100001007441231","nome_parlamentar_x_nome_civil_tse","JOAQUIM ELIAS NAGIB PINTO HAICKEL","1959-12-13","PRP","JOAQUIM ELIAS NAGIB PINTO HAICKEL","JOAQUIM HAICKEL","titular"
1998,"14","JOAQUIM LIMA DE ARAUJO KINKAS ARAUJO","JOAQUIM LIMA DE ARAJO KINKAS ARAJO",NA,NA,NA,NA,NA,NA,NA,"JOAQUIM LIMA DE ARAUJO KINKAS ARAUJO","JOAQUIM ARAUJO","suplente"
1998,"14","JOAQUIM LIMA DE ARAUJO KINKAS ARAUJO","JOAQUIM LIMA DE ARAUJO KINKAS ARAUJO",NA,NA,NA,NA,NA,NA,NA,"JOAQUIM LIMA DE ARAUJO KINKAS ARAUJO","JOAQUIM ARAUJO","suplente"
