legislatura,nome,forma_saida,data_fim,censos_depois,ausente_em,visto_na_data_de_fim
14,APARECIDA FURTADO,outro,,2,2,
14,CAICA,outro,,2,2,
14,DR MAGNO,outro,,2,2,
14,EDMAR CUTRIM,outro,,2,2,
14,JOMAR,outro,,2,2,
14,JORGE PAVAO,outro,,2,2,
14,JURA,outro,,2,2,
14,NILSON GARCIA,outro,,2,2,
14,ZÉ GERARDO,outro,,2,2,
15,Antonio Pereira,licenca,2006-04-17,88,88,TRUE
15,Socorro Waquim,renuncia,2005-02-01,179,179,TRUE
15,Antonio Pereira Filho,outro,2005-11-04,126,126,TRUE
15,Camilo de Lellis Carneiro Figueiredo,outro,2005-11-04,126,126,TRUE
15,Carlos Alberto Milhomem de Sousa,outro,2005-11-04,126,126,TRUE
15,Deusdedith Alves Sampaio,outro,2005-11-04,126,126,TRUE
15,Domingos Francisco Dutra Filho,outro,2005-11-04,126,126,TRUE
15,Elgio Alves de Almeida,outro,2005-11-04,126,126,TRUE
15,Francisco de Assis Castro Gomes,outro,2005-11-04,126,126,TRUE
15,Humberto Coutinho,renuncia,2005-02-01,179,179,TRUE
15,Janice Santos Braide,outro,2005-11-04,126,126,TRUE
15,Jos Lima dos Santos Filho,outro,2005-11-04,126,126,TRUE
15,Manoel Sousa Viana,outro,2005-11-04,126,126,TRUE
15,Maria do Socorro Almeida Waquim,outro,2004-03-01,229,229,TRUE
15,Reginaldo Costa Nunes,outro,2005-11-04,126,126,TRUE
15,Soliney de Sousa e Silva,outro,2005-11-04,126,126,TRUE
15,Stênio dos Santos Rezende,outro,2005-11-04,126,126,TRUE
16,Pedro Veloso,falecimento,2009-10-14,211,211,TRUE
16,Roberto Costa,licenca,,297,297,
16,DR. PENALDON,outro,,297,297,
16,Fufuca,outro,2009-04-17,276,276,TRUE
16,Graciete Lisboa,cassacao,2009-11-17,193,193,TRUE
16,João Evangelista,falecimento,2010-05-13,111,111,TRUE
16,Mauro Jorge,outro,2009-04-17,276,276,TRUE
16,Soliney Silva,outro,2008-12-30,296,296,TRUE
17,Luciano Leitoa,outro,2012-12-28,368,368,TRUE
18,Humberto Coutinho,outro,2018-01-02,43,43,TRUE
19,Adriano Sarney,outro,2019-02-01,287,287,TRUE
19,Daniella Tema,outro,2022-02-01,67,67,TRUE
19,DRA. THAIZA,outro,,287,287,
19,Felipe dos Pneus,outro,2021-01-05,126,126,TRUE
19,Fernando Pessoa,outro,2021-01-05,126,126,TRUE
19,Marcelo Tavares,outro,2021-09-09,85,85,TRUE
19,PROFESSOR MARCO AURÉLIO,outro,,287,287,
19,Rafael Leitoa,outro,2022-12-14,13,13,TRUE
19,Rigo Teles,outro,2021-01-05,126,126,TRUE
19,Zé Gentil,outro,2020-06-17,160,160,TRUE
20,Edson Araújo,licenca,2026-04-08,82,82,TRUE
20,Abigail,outro,2025-02-03,194,194,TRUE
20,Hemetério Weba,cassacao,2025-06-05,171,171,TRUE
20,Janaína Ramos,outro,2024-04-05,245,245,TRUE
20,Juscelino Marreca,outro,2024-12-31,211,211,TRUE
20,Rafael Leitoa,outro,2023-04-19,360,360,TRUE
20,Rildo Amaral,outro,2024-12-31,211,211,TRUE
20,Roberto Costa,outro,2024-12-31,211,211,TRUE
