leg,variante,canonico,distancia
14,MALRINETE DOS SANTOS VALRIO MALRINETE GRALHADA,MALRINETE DOS SANTOS VALERIO MALRINETE GRALHADA,1
14,JOAQUIM LIMA DE ARAJO KINKAS ARAJO,JOAQUIM LIMA DE ARAUJO KINKAS ARAUJO,2
14,JOO EVANGELISTA SERRA DOS SANTOS,JOAO EVANGELISTA SERRA DOS SANTOS,1
14,CAMILO LLIS CARNEIRO FIGUEIREDO,CAMILO LELIS CARNEIRO FIGUEIREDO,1
14,HUMBERTO IVAR DE ARAJO COUTINHO,HUMBERTO IVAR DE ARAUJO COUTINHO,1
14,JOS ORLANDO FERREIRA DA SILVA,JOSE ORLANDO FERREIRA DA SILVA,1
14,MARIA DA GRAA NUNES MELO,MARIA DA GRACA NUNES MELO,1
14,MARIA TERESA TROVO MURAD,MARIA TERESA TROVAO MURAD,1
14,STNIO DOS SANTOS REZENDE,STENIO DOS SANTOS REZENDE,1
14,OSAS RODRIGUES DE SOUZA,OSEAS RODRIGUES DE SOUZA,1
14,JOS JORGE LEITE SOARES,JOSE JORGE LEITE SOARES,1
14,JOS RAIMUNDO RODRIGUES,JOSE RAIMUNDO RODRIGUES,1
14,MARLY GONALVES ABDALLA,MARLY GONCALVES ABDALLA,1
14,HLIO OLIVEIRA SOARES,HELIO OLIVEIRA SOARES,1
14,JNATAS LOPES FREITAS,JONATAS LOPES FREITAS,1
14,JLIO PIRES MONTELES,JULIO PIRES MONTELES,1
14,JOO MACEDO DA SILVA,JOAO MACEDO DA SILVA,1
14,JULIO AMIN CASTRO,JULIAO AMIN CASTRO,1
14,JOO PAVO FILHO,JOAO PAVAO FILHO,2
15,JOO EVANGELISTA SERRA DOS SANTOS,JOAO EVANGELISTA SERRA DOS SANTOS,1
15,CSAR HENRIQUE SANTOS PIRES,CESAR HENRIQUE SANTOS PIRES,1
15,JOS LIMA DOS SANTOS FILHO,JOSE LIMA DOS SANTOS FILHO,1
15,MARIA DA GRAA FONSECA PAZ,MARIA DA GRACA FONSECA PAZ,1
15,MARIA TERESA TROVO MURAD,MARIA TERESA TROVAO MURAD,1
15,STNIO DOS SANTOS REZENDE,STENIO DOS SANTOS REZENDE,1
15,ANTONIO CARLOS BACELAR,ANTONIO CARLOS BARCELAR,1
15,ELGIO ALVES DE ALMEIDA,ELIGIO ALVES DE ALMEIDA,1
15,JOS MAX PEREIRA BARROS,JOSE MAX PEREIRA BARROS,1
15,MAURO DE ARAJO BEZERRA,MAURO DE ARAUJO BEZERRA,1
15,HLIO OLIVIERA SOARES,HELIO OLIVIERA SOARES,1
15,JULIO AMIN CASTRO,JULIAO AMIN CASTRO,1
15,FRANCISCO GOMES,FRANCISCO GOM ES,1
15,ELIGIO ALMEIDA,ELIGIO ALM EIDA,1
15,JOO PAVO FILHO,JOAO PAVAO FILHO,2
15,SOCORRO WAQUIM,SOCORRO W AQUIM,1
15,STENIO REZENDE,STENIO RESENDE,1
16,VALDIVINO CABRAL,VALDEVINO CABRAL,1
16,STENIO REZENDE,STENIO RESENDE,1
16,MAURO JORGE,MAURA JORGE,1
17,CARLOS FILHO,CARLOS FILHOS,1
17,JOTA PINTO,JOTA PINTA,1
18,JOSIMAR MARANHAOZINHO,JOSIMAR DE MARANHAOZINHO,3
18,WELLIGTON DO CURSO,WELLINGTON DO CURSO,1
18,EDVALDO HOLANDA,EDIVALDO HOLANDA,1
18,STENIO REZENDE,STENIO RESENDE,1
19,PROF SOCORRO WADIM,PROF SOCORRO WAQUIM,2
19,CLEIDE COUTINHO,DR CLEIDE COUTINHO,3
19,DUARTE UNIOR,DUARTE JUNIOR,1
19,WENDEL LAGES,WENDELL LAGES,1
19,ZITO ROLIM,ZITO DO ROLIM,3
20,JOAO BATISTA SEGUNDO,JOAO BASTISTA SEGUNDO,1
20,ALAN DA MARISOL,ALAN DA MARISSOL,1
20,HELENA DUAILIBE,DR HELENA DUAILIBE,3
