legislatura,nome,condicao,forma_saida,data_fim_exercicio,url,causa_original
16,ALBERTO FEITOSA,suplente,licenca,2011-02-24,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-24022011/Flip.pdf,"HERME UCHÔA, HENRIQUE QUEIROZ, MARY GOUVEIA, PASTOR CLEITON COLLINS E TERESA LEITÃO, ENCONTRANDO-SE LICENCIADOS OS DEPUTADOS ALBERTO FEITOSA, ANDRÉ CAMPOS, ISALTINO NASCIMENTO, LAURA GOMES E RAQUEL LYRA, CONSTATADO O QUORUM REGIMENTAL, O SENHOR PRESIDENTE, DEPUTADO MARCANTÔNIO DOU"
16,Isaltino Nascimento,titular,licenca,2011-01-05,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-05012011/Flip.pdf,"ntregue na Assistência Legislativa a documentação exigida no artigo 24 do Regimento Interno, declara-o efetivado na vaga do Deputado Licenciado ISALTINO NASCIMENTO. Continuando, o Deputado Guilherme Uchôa convida a todos para de pé ouvirem o Compromisso Constitucional de posse, proferido pe"
16,João Negromonte,titular,falecimento,2008-11-18,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-18112008/Flip.pdf,"iência; RESOLVE: Art. 1º Fica decretado luto oficial, por 03 (três) dias, na Assembléia Legislativa do Estado de Pernambuco, em virtude do falecimento do Deputado Estadual João Negromonte Filho. Art. 2º Este Ato entra em vigor na data de sua publicação, retroagindo seus efeitos a 17 de novembro de 2008"
16,Romário Dias,titular,renuncia,2007-07-19,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-19072007/Flip.pdf,"ue a Reunião tem por finalidade proceder a eleição para escolha do novo Presidente desta Comissão, em face da renúncia do Deputado Romário Dias ao seu mandato Estadual, e por conseguinte ao cargo de Presidente deste órgão colegiado técnico, e de acordo com o §1º do Art. 104"
17,IZAÍAS RÉGIS,titular,licenca,2013-07-04,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-04072013/Flip.pdf,"ANTI, MANOEL SANTOS, MAVIAEL CAVALCANTI, ODACY AMORIM, RODRIGO NOVAES E ZÉ MAURÍCIO, ENCONTRANDO-SE LICENCIADOS OS DEPUTADOS ALBERTO FEITOSA, ALUISIO LESSA, ISALTINO NASCIMENTO, IZAÍAS RÉGIS (ATRAVÉS DA RESOLUÇÃO Nº 1148, DE 28 DE NOVEMBRO DE 2012), LAURA GOMES E VINÍCIUS LABANCA (ATRAVÉS DA RESOLUÇÃO Nº 1149, DE 28 DE NOVEMBRO D"
18,AGLAILSON JÚNIOR,titular,renuncia,2016-12-22,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-22/Flip.pdf,"er Legislativo, para tomar posse no cargo de Prefeito do município de Sertânia. À Publicação. X X X X X X X X X X OFÍCIO Nº 059/2016 - DO DEPUTADO AGLAILSON JÚNIOR comunicando sua renúncia ao mandato de Deputado Estadual a partir de 1º de janeiro 2017, em conformidade com o"
18,ÂNGELO FERREIRA,titular,renuncia,2016-12-22,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-22/Flip.pdf,"lativo, para tomar posse no cargo de Prefeito do município de Cabo de Santo Agostinho. À Publicação. X X X X X X X X X X OFÍCIO S/Nº - DO DEPUTADO ÂNGELO FERREIRA comunicando sua renúncia ao mandato de Deputado Estadual a partir de 1º de janeiro 2017, em conformidade com o"
18,GUILHERME UCHOA,titular,falecimento,2018-07-04,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2018-07-04/Flip.pdf,"ência; RESOLVE: Art. 1º Fica decretado luto oficial por 05 (cinco) dias na Assembleia Legislativa do Estado de Pernambuco, em virtude do falecimento do Deputado Estadual Guilherme Uchoa. Art. 2º Este Ato entra em vigor na data de sua publicação, retroagindo seus efeitos a 3 de julho de 2018. Sala Torre"
18,LULA CABRAL,titular,licenca,2016-11-24,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-11-24/Flip.pdf,", RAQUEL LYRA, RICARDO COSTA, ROGÉRIO LEÃO, SÍLVIO COSTA FILHO, VINÍCIUS LABANCA E WALDEMAR BORGES, LICENCIADOS OS DEPUTADOS ALBERTO FEITOSA, LULA CABRAL, NILTON MOTA, ROMÁRIO DIAS E TONY GEL, CONSTATADO O QUORUM REGIMENTAL, O SENHOR PRESIDENTE, DEPUTADO AUGUSTO CÉSAR, DECLARA ABERTA A REUNIÃO"
18,MIGUEL COELHO,titular,licenca,2016-12-22,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2016-12-22/Flip.pdf,"ÃO, ROMÁRIO DIAS, SÍLVIO COSTA FILHO, SIMONE SANTANA, TONY GEL, VINÍCIUS LABANCA E WALDEMAR BORGES, LICENCIADOS OS DEPUTADOS ALBERTO FEITOSA, ANDRÉ FERREIRA, MIGUEL COELHO E NILTON MOTA, O MESTRE-DECERIMÔNIAS HILDEBRANDO MARQUES PESSOAANUNCIA O INÍCIO DA SOLENIDADE DE HOMENAGEM AALDO DE AZEVEDO MOTA PELOS TRINT"
18,ODACY AMORIM,titular,renuncia,2019-01-17,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2019-01-17/Flip.pdf,“PTB/PT/PSC/PDT/PRB/PT DO B – PERNAMBUCO VAI MAIS LONGE” E SE TORNA TITULAR DO MANDATO DE DEPUTADO ESTADUAL EM VIRTUDE DA RENÚNCIA DO DEPUTADO ODACY AMORIM AO MANDATO DE DEPUTADO ESTADUAL. O PRESIDENTE DÁ AS BOAS-VINDAS A ESTA CASA A OSMAR RICARDO CABRAL BARRETO PARA A POSSE. O DEPUTADO
20,JOSÉ PATRIOTA,titular,falecimento,2024-09-17,https://www.alepe.pe.gov.br/2024/09/17/morre-o-deputado-jose-patriota/,Morre o deputado José Patriota. Faleceu na manhã desta terça (17) o deputado estadual {dep: 481470(José Patriota)} (PSB). Ele tinha 63 anos e estava em tratamento contra u
20,WALDEMAR BORGES,titular,falecimento,2026-07-04,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-2026-07-04-extra1/Flip.pdf,"lve: Art. 1º Fica decretado luto oficial, por 05 (cinco) dias, na Assembleia Legislativa do Estado de Pernambuco, em virtude do falecimento do Deputado Estadual Waldemar Borges. Art. 2º Este Ato entra em vigor na data da sua publicação. Sala Torres Galvão, em 4 de julho de 2026. ÁLVARO PORTO Presidente"
