legislatura,nome,chave,data_evento,origem,url,n_trechos
15,AUGUSTO CÉSAR,licenca,2005-09-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06092005/Flip.pdf,11
15,BRUNO ARAÚJO,licenca,2006-05-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-23052006/Flip.pdf,5
15,CLAUDIANO MARTINS,licenca,2005-06-28,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-28062005/Flip.pdf,6
15,ETTORE LABANCA,licenca,2006-11-14,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-14112006/Flip.pdf,10
15,IZAÍAS RÉGIS,licenca,2006-05-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-24052006/Flip.pdf,6
15,JOÃO NEGROMONTE,licenca,2007-03-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-02032007/Flip.pdf,6
15,JOSÉ QUEIROZ,licenca,2006-11-14,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-14112006/Flip.pdf,4
15,LOURIVAL SIMÕES,licenca,2006-11-17,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-17112006/Flip.pdf,6
15,MANOEL FERREIRA,licenca,2005-06-07,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-07062005/Flip.pdf,1
15,MAVIAEL CAVALCANTI,licenca,2006-05-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-05052006/Flip.pdf,17
15,RAIMUNDO PIMENTEL,licenca,2005-12-16,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-16122005/Flip.pdf,5
15,ROMÁRIO DIAS,licenca,2007-03-02,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-02032007/Flip.pdf,2
15,SEBASTIÃO OLIVEIRA JÚNIOR,afastamento,2007-02-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06022007/Flip.pdf,10
15,SÉRGIO LEITE,licenca,2005-06-07,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-07062005/Flip.pdf,1
15,Ana Cavalcanti,licenca,2005-08-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-24082005/Flip.pdf,2
15,Ciro Coelho,licenca,2005-04-26,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-26042005/Flip.pdf,1
15,Raul Henry,licenca,2006-11-17,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-17112006/Flip.pdf,4
16,André Campos,afastamento,2011-02-23,noticia,https://www.alepe.pe.gov.br/2011/02/23/oscar-barreto-toma-posse-na-assembleia/,5
16,Ângelo Ferreira,licenca,2009-01-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06012009/Flip.pdf,1
16,Augusto Coutinho,licenca,2010-11-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-24112010/Flip.pdf,40
16,Carlos Santana,licenca,2011-01-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06012011/Flip.pdf,5
16,Ceça Ribeiro,licenca,2010-12-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-23122010/Flip.pdf,1
16,Ciro Coelho,licenca,2008-04-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-23042008/Flip.pdf,8
16,Clodoaldo Magalhães,licenca,2010-12-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-01122010/Flip.pdf,24
16,Coronel José Alves,licenca,2007-06-27,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-27062007/Flip.pdf,10
16,Edson Vieira,licenca,2008-11-19,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-19112008/Flip.pdf,1
16,Elina Carneiro,licenca,2007-10-30,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-30102007/Flip.pdf,6
16,Everaldo Cabral,licenca,2008-11-13,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-13112008/Flip.pdf,10
16,Henrique Queiroz,licenca,2008-12-30,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-30122008/Flip.pdf,22
16,Isaltino Nascimento,licenca,2011-01-05,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-05012011/Flip.pdf,2
16,Izaías Régis,licenca,2010-04-13,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-13042010/Flip.pdf,11
16,João Fernando Coutinho,licenca,2009-03-11,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-11032009/Flip.pdf,11
16,João Negromonte,falecimento,2008-11-18,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-18112008/Flip.pdf,1
16,Manoel Ferreira,licenca,2008-11-07,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-07112008/Flip.pdf,5
16,Miriam Lacerda,licenca,2008-12-30,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-30122008/Flip.pdf,29
16,Raimundo Pimentel,licenca,2008-11-21,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-21112008/Flip.pdf,6
16,Romário Dias,renuncia,2007-07-19,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-19072007/Flip.pdf,1
16,Sílvio Costa Filho,afastamento,2008-04-01,noticia,https://www.alepe.pe.gov.br/2008/04/01/juventude-elege-novo-presidente/,4
16,Terezinha Nunes,licenca,2010-12-21,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-21122010/Flip.pdf,28
16,Carla Lapa,licenca,2010-06-23,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-23062010/Flip.pdf,20
16,Claudiano Martins,licenca,2010-05-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-20052010/Flip.pdf,16
16,Ricardo Teobaldo,licenca,2008-05-30,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-30052008/Flip.pdf,8
16,ALBERTO FEITOSA,licenca,2011-02-24,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-24022011/Flip.pdf,31
16,JOÃO DA COSTA,afastamento,2007-03-08,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-08032007/Flip.pdf,2
16,ISABEL CRISTINA,licenca,2008-05-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-20052008/Flip.pdf,7
16,JACILDA URQUISA,licenca,2010-06-01,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-01062010/Flip.pdf,6
16,WALDEMAR BORGES,afastamento,2009-02-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06022009/Flip.pdf,3
16,NELSON PEREIRA DE CARVALHO,licenca,2009-02-20,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-20022009/Flip.pdf,4
16,AMAURY PINTO,licenca,2009-05-06,do,https://www.alepe.pe.gov.br/Flip/pubs/diario-oficial-06052009/Flip.pdf,1
