legislatura,nome,n_datas,n_vocabulos,primeira,ultima
15,Hildebrando Marques,1,2,2005-10-17,2005-10-17
15,RESPECTIVAMENTE,1,1,2006-03-31,2006-03-31
15,AS CADEIRAS DE PRIMEIRO,1,2,2006-03-31,2006-03-31
16,Airinho,34,1,2007-02-05,2007-04-17
16,Silva,1,1,2007-05-08,2007-05-08
16,Tereza Leitão,1,2,2007-06-11,2007-06-11
16,IZABEL CRISTINA,1,2,2007-06-13,2007-06-13
16,ERIBERTO SANTOS,1,2,2007-06-18,2007-06-18
16,MIRIAN LACERDA,1,2,2007-06-20,2007-06-20
16,NO XV JOGOS PAN-AMERICANOS,1,3,2007-08-13,2007-08-13
16,ESMERALDO SANTOS TRATANDO DESTE ASSUNTO,1,5,2007-08-29,2007-08-29
16,MARCOS DE BARROS FREIRE,1,3,2007-09-11,2007-09-11
16,DESEMBARGADOR,1,1,2007-10-09,2007-10-09
16,DOUTORANADEGI,3,1,2008-08-14,2009-10-08
16,ALBERTO,1,1,2009-09-16,2009-09-16
16,FEITOSA,1,1,2009-09-16,2009-09-16
16,SETENTA,1,1,2010-04-06,2010-04-06
16,SUPERINTENDENTE REGIONAL DO TRABALHO,1,3,2010-04-26,2010-04-26
16,CHEFE DO CERIMONIAL DESTA CASA,1,4,2010-06-16,2010-06-16
17,RAMOS,495,1,2011-02-01,2014-12-22
16,ADALBERTO CAVALCANTI,1,2,2010-02-02,2010-02-02
16,ADALTO SANTOS,1,2,2010-02-02,2010-02-02
16,ALUÍSIO LESSA,1,2,2010-02-02,2010-02-02
16,BOTAFOGO FILHO,1,2,2010-02-02,2010-02-02
16,CLAUDIANO MARTINS FILHO,1,3,2010-02-02,2010-02-02
16,DANIEL COELHO,1,2,2010-02-02,2010-02-02
16,DIOGO MORAES,1,2,2010-02-02,2010-02-02
16,FRANCISMAR PONTES,1,2,2010-02-02,2010-02-02
16,GUSTAVO NEGROMONTE,1,2,2010-02-02,2010-02-02
16,JULIO CAVALCANTI,1,2,2010-02-02,2010-02-02
16,LAURA GOMES,1,2,2010-02-02,2010-02-02
16,LUCIANO SIQUEIRA,1,2,2010-02-02,2010-02-02
16,MANOEL SANTOS,1,2,2010-02-02,2010-02-02
16,MARY GOUVEIA,1,2,2010-02-02,2010-02-02
16,ODACY AMORIM,1,2,2010-02-02,2010-02-02
16,PEDRO SERAFIM NETO,1,3,2010-02-02,2010-02-02
16,RAMOS,1,1,2010-02-02,2010-02-02
16,RAQUEL LYRA,1,2,2010-02-02,2010-02-02
16,RILDO BRAZ,1,2,2010-02-02,2010-02-02
16,TONY GEL,1,2,2010-02-02,2010-02-02
16,VINÍCIUS LABANCA,1,2,2010-02-02,2010-02-02
17,OITENTA,1,1,2011-03-22,2011-03-22
17,SILVA,1,1,2011-04-05,2011-04-05
17,SETENTA,1,1,2011-04-05,2011-04-05
17,JÚLIO CAVALCAN,1,2,2011-02-26,2011-02-26
17,VINÍCIUS LABANCAE WALDEMAR BORGES,2,4,2011-04-18,2013-04-01
17,JÚLIO CAVALCANTE,1,2,2011-03-16,2011-03-16
17,JOSÉ HUMBERTO,1,2,2011-05-10,2011-05-10
17,FEDERAL,1,1,2011-11-22,2011-11-22
17,ESTADUAIS,1,1,2011-11-22,2011-11-22
17,PESSOA JURÍDICA,1,2,2011-12-05,2011-12-05
17,COMPOSITOR GENIVAL LACERDA CAVALCANTE,1,4,2011-12-14,2011-12-14
17,AMBIENTAL PROFESSOR ROLDÃO,2,3,2011-11-30,2012-12-04
17,ZUMBI DOS PALMARES,1,2,2011-11-30,2011-11-30
17,AO MAESTRO FORRÓ,1,2,2011-11-30,2011-11-30
17,ESPORTIVO,1,1,2011-11-30,2011-11-30
17,AO ATLETA MARCOS ANTÔNIO PEREIRA,1,4,2011-11-30,2011-11-30
17,AO INSTITUTO PAPAI,1,2,2011-11-30,2011-11-30
17,ADMINISTRATIVO,1,1,2011-11-30,2011-11-30
17,A REDE DE SUPERMERCADO ARCO-ÍRIS,1,4,2011-11-30,2011-11-30
17,ANTONIO CAMAROTTI,1,2,2011-11-30,2011-11-30
17,DESEMBARGADOR,1,1,2011-11-30,2011-11-30
