rid,id_noticia,data_ev,classe,trecho,url_ev,via
6,33144,2013-02-28,posse,DEPUTADO NELSON GONÇALVES TOMA POSSE NO LUGAR DE ANDRÉ LAZARONI,https://www.alerj.rj.gov.br/Visualizar/Noticia/33143,titulo
6,31354,2012-02-27,posse,DEPUTADO ANDRÉ LAZARONI ASSUME COMISSÃO DE EDUCAÇÃO,https://www.alerj.rj.gov.br/Visualizar/Noticia/31353,titulo
6,31342,2012-02-09,posse,DEPUTADO ANDRÉ LAZARONI ASSUME COMISSÃO DE EDUCAÇÃO,https://www.alerj.rj.gov.br/Visualizar/Noticia/31341,titulo
12,29220,2011-05-04,posse,DEPUTADO BRUNO CORREIA TOMA POSSE NA ASSEMBLEIA LEGISLATIVA,https://www.alerj.rj.gov.br/Visualizar/Noticia/29219,titulo
35,33050,2013-01-03,posse,GOTHARDO NETTO E GERALDO PUDIM SÃO EMPOSSADOS COMO DEPUTADOS NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/33049,titulo
41,33180,2013-03-11,posse,DEPUTADO HÉLCIO ÂNGELO TOMA POSSE E ASSUME A COMISSÃO DA CRIANÇA,https://www.alerj.rj.gov.br/Visualizar/Noticia/33179,titulo
46,33424,2013-05-06,posse,DEPUTADO JOÃO NACIF TOMA POSSE NA ASSEMBLEIA LEGISLATIVA,https://www.alerj.rj.gov.br/Visualizar/Noticia/33423,titulo
61,33144,2013-02-28,posse,DEPUTADO NELSON GONÇALVES TOMA POSSE NO LUGAR DE ANDRÉ LAZARONI,https://www.alerj.rj.gov.br/Visualizar/Noticia/33143,titulo
100,40438,2017-08-08,posse,DEPUTADO CHICO MACHADO ASSUME MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/40970,titulo
169,44010,2019-01-27,falecimento,ALERJ DECRETA LUTO OFICIAL DE TRÊS DIAS PELA MORTE DO DEPUTADO ESTADUAL WAGNER MONTES,https://www.alerj.rj.gov.br/Visualizar/Noticia/44995,titulo
169,44009,2019-01-26,falecimento,Alerj lamenta a morte do deputado estadual Wagner Montes,https://www.alerj.rj.gov.br/Visualizar/Noticia/44993,titulo
181,44922,2019-06-06,posse,DEPUTADO ANDERSON ALEXANDRE TOMA POSSE NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/46098,titulo
185,48369,2020-12-01,posse,CHARLLES BATISTA E ÁTILA NUNES ASSUMEM MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/49814,titulo
191,46670,2020-01-23,posse,"SUPLENTE DO REPUBLICANOS, PAULO TEIXEIRA TOMA POSSE NA ALERJ",https://www.alerj.rj.gov.br/Visualizar/Noticia/48092,titulo
195,48401,2020-12-08,posse,CÉLIA JORDÃO ASSUME MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/49862,titulo
196,48369,2020-12-01,posse,CHARLLES BATISTA E ÁTILA NUNES ASSUMEM MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/49814,titulo
207,47346,2020-05-27,posse,Deputado Pedro Ricardo toma posse na Alerj,https://www.alerj.rj.gov.br/Visualizar/Noticia/48781,titulo
212,48050,2020-10-05,posse,DEPUTADO EURICO JÚNIOR (PSC) TOMA POSSE NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/49531,titulo
225,52824,2022-10-06,posse,DEPUTADO JARI OLIVEIRA TOMA POSSE NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/54587,titulo
226,48025,2020-09-30,falecimento,ALERJ LAMENTA A MORTE DO DEPUTADO JOÃO PEIXOTO,https://www.alerj.rj.gov.br/Visualizar/Noticia/49506,titulo
237,52092,2022-06-28,posse,SÉRGIO LOUBACK ASSUME MANDATO NA ALERJ NA VAGA DE MÁRCIO PACHECO ELEITO CONSELHEIRO DO TCE,https://www.alerj.rj.gov.br/Visualizar/Noticia/53852,titulo
246,52847,2022-10-11,posse,DEPUTADA PAULA TRINGUELÊ TOMA POSSE NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/54575,titulo
246,51008,2022-02-16,posse,PAULA TRINGUELÊ ASSUME MANDATO DE DEPUTADA ESTADUAL NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/52552,titulo
247,52992,2022-11-10,posse,DEPUTADO RAFAEL DO GORDO TOMA POSSE E ASSUME MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/54735,titulo
260,52092,2022-06-28,posse,SÉRGIO LOUBACK ASSUME MANDATO NA ALERJ NA VAGA DE MÁRCIO PACHECO ELEITO CONSELHEIRO DO TCE,https://www.alerj.rj.gov.br/Visualizar/Noticia/53852,titulo
294,57204,2023-09-27,posse,DELEGADO CARLOS AUGUSTO ASSUME MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/59327,titulo
294,57204,2023-09-27,posse,DELEGADO CARLOS AUGUSTO ASSUME MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/59327,titulo
304,83208,2026-07-02,posse,FABIANI VASCONCELLOS ASSUME MANDATO DE DEPUTADA NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/86151,titulo
327,53504,2023-02-13,posse,ALERJ EMPOSSA DEPUTADO MARCELO DINO NA VAGA DE DAUAIRE QUE ASSUMIU SECRETARIA DE HABITAÇÃO,https://www.alerj.rj.gov.br/Visualizar/Noticia/55287,titulo
334,64027,2024-05-27,falecimento,ALERJ LAMENTA MORTE DO DEPUTADO OTONI DE PAULA PAI E DECRETA LUTO OFICIAL DE TRÊS DIAS,https://www.alerj.rj.gov.br/Visualizar/Noticia/66410,titulo
338,63309,2024-05-09,posse,DEPUTADO RENAN JORDY TOMA POSSE NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/65692,titulo
351,84349,2026-08-12,renuncia,ALERJ RECEBE PEDIDO DE RENÚNCIA DO DEPUTADO THIAGO RANGEL,https://www.alerj.rj.gov.br/Visualizar/Noticia/87312,titulo
359,58807,2023-11-01,posse,DEPUTADO WELLINGTON JOSÉ ASSUME MANDATO NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/60910,titulo
446,9665,2004-12-22,falecimento,COMISSÃO LEVA PERITO AO LOCAL DA MORTE DO DEPUTADO ALBANO REIS,https://www.alerj.rj.gov.br/Visualizar/Noticia/9664,titulo
446,9627,2004-12-20,falecimento,NOTA DA PRESIDÊNCIA SOBRE A MORTE DO DEPUTADO ALBANO REIS,https://www.alerj.rj.gov.br/Visualizar/Noticia/9626,titulo
446,9622,2004-12-19,falecimento,NOTA DA PRESIDÊNCIA SOBRE A MORTE DO DEPUTADO ALBANO REIS,https://www.alerj.rj.gov.br/Visualizar/Noticia/9621,titulo
450,7018,2004-01-11,posse,ALICE TAMBORINDEGUY TOMA POSSE NA ALERJ,https://www.alerj.rj.gov.br/Visualizar/Noticia/7017,titulo
