fonte_tipo,condicao,forma_saida,N
html,nao_informado,nao_observado,2246
html,nao_informado,,70
html,suplente,nao_observado,32
html,titular,nao_observado,169
sapl_api,suplente,outro,42
sapl_api,suplente,suplente_efetivado,29
sapl_api,suplente,,22
sapl_api,suplente,afastamento,1
sapl_api,suplente,falecimento,1
sapl_api,suplente,renuncia,1
sapl_api,titular,fim_regular,1146
sapl_api,titular,,209
sapl_api,titular,renuncia,26
sapl_api,titular,outro,20
sapl_api,titular,licenca,10
sapl_api,titular,falecimento,4
sapl_api,titular,cassacao,3
sapl_api,titular,afastamento,3
