sg_uf,encerrados,sem_forma,sem_forma_fora_da_curadoria,resolvidos_pela_curadoria,outro,licenca_como_saida,curadoria
RJ,420,240,240,0,23,30,0
RN,144,139,139,0,5,0,0
AP,144,138,138,0,2,0,0
MS,144,130,130,0,10,0,0
DF,144,89,89,52,0,0,52
CE,276,88,88,0,25,1,0
AM,144,76,76,0,3,1,0
PA,246,48,48,187,8,0,187
AL,162,44,44,0,0,0,0
MA,252,33,33,0,33,0,0
ES,180,25,25,151,4,0,151
RO,144,20,20,0,2,1,0
AC,144,15,15,0,1,0,0
PI,180,14,14,0,2,2,0
SE,144,12,12,0,12,0,0
MG,462,11,11,0,2,28,0
RR,144,11,11,0,6,0,0
PE,294,10,10,0,22,4,0
SP,564,7,7,0,37,4,0
PB,216,5,5,0,6,1,0
RS,330,3,3,0,20,6,0
BA,378,1,1,0,0,8,0
GO,246,0,0,246,0,0,246
MT,144,0,0,144,0,0,144
PR,324,0,0,0,11,3,0
SC,240,0,0,240,0,0,240
TO,144,0,0,120,0,0,120
