sg_ue,uf,arquivos,tem_linha,tem_pareamento
01007,AC,4,TRUE,TRUE
01023,AC,4,TRUE,FALSE
01040,AC,3,FALSE,FALSE
01058,AC,7,FALSE,FALSE
01112,AC,4,TRUE,TRUE
01473,AC,5,FALSE,FALSE
01490,AC,7,FALSE,FALSE
01570,AC,7,FALSE,FALSE
27014,AL,3,FALSE,FALSE
27022,AL,3,FALSE,FALSE
27030,AL,3,FALSE,FALSE
27049,AL,5,FALSE,FALSE
27057,AL,3,FALSE,FALSE
27065,AL,4,FALSE,FALSE
27073,AL,3,FALSE,FALSE
27081,AL,4,TRUE,TRUE
27090,AL,4,TRUE,TRUE
27111,AL,5,TRUE,TRUE
27138,AL,3,FALSE,FALSE
27154,AL,4,TRUE,FALSE
27170,AL,3,FALSE,FALSE
27197,AL,4,TRUE,TRUE
27219,AL,4,TRUE,TRUE
27235,AL,4,FALSE,FALSE
27251,AL,3,FALSE,FALSE
27278,AL,3,FALSE,FALSE
27294,AL,3,FALSE,FALSE
27316,AL,6,TRUE,TRUE
27332,AL,4,FALSE,FALSE
27359,AL,3,FALSE,FALSE
27375,AL,3,FALSE,FALSE
27391,AL,4,TRUE,TRUE
27413,AL,3,FALSE,FALSE
27430,AL,5,TRUE,TRUE
27456,AL,4,TRUE,TRUE
27472,AL,3,FALSE,FALSE
27499,AL,3,FALSE,FALSE
27510,AL,8,FALSE,FALSE
27537,AL,3,FALSE,FALSE
27553,AL,5,FALSE,FALSE
27570,AL,3,FALSE,FALSE
27596,AL,6,TRUE,TRUE
27634,AL,3,FALSE,FALSE
27650,AL,3,FALSE,FALSE
27677,AL,3,FALSE,FALSE
27693,AL,4,TRUE,TRUE
27731,AL,7,FALSE,FALSE
27758,AL,5,TRUE,TRUE
27774,AL,4,TRUE,TRUE
27790,AL,6,TRUE,TRUE
27812,AL,3,FALSE,FALSE
27839,AL,4,FALSE,FALSE
27855,AL,4,TRUE,TRUE
27871,AL,3,FALSE,FALSE
27910,AL,4,TRUE,TRUE
27952,AL,4,TRUE,FALSE
27979,AL,4,TRUE,FALSE
27995,AL,6,FALSE,FALSE
28010,AL,5,TRUE,TRUE
28037,AL,3,FALSE,FALSE
28053,AL,3,FALSE,FALSE
28070,AL,3,FALSE,FALSE
28096,AL,3,FALSE,FALSE
28134,AL,7,TRUE,TRUE
28150,AL,6,TRUE,TRUE
28177,AL,4,TRUE,TRUE
28193,AL,5,FALSE,FALSE
28215,AL,3,FALSE,FALSE
28231,AL,3,FALSE,FALSE
28258,AL,5,FALSE,FALSE
28274,AL,5,TRUE,TRUE
28290,AL,3,FALSE,FALSE
28312,AL,3,FALSE,FALSE
28339,AL,6,TRUE,TRUE
28355,AL,3,FALSE,FALSE
28371,AL,7,TRUE,TRUE
28398,AL,4,TRUE,TRUE
28410,AL,3,FALSE,FALSE
28436,AL,3,FALSE,FALSE
28452,AL,0,FALSE,FALSE
28479,AL,5,FALSE,FALSE
28495,AL,4,FALSE,FALSE
28517,AL,3,FALSE,FALSE
28550,AL,5,FALSE,FALSE
28592,AL,3,FALSE,FALSE
28614,AL,3,FALSE,FALSE
28630,AL,5,FALSE,FALSE
28657,AL,4,TRUE,TRUE
28673,AL,3,FALSE,FALSE
28690,AL,5,TRUE,TRUE
28711,AL,6,FALSE,FALSE
