uf,sg_ue,ano_eleicao_bocel,sistema,nome_fonte,id_mandato_bocel,url
MG,43338,2024,actcon,JARDEL GOMES,M2024_43338_13_70000_130002151438,https://coimbra.mg.leg.br/parlamentares/legislatura/9-2025-2028/4
MG,52515,2000,actcon_generico_links,NICO INÁCIO,M2000_52515_13_25612_619,https://www.camarasaojoaodooriente.mg.gov.br/proc_leg_par_vis.aspx?cd=59
RS,87246,2020,citta_generico_secoes,Jocelino Rodrigues,M2020_87246_13_10000_210000958873,https://novasantarita.rs.leg.br/pagina/ex-vereadores
RS,85189,2024,wordpress_cpt_generico,Cleiton Graff,M2024_85189_13_45699_210002072275,https://camaraharmonia.rs.gov.br/vereadores/
PR,74306,2004,webline_generico_secoes,ANGELA MARIA MOREIRA KRAUS,M2004_74306_13_15123_272,https://camarafarol.pr.gov.br/vereador/12?idLeg=3
PB,21717,2024,wordpress_cpt,JOÃO BATISTA DE SOUSA,M2024_21717_13_40444_150002011867,https://camarasantanademangueira.pb.gov.br/vereadores/joao-batista-de-sousa/
PR,78913,2024,generico_secoes,José Donizete Isalberti,M2024_78913_13_15015_160002135569,http://www.cmsaopedrodoivai.pr.gov.br/index.php?sessao=b054603368v1b0&id=20604
TO,73032,2008,generico_secoes,CHICO DA VENDA,M2008_73032_13_23456_2917,https://darcinopolis.to.leg.br/vereador/66
SE,32131,2024,generico,Ronnyson Souza Silva,M2024_32131_13_55444_260002137242,https://camarapropria.se.gov.br/vereadores/ronnyson-souza-silva
MG,53074,2020,generico_secoes,Cleber Nogueira de Lima,M2020_53074_13_45444_130000779548,https://www.camarasapucaimirim.mg.gov.br/legislaturas
