uf,sg_ue,ano_eleicao_bocel,sistema,nome_fonte,nome_parlamentar,nome_bocel,nome_urna_bocel,metodo_pareamento,forma_saida,tipo_afastamento,id_mandato_bocel,id_pessoa_bocel,url
SC,80659,2008,legisoft,IVO TADEU ANTUNES DE OLIVEIRA,IVO TADEU ANTUNES DE OLIVEIRA,IVO TADEU ANTUNES DE OLIVEIRA,IVO,nome_completo,nao_observado,,M2008_80659_13_25555_6604,BOCEL0082714,https://camaracampobelodosul.sc.gov.br/vereador/ivo-tadeu-antunes-de-oliveira-43
AL,27090,2024,wordpress_cpt_generico,FLÁVIO MUSKYTO,FLÁVIO MUSKYTO,JOSÉ FLÁVIO DA SILVA SOUZA,FLÁVIO MUSKYTO,nome_fonte=nome_urna,nao_observado,,M2024_27090_13_15555_20002148684,BOCEL0103829,https://barradesantoantonio.al.leg.br/mesa-diretora/
SP,64270,2000,generico_secoes,OSMAR APARECIDO DOMINGOS,OSMAR APARECIDO DOMINGOS,OSMAR APARECIDO DOMINGOS,CYNAR,nome_completo,nao_observado,,M2000_64270_13_15610_219,BOCEL0194236,https://www.camarafranciscomorato.sp.gov.br/vereadores/legislaturas
SP,66311,2008,webline,FLAUTILDES PEREIRA DUDU FILHO,DUDU,FLAUTILDES PEREIRA DUDU FILHO,FLAUTILDES DUDU FILHO,nome_completo,fim_regular,,M2008_66311_13_25789_42080,BOCEL0177040,https://camaralavinia.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=6&idleg=1
SP,69035,2016,webline,Eunice Pereira Alves,Nice do Posto,EUNICE PEREIRA ALVES,NICE DO POSTO,nome_completo,fim_regular,,M2016_69035_13_14123_250000080631,BOCEL0144320,https://camarapongai.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=13&idleg=3
RS,89753,2016,wordpress_cpt_generico_secoes,Sandro Drum,Sandro Drum,SANDRO DRUM,SANDRO DRUM,nome_completo,nao_observado,,M2016_89753_13_15680_210000018005,BOCEL0129019,https://www.camarasaltodojacui.rs.gov.br/camara/ex-vereadores/
RS,87980,2008,icamaras,VILSON NEITOR CORNELIUS,VILSON NEITOR CORNELIUS,VILSON NEITOR CORNELIUS,VILSON CORNELIUS,nome_completo,nao_observado,,M2008_87980_13_12666_7996,BOCEL0166471,https://travesseiro.rs.leg.br/vereador/1032/?vilson-neitor-cornelius.html
SP,66753,2024,webline,Isaac Beck Júnior,Isaac Beck Júnior,ISAAC BECK JUNIOR,JUNIOR BECK,nome_completo,nao_observado,,M2024_66753_13_20190_250002255402,BOCEL0264759,https://camaramarabapaulista.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=31&idleg=5
MG,49794,2024,generico,Antônio Marcos Rodrigues,Antônio Marcos Rodrigues,ANTÔNIO MARCOS RODRIGUES,ANTÔNIO DA IVANI,nome_completo,nao_observado,,M2024_49794_13_25610_130002372953,BOCEL0222686,https://cmpedradourada.mg.gov.br/antonio-marcos
PR,78654,2000,generico_secoes,Jurandi Teixeira Machado,Jurandi Teixeira Machado,JURANDI TEIXEIRA MACHADO,JURANDI,nome_completo,nao_observado,,M2000_78654_13_45777_466,BOCEL0107124,https://www.cmsantoinacio.pr.gov.br//index.php?sessao=b054603368v1b0&id=20123
