chave,esperado,registrado,bate
csem2_n_municipios_rodada1,1036,1036,TRUE
csem2_n_municipios_sem_coletor_rodada1,2253,2253,TRUE
csem2_n_municipios_com_json,2253,2253,TRUE
csem2_n_municipios_repetidos_da_rodada1,0,0,TRUE
csem2_n_camaras_coletadas,1403,1403,TRUE
csem2_n_camaras_com_pareamento,1194,1194,TRUE
csem2_n_camaras_so_legislatura_atual,898,898,TRUE
csem2_n_linhas_coletadas,31828,31828,TRUE
csem2_n_mandatos_pareados,20359,20359,TRUE
csem2_n_mandatos_pareados_com_saida_observada,3120,3120,TRUE
csem2_taxa_pareamento_linhas,0.6397,0.6397,TRUE
csem2_n_legislaturas_distintas_por_camara_mediana,1,1,TRUE
csem2_n_mandatos_pareados_novos_sobre_rodada1,20359,20359,TRUE
csem2_n_camaras_novas_sobre_rodada1,1403,1403,TRUE
csem2_n_por_familia_generico,1234,1234,TRUE
csem2_n_por_familia_wordpress_cpt,434,434,TRUE
csem2_n_por_familia_fator,106,106,TRUE
csem2_n_por_familia_legisoft,34,34,TRUE
csem2_n_por_familia_citta,51,51,TRUE
csem2_n_por_familia_webline,186,186,TRUE
csem2_n_por_familia_ipm,3,3,TRUE
csem2_n_por_familia_actcon,22,22,TRUE
csem2_n_por_familia_digitaliza,49,49,TRUE
csem2_n_por_familia_legislaturaview,13,13,TRUE
csem2_n_por_familia_icamaras,24,24,TRUE
csem2_n_por_familia_sts,36,36,TRUE
csem2_n_por_familia_sinsoft,29,29,TRUE
csem2_n_por_familia_abase,32,32,TRUE
csem2_n_camaras_coletadas_generico,518,518,TRUE
csem2_n_mandatos_pareados_sistema_generico,2944,2944,TRUE
csem2_n_camaras_coletadas_wordpress_cpt_generico,185,185,TRUE
csem2_n_mandatos_pareados_sistema_wordpress_cpt_generico,1091,1091,TRUE
csem2_n_camaras_coletadas_generico_secoes,116,116,TRUE
csem2_n_mandatos_pareados_sistema_generico_secoes,4299,4299,TRUE
csem2_n_camaras_coletadas_wordpress_cpt,53,53,TRUE
csem2_n_mandatos_pareados_sistema_wordpress_cpt,475,475,TRUE
csem2_n_camaras_coletadas_wordpress_cpt_generico_secoes,27,27,TRUE
csem2_n_mandatos_pareados_sistema_wordpress_cpt_generico_secoes,730,730,TRUE
csem2_n_camaras_coletadas_fator,32,32,TRUE
csem2_n_mandatos_pareados_sistema_fator,157,157,TRUE
csem2_n_camaras_coletadas_ipm,2,2,TRUE
csem2_n_mandatos_pareados_sistema_ipm,29,29,TRUE
csem2_n_camaras_coletadas_legisoft,33,33,TRUE
csem2_n_mandatos_pareados_sistema_legisoft,1545,1545,TRUE
csem2_n_camaras_coletadas_citta_generico,15,15,TRUE
csem2_n_mandatos_pareados_sistema_citta_generico,65,65,TRUE
csem2_n_camaras_coletadas_generico_links,17,17,TRUE
csem2_n_mandatos_pareados_sistema_generico_links,528,528,TRUE
csem2_n_camaras_coletadas_fator_generico,1,1,TRUE
csem2_n_mandatos_pareados_sistema_fator_generico,0,0,TRUE
csem2_n_camaras_coletadas_webline,152,152,TRUE
csem2_n_mandatos_pareados_sistema_webline,3848,3848,TRUE
csem2_n_camaras_coletadas_fator_generico_links,1,1,TRUE
csem2_n_mandatos_pareados_sistema_fator_generico_links,16,16,TRUE
csem2_n_camaras_coletadas_wordpress_cpt_generico_links,24,24,TRUE
csem2_n_mandatos_pareados_sistema_wordpress_cpt_generico_links,581,581,TRUE
csem2_n_camaras_coletadas_actcon,12,12,TRUE
csem2_n_mandatos_pareados_sistema_actcon,95,95,TRUE
csem2_n_camaras_coletadas_generico_select,16,16,TRUE
csem2_n_mandatos_pareados_sistema_generico_select,652,652,TRUE
csem2_n_camaras_coletadas_digitaliza,48,48,TRUE
csem2_n_mandatos_pareados_sistema_digitaliza,439,439,TRUE
csem2_n_camaras_coletadas_legislaturaview,10,10,TRUE
csem2_n_mandatos_pareados_sistema_legislaturaview,224,224,TRUE
csem2_n_camaras_coletadas_actcon_generico,9,9,TRUE
csem2_n_mandatos_pareados_sistema_actcon_generico,54,54,TRUE
csem2_n_camaras_coletadas_wordpress_cpt_generico_select,12,12,TRUE
csem2_n_mandatos_pareados_sistema_wordpress_cpt_generico_select,47,47,TRUE
csem2_n_camaras_coletadas_actcon_generico_links,1,1,TRUE
csem2_n_mandatos_pareados_sistema_actcon_generico_links,50,50,TRUE
csem2_n_camaras_coletadas_icamaras_generico,1,1,TRUE
csem2_n_mandatos_pareados_sistema_icamaras_generico,11,11,TRUE
csem2_n_camaras_coletadas_webline_generico,19,19,TRUE
csem2_n_mandatos_pareados_sistema_webline_generico,102,102,TRUE
csem2_n_camaras_coletadas_ipm_generico,1,1,TRUE
csem2_n_mandatos_pareados_sistema_ipm_generico,1,1,TRUE
csem2_n_camaras_coletadas_sts_generico,2,2,TRUE
csem2_n_mandatos_pareados_sistema_sts_generico,18,18,TRUE
csem2_n_camaras_coletadas_sts_generico_select,1,1,TRUE
csem2_n_mandatos_pareados_sistema_sts_generico_select,0,0,TRUE
csem2_n_camaras_coletadas_webline_generico_secoes,8,8,TRUE
csem2_n_mandatos_pareados_sistema_webline_generico_secoes,367,367,TRUE
csem2_n_camaras_coletadas_webline_generico_select,2,2,TRUE
csem2_n_mandatos_pareados_sistema_webline_generico_select,15,15,TRUE
csem2_n_camaras_coletadas_icamaras,23,23,TRUE
csem2_n_mandatos_pareados_sistema_icamaras,955,955,TRUE
csem2_n_camaras_coletadas_sinsoft,15,15,TRUE
csem2_n_mandatos_pareados_sistema_sinsoft,423,423,TRUE
csem2_n_camaras_coletadas_abase,24,24,TRUE
csem2_n_mandatos_pareados_sistema_abase,203,203,TRUE
csem2_n_camaras_coletadas_sinsoft_generico_secoes,2,2,TRUE
csem2_n_mandatos_pareados_sistema_sinsoft_generico_secoes,94,94,TRUE
csem2_n_camaras_coletadas_sinsoft_generico,10,10,TRUE
csem2_n_mandatos_pareados_sistema_sinsoft_generico,68,68,TRUE
csem2_n_camaras_coletadas_abase_generico,1,1,TRUE
csem2_n_mandatos_pareados_sistema_abase_generico,3,3,TRUE
csem2_n_camaras_coletadas_citta_generico_secoes,3,3,TRUE
csem2_n_mandatos_pareados_sistema_citta_generico_secoes,142,142,TRUE
csem2_n_camaras_coletadas_legislaturaview_generico,3,3,TRUE
csem2_n_mandatos_pareados_sistema_legislaturaview_generico,24,24,TRUE
csem2_n_camaras_coletadas_citta_generico_select,1,1,TRUE
csem2_n_mandatos_pareados_sistema_citta_generico_select,15,15,TRUE
csem2_n_camaras_coletadas_sinsoft_generico_links,1,1,TRUE
csem2_n_mandatos_pareados_sistema_sinsoft_generico_links,17,17,TRUE
csem2_n_camaras_coletadas_abase_generico_secoes,1,1,TRUE
csem2_n_mandatos_pareados_sistema_abase_generico_secoes,8,8,TRUE
csem2_n_camaras_coletadas_citta_generico_links,1,1,TRUE
csem2_n_mandatos_pareados_sistema_citta_generico_links,24,24,TRUE
csem2_n_forma_saida_nao_observado,17239,17239,TRUE
csem2_n_forma_saida_fim_regular,3001,3001,TRUE
csem2_n_forma_saida_falecimento,5,5,TRUE
csem2_n_forma_saida_suplente_efetivado,12,12,TRUE
csem2_n_forma_saida_licenca,30,30,TRUE
csem2_n_forma_saida_afastamento,15,15,TRUE
csem2_n_forma_saida_outro,44,44,TRUE
csem2_n_forma_saida_cassacao,7,7,TRUE
csem2_n_forma_saida_renuncia,6,6,TRUE
csem2_n_metodo_nome_completo,17168,17168,TRUE
csem2_n_metodo_tokens_nome_fonte_no_nome_civil,1049,1049,TRUE
csem2_n_metodo_nome_fonte=nome_urna,2084,2084,TRUE
csem2_n_metodo_descartado_duplicata,388,388,TRUE
csem2_n_metodo_tokens_nome_fonte_no_nome_de_urna,58,58,TRUE
csem2_taxa_pareamento_uf_AC,0.011,0.011,TRUE
csem2_n_pareados_uf_AC,17,17,TRUE
csem2_taxa_pareamento_uf_AL,0.0417,0.0417,TRUE
csem2_n_pareados_uf_AL,300,300,TRUE
csem2_taxa_pareamento_uf_AM,0.0201,0.0201,TRUE
csem2_n_pareados_uf_AM,95,95,TRUE
csem2_taxa_pareamento_uf_AP,0.0035,0.0035,TRUE
csem2_n_pareados_uf_AP,4,4,TRUE
csem2_taxa_pareamento_uf_BA,0.0216,0.0216,TRUE
csem2_n_pareados_uf_BA,665,665,TRUE
csem2_taxa_pareamento_uf_CE,0.0092,0.0092,TRUE
csem2_n_pareados_uf_CE,135,135,TRUE
csem2_taxa_pareamento_uf_ES,0.0091,0.0091,TRUE
csem2_n_pareados_uf_ES,54,54,TRUE
csem2_taxa_pareamento_uf_GO,0.0041,0.0041,TRUE
csem2_n_pareados_uf_GO,69,69,TRUE
csem2_taxa_pareamento_uf_MA,0.0527,0.0527,TRUE
csem2_n_pareados_uf_MA,833,833,TRUE
csem2_taxa_pareamento_uf_MG,0.0492,0.0492,TRUE
csem2_n_pareados_uf_MG,2892,2892,TRUE
csem2_taxa_pareamento_uf_MS,0.0502,0.0502,TRUE
csem2_n_pareados_uf_MS,281,281,TRUE
csem2_taxa_pareamento_uf_MT,0.0358,0.0358,TRUE
csem2_n_pareados_uf_MT,344,344,TRUE
csem2_taxa_pareamento_uf_PA,0.011,0.011,TRUE
csem2_n_pareados_uf_PA,123,123,TRUE
csem2_taxa_pareamento_uf_PB,0.0316,0.0316,TRUE
csem2_n_pareados_uf_PB,485,485,TRUE
csem2_taxa_pareamento_uf_PE,0.0538,0.0538,TRUE
csem2_n_pareados_uf_PE,752,752,TRUE
csem2_taxa_pareamento_uf_PI,0.0177,0.0177,TRUE
csem2_n_pareados_uf_PI,261,261,TRUE
csem2_taxa_pareamento_uf_PR,0.083,0.083,TRUE
csem2_n_pareados_uf_PR,2233,2233,TRUE
csem2_taxa_pareamento_uf_RJ,0.0133,0.0133,TRUE
csem2_n_pareados_uf_RJ,107,107,TRUE
csem2_taxa_pareamento_uf_RN,0.0098,0.0098,TRUE
csem2_n_pareados_uf_RN,110,110,TRUE
csem2_taxa_pareamento_uf_RO,0.0072,0.0072,TRUE
csem2_n_pareados_uf_RO,26,26,TRUE
csem2_taxa_pareamento_uf_RR,0.0132,0.0132,TRUE
csem2_n_pareados_uf_RR,14,14,TRUE
csem2_taxa_pareamento_uf_RS,0.0951,0.0951,TRUE
csem2_n_pareados_uf_RS,3223,3223,TRUE
csem2_taxa_pareamento_uf_SC,0.0681,0.0681,TRUE
csem2_n_pareados_uf_SC,1359,1359,TRUE
csem2_taxa_pareamento_uf_SE,0.0272,0.0272,TRUE
csem2_n_pareados_uf_SE,146,146,TRUE
csem2_taxa_pareamento_uf_SP,0.1082,0.1082,TRUE
csem2_n_pareados_uf_SP,5237,5237,TRUE
csem2_taxa_pareamento_uf_TO,0.0661,0.0661,TRUE
csem2_n_pareados_uf_TO,594,594,TRUE
