uf,sg_ue,ano_eleicao_bocel,sistema,nome_fonte,url
AM,98418,2024,wordpress_cpt_generico,Gilsomar Estevão Trindade,https://cmpfg.am.gov.br/vereadores/
PE,23221,2024,wordpress_cpt_generico,Inverter cores,https://casinhas.pe.leg.br/v1/mesa-diretora/
BA,39730,2024,fator,PAULO ROBERTO,https://cmlapao.ba.gov.br/wp-content/uploads/2022/06/VER.-PAULO-ROBERTO-PT-2025-2028-3°-MANDATO-alternados.jpg
MT,89974,2008,generico_secoes,SYLVIO PINHEIRO DA SILVA,https://saltodoceu.mt.leg.br/institucional/legislaturas/legislatura-de-2009-a-2012/69-sylvio-pinheiro-da-silva-pdt
SP,61980,2016,webline,Antonio Isael de Oliveira Júnior,https://camaranovacampina.sp.gov.br/?pag=T0dRPU9EZz1PR0U9T0dVPU9UZz1PVE09T0RnPU9XUT1PV1U9T1dRPU9HTT1ZVEE9&view=DET-LEG&idleg=11
RS,86860,1996,wordpress_cpt_generico_links,DORIVAL PRESTES DOS SANTOS,https://resultados.tre-rs.jus.br/eleicoes/2000/1turno/86860/cand_13_13130.html
SP,61204,2004,legisoft,Jorge Raimundo de Jesus,https://cmilhasolteira.sp.gov.br/vereador/jorge-raimundo-de-jesus-58
PB,19585,2024,wordpress_cpt_generico_links,PATRICIO PEREIRA LOPES,https://cmamparo.pb.gov.br/vereadores-legislaturas-2025-2028/
SP,72150,2024,generico_links,DANIEL CANDIDO DA SILVA PODE,https://camarauniaopaulista.sp.gov.br/portal/vereadores/6/16/
MG,45470,1996,generico_secoes,Ismael Venâncio da Rosa,https://www.camaragoncalves.mg.gov.br/vereadores/legislaturas
RS,86541,2024,icamaras,Silvia Pomiecinski,https://centenario.rs.leg.br/vereador/1004/?silvia-pomiecinski.html
PE,23558,1996,generico_secoes,Dourival Bento de souza,https://www.buique.pe.leg.br/vereadores/legislaturas
MG,53350,2024,generico,close popup button,https://cmserradosalitre.mg.gov.br/a-camara/mesa-diretora
SC,80896,2016,legisoft,Edson Luiz do Nascimento,https://www.camaracriciuma.sc.gov.br/vereador/edson-luiz-do-nascimento-5925
RS,86185,1996,generico_select,JORGE ÁVILA,https://camaramorroredondo.rs.gov.br/vereadores/jorge
SP,72451,2024,generico,EVERTON KLEBER TEIXEIRA NUNES,https://www.camaravotuporanga.sp.gov.br/vereadores/159
SP,63819,1996,webline,Paulo Sérgio Emílio,https://camaradobrada.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=88&idleg=6
RS,86215,2016,icamaras,Claumir Hahn,https://cruzeirodosul.rs.leg.br/vereador/1019/?claumir-hahn.html
SP,71650,2012,webline,Douglair Donizete Alves,https://camarataiuva.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=3&idleg=1
RS,85790,1996,wordpress_cpt_generico_secoes,MARCOS AURELIO NUNES,https://camaracamponovo.rs.gov.br/ex-vereadores/
SP,69892,2016,webline,Fernando Rocha,https://camararubiacea.sp.gov.br/?pag=T0dRPU9EZz1PR0U9T0dVPU9UZz1PVE09T0RnPU9XUT1PV1U9T1dRPU9HTT1ZVEE9&view=DET-LEG&idleg=18
PE,23671,2024,wordpress_cpt_generico_select,Avatar de José Luiz da Silva,https://calumbi.pe.leg.br/transparencia/e-legis/vereadores?legislatura=3
RS,86274,2024,generico,Márcio Luiz Levandowski,https://www.camaradomfeliciano.rs.gov.br/vereadores/25/marcio-luiz-levandowski
MG,41327,2024,generico,Destacar títulos,https://pedrabonita.mg.leg.br/a-camara/mesa-diretora
RS,87980,1996,icamaras,VILSON NEITOR CORNELIUS,https://travesseiro.rs.leg.br/vereador/1032/?vilson-neitor-cornelius.html
SP,70076,2024,webline,Leandro Aparecido Alves de Freitas,https://camarasaltodepirapora.sp.gov.br/?pag=T0dRPU9EZz1PR0U9T0dVPU9UZz1PVE09T0RnPU9XUT1PV1U9T1dRPU9HTT1ZVEE9&view=DET-LEG&idleg=36
RS,85880,2024,citta_generico,Nelson Celant,https://caseiros.rs.leg.br/pagina/legislaturas
MA,09210,2024,generico_secoes,Joabson Costa Pinheiro Junior,https://www.cmsaoluis.ma.gov.br/vereadores/legislaturas
MG,41041,2024,generico,close popup button,https://cmmartinssoares.mg.gov.br/a-camara/mesa-diretora
TO,73059,2016,generico_secoes,TABOCA JOSÉ RAIMUNDO VIEIRA DA SILVA Perfil,https://www.maurilandiadotocantins.to.leg.br/vereador/42
PR,76155,2004,generico_secoes,Maria Terezinha P. Machado,https://cmitambe.pr.gov.br/index.php?sessao=b054603368v1b0&id=16667
RS,87114,2008,generico_links,Horários de Atendimento,https://www.irai.rs.leg.br/legislatura/17/17-legislatura-de-2009-ate-2012
PR,78131,2016,webline,Paulo Sérgio Bianqui,https://cmribeiraoclaro.pr.gov.br/?pag=T0dRPU9EZz1PR0U9T0dVPU9UZz1PVE09T0RnPU9XUT1PV1U9T1dRPU9HTT1ZVEE9&view=DET-LEG&idleg=13
SC,83810,1996,generico_secoes,Antônio Reinert,https://www.camarawitmarsum.sc.gov.br/legislaturas-anteriores
MG,53511,2024,generico,close popup button,https://cmsimonesia.mg.gov.br/a-camara/mesa-diretora
SP,63134,1996,generico_secoes,João Moysés Seba Neto,https://www.camaracarapicuiba.sp.gov.br/vereadores/legislaturas
SP,68772,1996,webline,WALDEMIR APARECIDO TORINI,https://camarapiraju.sp.gov.br/?pag=T1RjPU9EZz1PVFU9T0dFPU9EWT1PR0k9T1RZPU9XST0=&idver=30&idleg=13
MG,53074,2000,generico_secoes,Jésus Donizete da Silva,https://www.camarasapucaimirim.mg.gov.br/legislaturas
SC,80063,2008,generico_select,CARLOS ULER,https://camaraapiuna.sc.gov.br/vereador/2009/17/carlos-uler
MG,53872,2024,icamaras_generico,Francisco Fabiano Diniz Júnior Ver Perfil,https://www.camaratrespontas.mg.gov.br/ver-vereador/francisco-fabiano-diniz-junior-2
