sistema,camaras,linhas,pareadas
generico_secoes,116,5844,4299
webline,152,4865,3848
generico,518,5646,2944
legisoft,33,2527,1545
wordpress_cpt_generico,185,2326,1091
icamaras,23,1354,955
wordpress_cpt_generico_secoes,27,998,730
generico_select,16,1370,652
wordpress_cpt_generico_links,24,1100,581
generico_links,17,880,528
wordpress_cpt,53,804,475
digitaliza,48,450,439
sinsoft,15,521,423
webline_generico_secoes,8,433,367
legislaturaview,10,297,224
abase,24,237,203
fator,32,355,157
citta_generico_secoes,3,201,142
webline_generico,19,298,102
actcon,12,100,95
sinsoft_generico_secoes,2,116,94
sinsoft_generico,10,101,68
citta_generico,15,180,65
actcon_generico,9,87,54
actcon_generico_links,1,93,50
wordpress_cpt_generico_select,12,143,47
ipm,2,33,29
legislaturaview_generico,3,32,24
citta_generico_links,1,43,24
sts_generico,2,26,18
sinsoft_generico_links,1,19,17
fator_generico_links,1,20,16
webline_generico_select,2,108,15
citta_generico_select,1,147,15
icamaras_generico,1,27,11
abase_generico_secoes,1,10,8
abase_generico,1,10,3
ipm_generico,1,7,1
fator_generico,1,14,0
sts_generico_select,1,6,0
