ano,sigla_uf,cargo_n,bocel,bd,dif,pct_dif
1998,DF,deputado distrital,24,0,24,
2002,DF,deputado distrital,24,24,0,0.0
2006,DF,deputado distrital,24,24,0,0.0
2010,DF,deputado distrital,24,24,0,0.0
2014,DF,deputado distrital,24,24,0,0.0
2018,DF,deputado distrital,24,24,0,0.0
2022,DF,deputado distrital,24,24,0,0.0
1998,AC,deputado estadual,24,24,0,0.0
1998,AL,deputado estadual,27,27,0,0.0
1998,AM,deputado estadual,24,24,0,0.0
1998,AP,deputado estadual,24,24,0,0.0
1998,BA,deputado estadual,63,63,0,0.0
1998,CE,deputado estadual,46,46,0,0.0
1998,ES,deputado estadual,30,30,0,0.0
1998,GO,deputado estadual,41,41,0,0.0
1998,MA,deputado estadual,42,42,0,0.0
1998,MG,deputado estadual,77,77,0,0.0
1998,MS,deputado estadual,24,24,0,0.0
1998,MT,deputado estadual,24,24,0,0.0
1998,PA,deputado estadual,41,41,0,0.0
1998,PB,deputado estadual,36,37,-1,-2.7
1998,PE,deputado estadual,49,49,0,0.0
1998,PI,deputado estadual,30,30,0,0.0
1998,PR,deputado estadual,54,54,0,0.0
1998,RJ,deputado estadual,70,70,0,0.0
1998,RN,deputado estadual,24,24,0,0.0
1998,RO,deputado estadual,24,24,0,0.0
1998,RR,deputado estadual,24,24,0,0.0
1998,RS,deputado estadual,55,55,0,0.0
1998,SC,deputado estadual,40,40,0,0.0
1998,SE,deputado estadual,24,24,0,0.0
1998,SP,deputado estadual,94,95,-1,-1.05
1998,TO,deputado estadual,24,24,0,0.0
2002,AC,deputado estadual,24,24,0,0.0
2002,AL,deputado estadual,27,27,0,0.0
2002,AM,deputado estadual,24,24,0,0.0
2002,AP,deputado estadual,24,24,0,0.0
2002,BA,deputado estadual,63,63,0,0.0
2002,CE,deputado estadual,46,46,0,0.0
2002,ES,deputado estadual,30,30,0,0.0
2002,GO,deputado estadual,41,41,0,0.0
2002,MA,deputado estadual,42,42,0,0.0
2002,MG,deputado estadual,77,77,0,0.0
2002,MS,deputado estadual,24,24,0,0.0
2002,MT,deputado estadual,24,24,0,0.0
2002,PA,deputado estadual,41,41,0,0.0
2002,PB,deputado estadual,36,36,0,0.0
2002,PE,deputado estadual,49,49,0,0.0
2002,PI,deputado estadual,30,30,0,0.0
2002,PR,deputado estadual,54,54,0,0.0
2002,RJ,deputado estadual,70,70,0,0.0
2002,RN,deputado estadual,24,24,0,0.0
2002,RO,deputado estadual,24,24,0,0.0
2002,RR,deputado estadual,24,24,0,0.0
2002,RS,deputado estadual,55,55,0,0.0
2002,SC,deputado estadual,40,40,0,0.0
2002,SE,deputado estadual,24,24,0,0.0
2002,SP,deputado estadual,94,94,0,0.0
2002,TO,deputado estadual,24,24,0,0.0
2006,AC,deputado estadual,24,24,0,0.0
2006,AL,deputado estadual,27,27,0,0.0
2006,AM,deputado estadual,24,24,0,0.0
2006,AP,deputado estadual,24,24,0,0.0
2006,BA,deputado estadual,63,63,0,0.0
2006,CE,deputado estadual,46,46,0,0.0
2006,ES,deputado estadual,30,30,0,0.0
2006,GO,deputado estadual,41,41,0,0.0
2006,MA,deputado estadual,42,42,0,0.0
2006,MG,deputado estadual,77,77,0,0.0
2006,MS,deputado estadual,24,24,0,0.0
2006,MT,deputado estadual,24,24,0,0.0
2006,PA,deputado estadual,41,41,0,0.0
2006,PB,deputado estadual,36,36,0,0.0
2006,PE,deputado estadual,49,49,0,0.0
2006,PI,deputado estadual,30,30,0,0.0
2006,PR,deputado estadual,54,54,0,0.0
