uf,ano_eleicao,n_mandatos_bocel,n_municipios_bocel,n_pareados,n_camaras_com_sapl,taxa
AC,2000,209,22,24,2,0.1148
AC,2004,204,22,21,2,0.1029
AC,2008,204,22,21,2,0.1029
AC,2012,225,22,25,2,0.1111
AC,2016,229,22,28,2,0.1223
AC,2020,231,22,50,5,0.2165
AC,2024,241,22,50,4,0.2075
AL,2000,1015,102,0,0,0
AL,2004,940,102,0,0,0
AL,2008,931,101,0,0,0
AL,2012,1049,102,1,1,0.001
AL,2016,1076,102,28,3,0.026
AL,2020,1086,102,38,4,0.035
AL,2024,1090,102,66,6,0.0606
AM,2000,630,62,40,4,0.0635
AM,2004,592,62,37,4,0.0625
AM,2008,584,61,36,4,0.0616
AM,2012,708,62,64,7,0.0904
AM,2016,722,62,113,12,0.1565
AM,2020,738,62,148,13,0.2005
AM,2024,750,62,187,15,0.2493
AP,2000,160,16,0,0,0
AP,2004,151,16,0,0,0
AP,2008,152,16,1,1,0.0066
AP,2012,166,16,2,2,0.012
AP,2016,170,16,34,3,0.2
AP,2020,174,16,62,6,0.3563
AP,2024,174,16,35,3,0.2011
BA,2000,4703,417,115,12,0.0245
BA,2004,3868,417,88,12,0.0228
BA,2008,3894,417,105,12,0.027
BA,2012,4540,417,156,13,0.0344
BA,2016,4599,417,268,20,0.0583
BA,2020,4621,416,381,29,0.0824
BA,2024,4593,417,437,35,0.0951
CE,2000,2504,184,109,7,0.0435
CE,2004,1729,184,91,8,0.0526
CE,2008,1737,184,114,11,0.0656
CE,2012,2132,183,156,11,0.0732
CE,2016,2176,184,202,14,0.0928
CE,2020,2192,184,323,24,0.1474
CE,2024,2190,184,248,18,0.1132
ES,2000,994,78,85,11,0.0855
ES,2004,742,78,76,11,0.1024
ES,2008,745,78,100,13,0.1342
ES,2012,844,78,156,16,0.1848
ES,2016,856,78,228,21,0.2664
ES,2020,860,78,215,20,0.25
ES,2024,870,78,180,18,0.2069
GO,2000,2457,245,83,10,0.0338
GO,2004,2273,246,79,11,0.0348
GO,2008,2245,244,95,11,0.0423
GO,2012,2493,246,146,12,0.0586
GO,2016,2506,246,188,15,0.075
GO,2020,2516,246,270,23,0.1073
GO,2024,2431,238,254,21,0.1045
MA,2000,2316,214,21,2,0.0091
MA,2004,1992,217,27,4,0.0136
MA,2008,1982,216,36,4,0.0182
MA,2012,2373,217,39,5,0.0164
MA,2016,2394,216,79,9,0.033
MA,2020,2425,217,96,11,0.0396
MA,2024,2335,209,106,9,0.0454
MG,2000,9093,853,701,75,0.0771
MG,2004,7853,853,583,76,0.0742
MG,2008,7858,853,743,88,0.0946
MG,2012,8438,853,1020,106,0.1209
MG,2016,8481,853,1275,126,0.1503
MG,2020,8480,853,1660,163,0.1958
MG,2024,8526,853,1756,167,0.206
MS,2000,787,77,8,1,0.0102
MS,2004,721,78,7,1,0.0097
MS,2008,721,78,7,1,0.0097
MS,2012,833,79,41,4,0.0492
MS,2016,845,79,34,3,0.0402
MS,2020,847,79,42,4,0.0496
MS,2024,849,79,111,9,0.1307
