"tabela","uf","ano_eleicao","id_mandato","nome_fonte","evento","data_evento","precisao_data","data_evento_ate","cargo_assumido","substituto_nome","url","trecho","tipo_fonte","arquivo_bruto","confianca","observacao","arquivo_frente","motivo","trecho_no_bruto","data_referencia","situacao"
"eventos","GO","2002","M2002_GO_7_45690_1369","Daniel Messac de Morais","licenca","2003-02-28","dia",NA,"Secretário Extraordinário para Assuntos Metropolitanos","Lamis Chedraoui Cosac","https://publicacoes.al.go.leg.br/biblioteca/o_legislativo_em_goias_vol1_2edicao.pdf","Daniel Messac de Morais, em 28 de fevereiro de 2003, afastou- se do cargo para assumir a Secretaria Extraordinária para Assuntos Metropolitanos da região de Goiânia, tendo Lamis Cosac ocupado sua vaga; retornou à Casa no dia 17 de fevereiro de 2004;","memorial_casa","brutos/publicacoes/o_legislativo_em_goias_vol1_2edicao.pdf","alta","O Legislativo em Goiás - História e Legislaturas, vol. 1, 2ª ed., p. 211-215 (15ª Legislatura)","data_raw/assembleias3/GO/eventos.csv","trecho_nao_encontrado_no_bruto",FALSE,NA,NA
"eventos","MT","2002","M2002_MT_7_45111_218","Alencar Soares","renuncia","2006-07-06","intervalo","2006-08-01","Conselheiro do Tribunal de Contas do Estado","Clóvis Roberto","https://storage.al.mt.gov.br/api/v1/download/default/173108","Queremos também dar as boas- vindas ao Deputado Clóvis Roberto que assumiu a vaga definitivamente no lugar do ex-Deputado Alencar Soares, agora Conselheiro Alencar Soares.","portal_casa","brutos/almt/documentos/doc_173108.pdf","alta","Ata da 75ª Sessão Ordinária de 01/08/2006: o Presidente registra que o suplente Clóvis Roberto assumiu a vaga definitivamente no lugar do ex-deputado, agora conselheiro. Limite inferior: Alencar consta da chamada da 13ª Sessão Extraordinária de 06/07/2006 (ausente). Resolução ALMT 546 de 06/07/2006 aprovou a indicação e o Ato governamental 10.487/2006 (DOE 07/07/2006) o nomeou; o cadastro eloweb dá demissão em 10/07/2006. Nenhum ato formal de renúncia localizado","data_raw/assembleias3/MT/eventos.csv","trecho_nao_encontrado_no_bruto",FALSE,NA,NA
"eventos","MT","2006",NA,"J. Barreto","efetivacao_suplente","2008-12-16","intervalo","2009-02-03",NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173610","também o companheiro Deputado J. Barreto, a quem eu tive o orgulho, na época, de ser vereador e indicado por ele, como Prefeito, líder na Câmara de Vereadores, onde exerci o cargo de vereador, e que também veio para esta Casa em definitivo no lugar do ex- Deputado Juarez Costa.","portal_casa","brutos/almt/documentos/doc_173610.pdf","media","Ata de 10/02/2009 (discurso do deputado Gilmar Fabris): em definitivo na vaga de M2006_MT_7_15200_10303 (Juarez Costa); consta da chamada de 03/02/2009. Data da posse não localizada (recesso)","data_raw/assembleias3/MT/eventos.csv","trecho_nao_encontrado_no_bruto",FALSE,NA,NA
"eventos","MT","2002",NA,"Clóvis Roberto","efetivacao_suplente","2006-07-06","intervalo","2006-08-01",NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173108","Queremos também dar as boas- vindas ao Deputado Clóvis Roberto que assumiu a vaga definitivamente no lugar do ex-Deputado Alencar Soares, agora Conselheiro Alencar Soares.","portal_casa","brutos/almt/documentos/doc_173108.pdf","alta","Efetivado na vaga de M2002_MT_7_45111_218 (Alencar Soares, TCE). Cadastro eloweb dá admissão em 11/07/2006","data_raw/assembleias3/MT/eventos.csv","trecho_nao_encontrado_no_bruto",FALSE,NA,NA
"composicao","MT","2002",NA,"Clóvis Roberto",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/627230","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido Popular Socialista - João Malheiros, Clóvis Roberto, Pedro Satélite, Renê Barbour, Sebastião Rezende e Sérgio Ricardo; da Bancada do Partido da Frente Liberal - Joaquim Sucena e Zeca D’Ávila; da Bancada do Partido Progressista - Campos Neto, Chico Daltro, Riva e Sebastião Rezende; da Bancada do Partido do Movimento Democrático Brasileiro - Zé Carlos do Pátio e Nataniel de Jesus; da Bancada do Partido dos Trabalhadores - Ságuas e Verinha Araújo; da Bancada do Partido Democrático Trabalhista - Carlos Brito; da Bancada do Partido Liberal - J. Barreto. Deixaram de comparecer os seguintes Srs. Deputados: Mauro Savi, do PPS; Dilceu Dal Bosco, José Carlos Freitas e Humberto Bosaipo, do PFL; Carlão Nascimento, do PSDB.","portal_casa","brutos/almt/documentos/doc_627230.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2007-01-01","em_exercicio"
"composicao","MT","1998",NA,"Campos Neto",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/172429","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da Social Democracia Brasileira - Alencar Soares, Carlão Nascimento, Chico Daltro, Riva, Pedro Satélite e Rene Barbour; da Bancada do Bloco do PT/PPS - Serys Slhessarenko (PT); da Bancada do Bloco Democrático Liberal - Amador Tut (PL), Benedito Pinto (PSDB), Nico Baracat (PSB), J. Barreto (PL), Humberto Bosaipo (PL), José Carlos Freitas (PPB); da Bancada do Bloco Democrático - Campos Neto (PFL), Joaquim Sucena (PFL) e Silval Barbosa (PMDB).","portal_casa","brutos/almt/documentos/doc_172429.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2003-01-01","em_exercicio"
"composicao","MT","2018",NA,"CARLOS AVALLONE",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/562965","(COMPARECERAM À SESSÃO OS SEGUINTES SRS. DEPUTADOS: BLOCO ASSEMBLEIA FORTE - CARLOS AVALLONE, DILMAR DAL BOSCO, EDUARDO BOTELHO, DR. GIMENEZ, DR. JOÃO, NININHO, PAULO ARAÚJO, SEBASTIÃO REZENDE, SILVANO AMARAL, ULYSSES MORAES, WILSON SANTOS, XUXU DAL MOLIN; BLOCO RESISTÊNCIA DEMOCRÁTICA – TONINHO DE SOUZA, DELEGADO CLAUDINEI, ROMOALDO JR, JOÃO BATISTA DO SINDSPEN, LÚDIO CABRAL E VALDIR BARRANCO; BLOCO PARLAMENTARES UNIDOS - DR. EUGÊNIO, ELIZEU NASCIMENTO, OSCAR BEZERRA, GILBERTO CATTANI, MAX RUSSI E VALMIR MORETTO.)","portal_casa","brutos/almt/documentos/doc_562965.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2023-01-11","em_exercicio"
"composicao","MT","2018",NA,"GILBERTO CATTANI",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/562965","(COMPARECERAM À SESSÃO OS SEGUINTES SRS. DEPUTADOS: BLOCO ASSEMBLEIA FORTE - CARLOS AVALLONE, DILMAR DAL BOSCO, EDUARDO BOTELHO, DR. GIMENEZ, DR. JOÃO, NININHO, PAULO ARAÚJO, SEBASTIÃO REZENDE, SILVANO AMARAL, ULYSSES MORAES, WILSON SANTOS, XUXU DAL MOLIN; BLOCO RESISTÊNCIA DEMOCRÁTICA – TONINHO DE SOUZA, DELEGADO CLAUDINEI, ROMOALDO JR, JOÃO BATISTA DO SINDSPEN, LÚDIO CABRAL E VALDIR BARRANCO; BLOCO PARLAMENTARES UNIDOS - DR. EUGÊNIO, ELIZEU NASCIMENTO, OSCAR BEZERRA, GILBERTO CATTANI, MAX RUSSI E VALMIR MORETTO.)","portal_casa","brutos/almt/documentos/doc_562965.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2023-01-11","em_exercicio"
"composicao","MT","2006",NA,"J. Barreto",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
"composicao","MT","2006",NA,"Wagner Ramos",NA,NA,NA,NA,NA,NA,"https://storage.al.mt.gov.br/api/v1/download/default/173998","Compareceram à Sessão os seguintes Srs. Deputados: da Bancada do Partido da República - J. Barreto, João Malheiros, Mauro Savi, Sebastião Rezende, Sérgio Ricardo e Wagner Ramos; da Bancada do Partido Progressista - Airton Português e Wilson Teixeira - Dentinho; da Bancada do Partido do Movimento Democrático Brasileiro - Benedito Pinto e Nilson Santos; da Bancada do Partido dos Trabalhadores - Ademir Brunetto e Ságuas; da Bancada do Partido Popular Socialista - Pedro Satélite; da Bancada do Partido Socialista Brasileiro - Professora Vilma; da ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO ATA DA CENTÉSIMA DÉCIMA QUARTA SESSÃO ORDINÁRIA DO DIA 16 DE DEZEMBRO DE 2010, ÀS 08:00 HORAS. Pág. 113 - Secretaria de Serviços Legislativos Bancada do Partido da Social Democracia Brasileira - Guilherme Maluf; da Bancada dos Democratas - Dilceu Dal Bosco, Chica Nunes, José Domingos Fraga e Joaquim Sucena. Deixaram de comparecer os Srs. Deputados: Dr. Antônio Azambuja e Maksuês Leite, do PP; Adalto de Freitas - Daltinho, do PMDB; Percival Muniz, do PPS; Otaviano Pivetta, do PDT.","portal_casa","brutos/almt/documentos/doc_173998.pdf","alta",NA,"data_raw/assembleias3/MT/composicao_final.csv","composicao_sem_id_mandato",TRUE,"2010-12-16","em_exercicio"
