numero_processo,tribunal,grau,indicio_csv,indicio_api,n_hits,nmov_csv,nmov_api,classe_csv,classe_api,ibge_csv,ibge_api
06009646220206240099,TRE-SC,G1,TRUE,TRUE,1,38,38,Representação,Representação,4218707,4218707
00006331020166130283,TRE-MG,G1,TRUE,TRUE,1,80,80,Ação de Investigação Judicial Eleitoral,Ação de Investigação Judicial Eleitoral,3171808,3171808
06028212920186130000,TRE-MG,G2,TRUE,TRUE,1,52,52,Representação,Representação,3106200,3106200
00018313220096120000,TRE-MS,G2,TRUE,TRUE,2,51,51,Representação,Representação,5002704,5002704
00001193620166120008,TRE-MS,G1,TRUE,TRUE,1,40,40,Representação,Representação,5002704,5002704
06000884820206270027,TRE-TO,G1,TRUE,TRUE,1,77,77,Representação,Representação,1722081,1722081
06006886520246140100,TRE-PA,G1,TRUE,TRUE,2,52,52,Representação,Representação,1504208,1504208
06008054220226030000,TRE-AP,G2,TRUE,TRUE,1,149,149,Representação,Representação,1600105,1600105
06001172420266180000,TRE-PI,G2,TRUE,TRUE,1,136,136,Representação,Representação,2211001,2211001
00001055620156140097,TRE-PA,G1,TRUE,TRUE,2,17,17,Representação,Representação,1501402,1501402
06003898520246140004,TRE-PA,G1,TRUE,TRUE,2,62,62,Representação,Representação,1502400,1502400
06003729020246270035,TRE-TO,G1,TRUE,TRUE,1,43,43,Representação,Representação,1715101,1715101
00002176020166240081,TRE-SC,G1,TRUE,TRUE,1,23,23,Representação,Representação,4212205,4212205
06005006420246060013,TRE-CE,G1,TRUE,TRUE,2,96,96,Representação,Representação,2305506,2305506
00000921120166090146,TRE-GO,G1,TRUE,TRUE,1,30,30,Representação,Representação,5208707,5208707
06001273320216190027,TRE-RJ,G1,TRUE,TRUE,2,92,92,Representação Especial,Representação Especial,3303500,3303500
06003841920246180015,TRE-PI,G1,TRUE,TRUE,2,186,186,Representação,Representação,2204501,2204501
06012862720246160144,TRE-PR,G1,TRUE,TRUE,2,72,72,Representação,Representação,4107652,4107652
06006929320246250004,TRE-SE,G1,TRUE,TRUE,2,60,60,Representação,Representação,2800670,2800670
06001734020246260409,TRE-SP,G1,TRUE,TRUE,2,55,55,Representação,Representação,3548708,3548708
06001776820206180012,TRE-PI,G1,FALSE,FALSE,1,31,31,Representação,Representação,2207900,2207900
06002067620226040000,TRE-AM,G2,FALSE,FALSE,1,74,74,Representação,Representação,1302603,1302603
06062032320226190000,TRE-RJ,G2,FALSE,FALSE,1,18,18,Representação,Representação,3304557,3304557
00001990320166230005,TRE-RR,G1,FALSE,FALSE,1,22,22,Representação,Representação,1400100,1400100
06004772520246090017,TRE-GO,G1,FALSE,FALSE,1,26,26,Representação,Representação,5211800,5211800
00001785920166180007,TRE-PI,G1,FALSE,FALSE,1,11,11,Representação,Representação,2202208,2202208
06006017820206160073,TRE-PR,G1,FALSE,FALSE,1,19,19,Representação,Representação,4118501,4118501
06006046420246140003,TRE-PA,G1,FALSE,FALSE,1,30,30,Representação,Representação,1507904,1507904
00006428220166210142,TRE-RS,G1,FALSE,FALSE,1,98,98,Ação de Investigação Judicial Eleitoral,Ação de Investigação Judicial Eleitoral,4301602,4301602
06008023720246160071,TRE-PR,G1,FALSE,FALSE,2,144,144,Ação de Investigação Judicial Eleitoral,Ação de Investigação Judicial Eleitoral,4116901,4116901
06006470420206040008,TRE-AM,G1,FALSE,FALSE,1,122,122,Ação de Investigação Judicial Eleitoral,Ação de Investigação Judicial Eleitoral,1301209,1301209
00003943320166210008,TRE-RS,G1,FALSE,FALSE,1,14,14,Representação,Representação,4302105,4302105
06004381220206170028,TRE-PE,G1,FALSE,FALSE,1,20,20,Representação,Representação,2611804,2611804
06011203720226150000,TRE-PB,G2,FALSE,FALSE,1,81,81,Representação Especial,Representação Especial,2507507,2507507
06000072520216130134,TRE-MG,G1,FALSE,FALSE,1,49,49,Representação Especial,Representação Especial,3132404,3132404
06003757220246170116,TRE-PE,G1,FALSE,FALSE,1,42,42,Representação,Representação,2613206,2613206
06003343920246200014,TRE-RN,G1,FALSE,FALSE,1,38,38,Representação,Representação,2414407,2414407
00024541820146050000,TRE-BA,G2,FALSE,FALSE,1,76,76,Representação,Representação,2927408,2927408
00005161820166180012,TRE-PI,G1,FALSE,FALSE,1,102,102,Representação,Representação,2207900,2207900
99814056720086240018,TRE-SC,G1,FALSE,FALSE,1,24,24,Representação,Representação,4209003,4209003
