"idx","amostra","na_amostra_40","id_mandato_bocel","id_municipio_ibge","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","url_diario","trecho"
1,"30_alta",TRUE,"M2012_66192_13_23000_250000096628","3525904","2015-03-20","alta","licenca","licenca","nome_completo_no_trecho",NA,"PAULO SERGIO MARTINS","https://data.queridodiario.ok.org.br/3525904/2015-03-20/e55c4d1db5524a7a368f67423b4e39845900a5eb.pdf","Nº. 324/2015 - MARCELO ROBERTO GASTALDO - INFORMAÇÕES do Executivo sobre a existência de Projeto para reforma ou ampliação da UBS do Rio Acima ou construção de nova unidade no local. Nº. 325/2015 - PAULO SERGIO MARTINS - <<LICENÇA do Vereador>> Paulo Sergio Martins, no período de 24 de março a 23 de abril de 2015, para trato de assuntos particulares. - à Presidência deferidos: Nº. 762/2015 - JOSÉ CARLOS FERREIRA DIAS - CONGRATULAÇÕES com a Faculdade de Medicina de Jundiaí"
2,"30_alta",TRUE,"M2020_75353_13_55538_160001175305","4106902","2022-05-30","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"EDER FABIANO BORGES ADÃO","https://data.queridodiario.ok.org.br/4106902/2022-05-30/836f397851c98f135e1ee2b826730bbfa6fd2ead.pdf","do Governo Municipal DECRETO Nº 734 O PREFEITO MUNICIPAL DE CURITIBA, CAPITAL DO ESTADO DO PARANÁ, no uso das atribuições legais que lhe foram conferidas pelo inciso IV do artigo 72 da Lei Orgânica do Município de Curitiba, Declara a <<perda do mandato>> do Senhor Vereador EDER FABIANO BORGES ADÃO, nos termos do art. 22, IV e § 3º, da Lei Orgânica do Município de Curitiba. Poder Executivo PREFEITURA MUNICIPAL DE CURITIBA - PMC Decreta luto oficial. Decreta luto oficial. DIÁRIO OFICIAL"
3,"30_alta",TRUE,"M2024_72451_13_10000_250002254265","3557105","2025-03-07","alta","licenca","licenca","nome_completo_no_trecho",NA,"LEONARDO DA SILVA BRIGAGÃO","https://data.queridodiario.ok.org.br/3557105/2025-03-07/e460ab8a3df3686a6887e999e4f98f95f45f7a63.pdf","SÃO PAULO, USANDO DE SUAS ATRIBUIÇÕES LEGAIS: Fica nos termos do § 1º, do Art. 35, da Lei Orgânica do Município, CONVOCADO o Suplente RICARDO GONÇALVES DOS SANTOS a tomar posse no cargo de Vereador junto a esta Casa, em decorrência da <<licença do Vereador>> Leonardo da Silva Brigagão, pelo período de 10 de março de 2025 a 31 de dezembro de 2028. Câmara Municipal de Votuporanga, 6 de março de 2025. DANIEL DAVID Presidente Publicado e afixado no lugar de costume na Secretaria de Expedientes"
4,"30_alta",TRUE,"M2012_66192_13_11605_250000023345","3525904","2013-10-11","alta","licenca","licenca","nome_completo_no_trecho",NA,"ANTONIO CARLOS PEREIRA NETO","https://data.queridodiario.ok.org.br/3525904/2013-10-11/d614f1c91d1cd41785cc16a89d006acab61e17b2.pdf","Presidente da República pela ampliação do período da licença maternidade de 120 para 180 dias para todas as funcionárias/empregadas do País. (APROVADA) 2.b) Requerimento ao Plenário aprovado: ANTONIO CARLOS PEREIRA NETO 150 - <<Licença do Vereador>> Antonio Carlos Pereira Neto, por trinta dias, para trato de assuntos particulares. GERSON SARTORI Presidente PROJETO DE LEI N°. 11.379 (Antonio Carlos Pereira Neto e Paulo Sergio Martins) Regula exigências para o funcionamento de academias"
5,"30_alta",TRUE,"M2008_20516_13_44123_4005","2507507","2011-07-02","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"EVANDRO SERGIO DE AZEVEDO ARAUJO","https://data.queridodiario.ok.org.br/2507507/2011-07-02/2fb231489e6512c3434bfc27034698e6d60cc16e.pdf","Fazenda Pública da Capital, expedida por meio do ofício 158/2011, permanecendo sub judice até posterior deliberação judicial. SEMANÁRIO OFICIAL * n° 1276 * Pág. 003/02João Pessoa, 26 de junho a 02 de julho de 2011 Resolve: Art.1º. Declarar a <<perda do mandato>> parlamentar do Vereador Evandro Sérgio de Azevedo Araújo, em cumprimento a Sentença da Ação de Investigação Judicial Eleitoral – AIJE 011/2008 – proferida pelo Juiz Eleitoral Fabiano Moura de Moura, publ icado no Diário da Justiça nº 116 de 01/07/2011"
6,"30_alta",TRUE,"M2020_90670_13_23190_110000827664","5103403","2022-10-07","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"MARCOS EDUARDO TICIANEL PACCOLA","https://data.queridodiario.ok.org.br/5103403/2022-10-07/a7118740be8687b608118e240220c922b43e841a.pdf","Resoluções Republica-se por ter saído incorreto RESOLUÇÃO Nº 009, DE 05 DE OUTUBRO DE 2022. DISPÕE SOBRE A <<PERDA DO MANDATO>> PARLAMENTAR DO VEREADOR MARCOS EDUARDO TICIANEL PACCOLA. A Câmara Municipal de Cuiabá, no uso de suas atribuições exclusivas, aprovou e o Presidente, com base no Art. 16, IV da Lei Orgânica do Município promulga a seguinte Resolução: Art. 1º Fica decretada a <<PERDA DO MANDATO>> PARLAMENTAR DO VEREADOR MARCOS EDUARDO TICIANEL PACCOLA, cujo nome parlamentar é TENENTE CORONEL PACCOLA"
7,"30_alta",TRUE,"M2016_91510_13_23123_110000010538","5107602","2019-01-02","alta","licenca","licenca","nome_completo_no_trecho",NA,"THIAGO TEIXEIRENSE MUNIZ","https://data.queridodiario.ok.org.br/5107602/2019-01-02/11498df6273e96430cdc8e9e13a3615d45cfff2c.pdf"," na Sala de Reuniões da Câmara Municipal de Rondonópolis - Estado de Mato Grosso, localizada à Avenida Cafelândia, número quatrocentos e trinta e quatro, foi realizado o Termo de Posse do Senhor REGINALDO DE SOUZA SANTOS, eleito 1° <<suplente de vereador>> pela Coligação """"SEGUINDO EM FRENTE 1"""", em dois de outubro de dois mil e dezesseis. A posse se deu em decorrência da Resolução n° 574/2018, que concedeu licença ao Vereador Senhor THIAGO TEIXEIRENSE MUNIZ, pelo período de trinta dias,"
8,"30_alta",TRUE,"M2016_90514_13_15777_120000007205","5002704","2017-02-17","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"PAULO SIUFI NETO","https://data.queridodiario.ok.org.br/5002704/2017-02-17/7f4cb5ce8cb01d12ba1db4fa2089e5ff990bb5c6.pdf","cargo de Prefeita do Município de Dourados-MS. Sendo o que se apresenta na oportunidade, queira aceitar os meus sinceros votos de estima e consideração. Campo Grande-MS, 6 de fevereiro de 2017. PAULO SIUFI Vereador DESPACHO Recebo o pedido de <<RENÚNCIA>> do Vereador PAULO SIUFI NETO, a partir de 7 de fevereiro de 2017, reconhecendo a sua legitimidade posto que fundamentado no Art. 101 do Regimento Interno (Resolução n. 1.109/2009). Publique-se no Diário Oficial do Município de Campo Grande-MS"
9,"30_alta",TRUE,"M2012_90514_13_13113_120000002788","5002704","2015-01-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"JOSÉ ORCÍRIO MIRANDA DOS SANTOS","https://data.queridodiario.ok.org.br/5002704/2015-01-23/291309483421fc781f99e37407b80f3ba6d16616.pdf","Arleon Carlos Stelini, Alberto Kalache, Marcelo Barbosa Alves Vieira, Sebastião Rolon Neto, Gianni Yara da Costa Lessa dos Santos. DIOGRANDE n. 4.195PÁGINA 11 - sexta-feira, 23 de janeiro de 2015 CONVOCAÇÃO Em decorrência do pedido de <<RENÚNCIA do Vereador>> JOSÉ ORCÍRIO MIRANDA DOS SANTOS, protocolizado nesta Casa, e com base no art. 99 do Regimento Interno deste Poder, convoco o suplente MARCOS ALEX AZEVEDO DE MELLO, eleito no pleito realizado no dia 07 de outubro de 2012, para assunção à"
10,"30_alta",TRUE,"M2016_85995_11_10_210000020853","4305108","2019-12-26","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"DANIEL ANTONIO GUERRA","https://data.queridodiario.ok.org.br/4305108/2019-12-26/b8b9a13cd865beef2ed343977f23246379a6bd29.pdf","Lei Orgânica do Município, combinado com o artigo 18, inciso III, do Regimento Interno, e com o disposto no Decreto-Lei Federal nº 201, de 27 de fevereiro de 1967, promulga o seguinte Decreto Legislativo. Art. 1º Fica decretada a <<cassação>> do mandato do Prefeito Municipal de Caxias do Sul, Sr. Daniel Antônio Guerra, considerando-o afastado definitivamente do cargo, conforme decisão proferida no dia 22 de dezembro de 2019, em sessão de julgamento, pelo Plenário da Câmara Municipal"
