"id_mandato_bocel","evento_inferido","metodo_pareamento","motivo_rebaixamento","trecho"
"M2016_61239_13_15678_250000060293","suplente_efetivado","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","de Denúncia em desfavor do vereador JAIR ARCANJO DA SILVA, e posterior deliberação do plenária acerca do recebimento ou não de referida denúncia. Solicito ainda ao convocado, estar portando documentos pessoais, bem como seu diploma de <<suplente de vereador>>. Apresento os votos de estima e apreço. "
"M2016_61239_13_15515_250000060294","suplente_efetivado","nome_completo_no_trecho","nome_e_assinatura_do_ato","de Denúncia em desfavor do vereador JAIR ARCANJO DA SILVA, e posterior deliberação do plenária acerca do recebimento ou não de referida denúncia. Solicito ainda ao convocado, estar portando documentos pessoais, bem como seu diploma de <<suplente de vereador>>. Apresento os votos de estima e apreço. "
"M2012_90417_13_10123_120000006649","cassacao","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","legais: R E S O L V E: Art. 1º - Constituir Comissão Processante, de conformidade com aprovação em sessão realizada no dia 06 (seis) de junho de 2.016, objeto do Protocolo Nº. 6001/2016 de 25 (vinte e cinco) de maio de 2.016, PROCESSO DE <<CASSAÇÃO>> DO MANDATO de DOUGLAS ROSA GOMES, pelo prazo de a"
"M2024_62499_13_45555_250001971198","licenca","nome_completo_no_trecho","nome_e_suplente_convocado","Augusto Pereira Garcia e Welinton Rodrigo de Souza. Justificou sua ausência o Vereador Luiz Aurélio Pagani (Lelo Pagani). A posse como <<Suplente de Vereador>> do senhor Thiago Alves Padovan (Thiago Padovan) decorreu em razão de licença do Vereador Laudo Gomes da Silva (Sargento Laudo) por ter sido "
"M2020_58530_13_13650_190000776522","licenca","nome_completo_no_trecho","nome_e_assinatura_do_ato","o empossado. Maricá, 11 de maio de 2023. Vereador ALDAIR NUNES ELIAS Presidente Vereador MÁRCIO DA SILVA CARVALHO TERMO DE COMPROMISSO E POSSE Aos quinze dias do mês de maio do ano de dois mil e vinte e três, às 10:00 hrs, compareceu o 2º <<Suplente de Vereador>>, o Senhor IGOR NUNES CORRÊA – PC DO "
"M2024_66079_13_10012_250002020752","renuncia","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo"," E, com base na ata da reunião realizada pela Comissão Permanente de Constituição, Justiça e Redação, designada pelo Ato da Presidência nº 06/2025, comunicar a substituição da Presidência da Comissão para o exercício de 2026, em razão da <<renúncia>> ao cargo de Presidente pela Vereadora Dani Rodrig"
"M2020_72370_13_19000_250001096538","afastamento","nome_completo_no_trecho",,"de Vinhedo 2021-2024 – Página 2 LEUDENI MOREIRA FERNANDES MARCIO RAUL MELLE NILTON ATÍLIO BRAGHETTO PAULO ALEXANDRE PALMEIRA RODRIGO APARECIDO LUGLIO RUBENS DONIZETI NUNES THIAGO RODRIGUES SILVA VALDECIR SOUZA DOS SANTOS TERMO DE <<POSSE DO VICE-PREFEITO>> No primeiro dia do mês de janeiro do ano de"
"M2016_89575_11_40_210000012108","renuncia","nome_completo_no_trecho","nome_e_assinatura_do_ato","acima referidos. A candidata deve se apresentar no Departamento de Recursos Humanos, prédio sede da Prefeitura Municipal, na Av. Nestor Frederico Henn, nº 1.645, Centro, nesta cidade. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao estágio. Gabinete do Prefeito, 24 de"
"M2024_70750_13_28123_250002025930","suplente_efetivado","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XIV, do artigo 30, do Regimento Interno, o <<suplente de Vereador>> pelo Partido Renovador Trabalhista Bras"
"M2020_64777_13_23023_250000752366","suplente_efetivado","nome_de_urna_unico_no_trecho","nome_a_mais_de_120_caracteres_do_termo","Presidente da Câmara Municipal de Guarulhos, Senhor TICIANO AMERICANO, no uso de suas atribuições legais, tendo em vista o comunicado, através do Processo Administrativo 1629/2023, expede a presente Portaria registrando concessão de licença ao <<Suplente de Vereador>>, ABDO LCARIM MAZLOUM, a partir "
"M2024_71137_13_40400_250002066977","cassacao","nome_completo_no_trecho","nome_a_mais_de_120_caracteres_do_termo","ex-Vereador Rogério Jean da Silva, submetida à Comissão Processante instituída pela Portaria nº 32/2025, cujos trabalhos constam do Processo nº 22/2025, do qual provém o Projeto de Decreto Legislativo nº 22/2025, de 10/07/2025, que ‘Dispõe sobre a <<cassação>> do mandato de vereador, nos termos do D"
"M2016_89575_11_40_210000012108","renuncia","nome_completo_no_trecho","nome_e_assinatura_do_ato","acima referidos. Os candidatos devem se apresentar no Departamento de Recursos Humanos, prédio sede da Prefeitura Municipal, na Av. Nestor Frederico Henn, 1645, Centro, nesta cidade. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao estágio. Gabinete do Prefeito, 04 de "
"M2016_90670_13_43123_110000003345","licenca","tokens_primeiro_e_ultimo_nome_unico",,"junho de dois mil e dezessete (14/06/2017) compareceu na Presidência da Câmara Municipal de Cuiabá, o Senhor Paulo Henrique de Figueiredo - 3º suplente do PV – Partido Verde, para assumir o cargo de Vereador, tendo em vista a <<licença do Vereador>> titular, Senhor Mário Nadaf para tratar de interes"
"M2020_58530_13_13650_190000776522","licenca","nome_completo_no_trecho","nome_e_assinatura_do_ato","o empossado. Maricá, 16 de maio 2022. Vereador ALDAIR NUNES ELIAS Presidente Vereador FELIPE PAIVA DE OLIVEIRA TERMO DE COMPROMISSO E POSSE Aos dezesseis dias do mês de maio do ano de dois mil e vinte e dois, às 10:00 hrs, compareceu o 2º <<Suplente de Vereador>>, o Senhor IGOR NUNES CORRÊA – PC DO "
"M2020_70750_13_70000_250001161550","suplente_efetivado","nome_completo_no_trecho","nome_e_suplente_convocado","usando das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XIV, do artigo 30, do Regimento Interno, o <<suplente de Vereador>> pelo Partido AVANTE, Sr. ROBERTO"
"M2020_35157_13_90222_50000867147","licenca","nome_completo_no_trecho","nome_e_suplente_convocado","Municipal de Feira de Santana, Estado da Bahia, no uso de suas atribuições, em especial o que dispõe o Regimento Interno da Casa no inciso I do artigo 142, convoca a requerimento da Mesa Diretiva e parecer favorável da procuradoria, o primeiro <<suplente de Vereador>> pelo Partido da Ordem Social - "
"M2016_92410_12_22_270000008646","licenca","nome_completo_no_trecho","cargo_incompativel_com_trecho","FRAUDNEIS FIOMARE ROSA, através da mensagem 001, entre os dias 10 a 25 de abril 2019. CONSIDERANDO que a Câmara Municipal de Araguaína fez o Termo de Recondução ao cargo de Prefeito Municipal ao Sr. FRAUDNEIS FIOMARE ROSA, em decorrência da <<licença do Prefeito>> RONALDO DIMAS NOGUEIEA PEREIRA, tit"
"M2020_90670_13_19123_110000938405","licenca","tokens_primeiro_e_ultimo_nome_unico",,"vinte e três do mês de agosto do ano de dois mil e vinte e dois (23/08/2022) compareceu no Plenário da Câmara Municipal de Cuiabá, o Senhor Nilson Portela Ferreira– 3ª suplente do PODEMOS, para assumir o cargo de Vereador, tendo em vista a <<licença do Vereador>> titular Senhor Dilemário Alencar par"
"M2016_15598_13_12123_60000003390","licenca","nome_completo_no_trecho","nome_e_assinatura_do_ato","Câmara Municipal, Rua Conselheiro Rodrigues Júnior, s/n, Térreo, Centro. Fone: (88) 3677- 7602, Sobral-CE, 10 de janeiro de 2018. PAULO CÉSAR LOPES VASCONCELOS – Presidente. RESOLUÇÃO ADMINISTRATIVA Nº 70/2018 - Termino da permanência do <<suplente de vereador>> Antonio Oliveira Braga. O PRESIDENTE "
