"id_mandato_bocel","forma_saida","data_fim_inferida","url","trecho"
"M2012_75353_13_10123_160000014972","renuncia","2016-04-14","https://data.queridodiario.ok.org.br/4106902/2016-04-14/8a1babbeb33444b47f1b444d29fb186b76c0c5d0.pdf","de Araujo : Presidente Pedro Paulo Costa : 1º Secretário Paulo Roberto Rink : 2º Secretário ATO Nº 112 A COMISSÃO EXECUTIVA DA CÂMARA MUNICIPAL DE CURITIBA, CAPITAL DO ESTADO DO PARANÁ, no uso de suas atribuições legais, e em razão da <<renúncia>> do mandato do vereador VALDEMIR MANOEL SOARES, nos t"
"M2020_65579_13_17777_250001164561","cassacao","2023-12-05","https://data.queridodiario.ok.org.br/3522802/2023-12-05/196c50e58fc9717507ee4fc66ac98f3d17ccb287.pdf","Art. 1º Fica nomeada Comissão Processante (CP) para apurar supostas infrações político-administrativas imputadas ao Prefeito Municipal, Sr. Douglas Roberto Benini, nos termos do Decreto-Lei nº 201, de 27 de fevereiro de 1967, podendo resultar na <<cassação>> do Prefeito Municipal, nos termos seguint"
"M2024_91510_13_10222_110002141765","licenca","2026-08-06","https://data.queridodiario.ok.org.br/5107602/2026-08-06/25665000f066e01d726a2d638822eda2746c8846.pdf"," compareceu o Senhor MOACIR JOSÉ DA SILVA, diplomado como Segundo Suplente do Partido Republicano, conforme diploma expedido pela Justiça Eleitoral. O referido suplente foi convocado para assumir o cargo de Vereador em virtude da <<licença do vereador>> titular Marisvaldo Gonçalves dos Santos que se"
"M2008_65870_11_23_52148","renuncia","2011-12-30","https://data.queridodiario.ok.org.br/3524303/2011-12-30/ee3f5259d65f96febc26a19a75dc0f60964bd7a2.pdf","Prefeito Municipal José Aparecido Quintino CRC1SP149562/O-2 11Jaboticabal, 30 de dezembro de 2011 PrEfEItUrA MUnICIPAL dE JABotICABAL ProPostA dE rEMIssão dE dÍVIdA AtIVA – ProCEsso 33056-6/2011 AnExo dE MEtAs fIsCAIs EstIMAtIVA E CoMPEnsAção dA <<rEnÚnCIA>> dE rECEItA tABELA VII 2011 Fonte: Prefeit"
"M2012_54011_13_22000_130000070576","renuncia","2013-10-25","https://data.queridodiario.ok.org.br/3170107/2013-10-25/d9996dca5d45b38ae65a5701d161f1430f757534.pdf","Lara Resende, Luiz Humberto Dutra e Samir Cecílio Filho. Leitura do Edital de Convocação da Reunião Extraordinária. LEITURA DO COMUNIDADO DE <<RENÚNCIA>> DO MANDATO DO VEREADOR ANTÔNIO CARLOS SILVA NUNES. Termo de <<Renúncia>>: Excelentíssimo Senhor Presidente da Câmara Municipal de Uberaba, Vereado"
"M2024_91510_13_13123_110002041847","afastamento","2026-08-17","https://data.queridodiario.ok.org.br/5107602/2026-08-17/1ad23402574572a18f9b96ea55b0b93155398df2.pdf","realização da posse do senhor MAURO CÉSAR CAMPOS, brasileiro, portador do CPF nº **045.631-**, residente e domiciliado em Rondonópolis-MT. O Senhor Presidente declarou aberto os trabalhos, em seguida informou aos presentes o motivo da <<convocação do Suplente>>, Sr. MAURO CÉSAR CAMPOS, do Partido do"
"M2020_78875_13_17777_160000775291","cassacao","2023-08-07","https://data.queridodiario.ok.org.br/4125605/2023-08-07/3ba556b855e7c956e3aa4ef3acfcf69722e3df77.pdf","2023 Declara a <<perda do mandato>> do Vereador Jeciel Ferreira Franco, conforme processo administrativo n° 001/2023, a partir de 07 de agosto de 2023. Considerando a reunião da mesa diretora realizada em 07 de agosto de 2023, às quatorze horas, no recinto da Câmara Municipal de São Mateus do Sul pa"
"M2024_92185_13_43333_270002303326","suplente_efetivado","2025-04-03","https://data.queridodiario.ok.org.br/1707108/2025-04-03/b6a5aecc44632235130921b5f35374dae66d9c3c.pdf","concedida licença por interesse particular, sem remuneração, à vereadora VIVIANE MARTINS DE ABREU CUSTÓDIO, pelo prazo de 90 (noventa) dias, nos termos do artigo 19, inciso III, do Regimento Interno. Art. 2º. Fica determinado que se proceda a <<convocação do Suplente>>, nos termos do Regimento Inter"
"M2020_72257_13_45010_250001174975","cassacao","2022-03-11","https://data.queridodiario.ok.org.br/3556206/2022-03-11/f11f6fd516340a4230c2518f7a2b4b0cab807693.pdf","empenhe esforços no sentido de que o município faça adesão ao programa “Nossa Frota SP Não Para”. Autoria do vereador Franklin Duarte de Lima. - Moção nº 31/22, de Repúdio ao Deputado Estadual Arthur do Val e apoio ao Presidente da ALESP para <<cassação>> do mandato do parlamentar por prática de con"
"M2020_67890_13_55144_250001146162","renuncia","2021-03-24","https://data.queridodiario.ok.org.br/3534401/2021-03-24/67d470c62e5bdae7503df54fa3f3cfab77be9390.pdf","Legislativa da Câmara Municipal de Osasco. Na sequência é lido Ofício de autoria do Sr. Cláudio Henrique da Silva à Presidência da Câmara Municipal de Osasco, Sr. Ribamar Antonio da Silva, tratando de sua nomeação como Secretário municipal de Cultura e <<renúncia>> de cargo da Mesa Diretora como 2º "
