"rodada","amostra","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","nome","correto","motivo_erro","trecho"
"antes_regra_apertada","30_alta",1,"M2024_32450_11_55_260002136947","2026-05-25","alta","renuncia","LUCAS FREIRE VASCO",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","anexos II, III e IV são obrigatórias e a do anexo V é facultativa, conforme decisão pessoal e espontânea do candidato. Observação: O não comparecimento para apresentação da documentação no prazo acima estipulado, fica declarado pelo convocado a <<renúncia>> tácita e ou desistência pela vaga pleitead"
"antes_regra_apertada","30_alta",2,"M2008_62138_11_15_1897","2010-12-11","alta","falecimento","RUBENS FURLAN",0,"falecimento_de_terceiro_prefeito_de_outro_municipio","dezembro de 2010. José Orlando Alvarez Secretário de Serviços Municipais Prefeitura Municipal de Barueri www.barueri.sp.gov.br 11 de dezembro de 2010 9 DECRETO Nº 6.971, DE 10 DE DEZEMBRO DE 2010 “DECRETA LUTO OFICIAL NO MUNICÍPIO PELO <<FALECIMENTO DO PREFEITO>> DO MUNICÍPIO DE JANDIRA, WALDERI BRA"
"antes_regra_apertada","30_alta",3,"M2020_03018_13_10333_230000775752","2023-12-11","alta","renuncia","ITALO OTAVIO TEIXEIRA PINTO",0,"renuncia_a_comissao","Vista - RR, Vereador GENILSON COSTA E SILVA, no uso de suas atribuições legais, estabelecidas no Regimento Interno deste Poder Legislativo, dá publicida- de à Composição da Comissões Permanentes para o biênio 2023/2024: Em virtude do pedido de <<renúncia>> do Vereador Ítalo Otávio Teixeira Pinto da "
"antes_regra_apertada","30_alta",4,"M2020_89575_11_40_210000686551","2021-06-02","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 02 de junhode 2021. "
"antes_regra_apertada","30_alta",5,"M2020_15598_13_12630_60000783139","2021-05-21","alta","falecimento","JOSÉ ITAMAR RIBEIRO DA SILVA",1,"","Partido Democrático Trabalhista/PDT, nos termos do Art.44 da Lei Orgânica do Município, in verbis: “Nos casos de vaga, licença nos casos dos incisos I por prazo superior a 120 (cento e vinte) dias, II e IV do artigo anterior, far-se-á a <<convocação do suplente>> pelo Presidente da Câmara”, para ass"
"antes_regra_apertada","30_alta",6,"M2020_70718_13_40660_250000929669","2024-08-28","alta","licenca","BENEDITO FURTADO DE ANDRADE",1,"","PRESIDENTE LINCOLN APARECIDO SOARES DOS REIS 1º SECRETÁRIO JOÃO CARLOS DE ASSIS NERI 2º SECRETÁRIO A Mesa Diretora, na 45ª Sessão Ordinária, realizada em 15 de agosto de 2024, promulga o seguinte: RESOLUÇÃO Nº 15 27 DE AGOSTO DE 2024 CONCEDE <<LICENÇA DO VEREADOR>> BENEDITO FURTADO DE ANDRADE, E DÁ "
"antes_regra_apertada","30_alta",7,"M2008_62910_13_12399_33646","2011-08-26","alta","afastamento","PEDRO SERAFIM JÚNIOR",0,"afastamento_de_terceiro_nome_e_presidente_que_promulga","Expediente. Campinas, 25 de agosto de 2011 PEDRO SERAFIM PRESIDENTE 20 Campinas, sexta-feira, 26 de agosto de 2011Diário Ofi cial do Município de Campinas DECRETO LEGISLATIVO N. 3328, DE 24 DE AGOSTO DE 2011. DETERMINA O <<AFASTAMENTO DO PREFEITO>> MUNICIPAL DE CAMPI- NAS SR. DEMÉTRIO VILAGRA, PELO "
"antes_regra_apertada","30_alta",8,"M2020_89575_11_40_210000686551","2021-05-26","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 26 de maio de 202"
"antes_regra_apertada","30_alta",9,"M2020_89575_11_40_210000686551","2022-02-14","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato"," setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 14 de fevereiro de 2022. GILSON A"
"antes_regra_apertada","30_alta",10,"M2016_35157_13_51123_50000014954","2019-02-02","alta","renuncia","EWERTON CARNEIRO DA COSTA",1,""," Nº 001/2019 O Presidente da Câmara Municipal de Feira de Santana, Estado da Bahia, no uso de suas atribuições regimentais atendendo o que dispõe o Regimento Interno nos seus artigos 131/132 e 142, resolve: CONVOCAR de imediato o <<Suplente de vereador>> SR. JOSAFÁ RAMOS DOS SANTOS para tomar posse "
