"rodada","amostra","na_amostra_40","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","evento_ancorado","metodo_pareamento","motivo_rebaixamento","nome","correto","motivo_erro","trecho"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","1","M2012_72257_13_43007_250000038738","2016-09-23","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"CÉSAR ROCHA ANDRADE DA SILVA",1,"NA","na presente data através do Ofício TRE/SP nº 2782/2016 para as devidas providências. RESOLVE: Art. 1º. É revogado o Ato nº 05, de 16 de agosto de 2016, e revigorado, a partir desta data, o Ato nº 04, de 04 de agosto de 2016, que declarou a <<perda do mandato>> eletivo do vereador César Rocha Andrade da Silva, decretada pela Justiça Eleitoral em decisão confirmada no julgamento dos embargos de declaração na Petição nº 7- 04.2016.6.26.0000. Parágrafo único. São ratificados os atos praticados na vigência"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","2","M2020_00159_13_45678_220000653753","2023-01-11","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"LUIS EDUARDO SCHINCAGLIA",1,"NA"," Municipal de Jaru/RO, sob a Presidência do Vereador Ilson Pedro Félix, tomou posse como vereador o senhor Paulo Pereira Sampaio do Partido da Social Democracia Brasileira - PSDB, para ocupar o cargo de vereador nesta Casa de Leis, em razão da <<renúncia>> do Vereador Luis Eduardo Schincaglia, então Presidente da Câmara Municipal de Jaru, eleito Deputado Estadual do estado de Rondônia para a legislatura 2023/2026. Após a leitura do Termo de Posse o Senhor Presidente Ilson Pedro Félix, convidou"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","3","M2012_90514_13_13113_120000002788","2015-01-23","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"JOSÉ ORCÍRIO MIRANDA DOS SANTOS",1,"NA","Arleon Carlos Stelini, Alberto Kalache, Marcelo Barbosa Alves Vieira, Sebastião Rolon Neto, Gianni Yara da Costa Lessa dos Santos. DIOGRANDE n. 4.195PÁGINA 11 - sexta-feira, 23 de janeiro de 2015 CONVOCAÇÃO Em decorrência do pedido de <<RENÚNCIA do Vereador>> JOSÉ ORCÍRIO MIRANDA DOS SANTOS, protocolizado nesta Casa, e com base no art. 99 do Regimento Interno deste Poder, convoco o suplente MARCOS ALEX AZEVEDO DE MELLO, eleito no pleito realizado no dia 07 de outubro de 2012, para assunção à"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","4","M2024_62294_13_11777_250002126618","2025-07-17","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"JOSÉ FERMINO GROSSO",1,"NA","artigo 8º, § 1º, do Decreto-lei 201/67; artigo 25, inciso IX, da Lei Orgânica do Município de Birigui; e artigo 26, inciso III, alínea “d”, da Resolução 216/98 (Regimento Interno da Câmara Municipal de Birigui), RESOLVE Art. 1º - Declarar a <<perda do mandato>> eletivo do Vereador JOSÉ FERMINO GROSSO, em razão da suspensão de seus direitos políticos, nos termos da decisão proferida pela 10ª Câmara de Direito Criminal do Tribunal de Justiça de São Paulo, nos autos da Ação Penal 1002160-41"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","5","M2020_70050_13_19019_250000638585","2024-06-12","alta","cassacao","cassacao","nome_completo_no_trecho",NA,"DANIEL FRAGA MOREIRA BERTANI",1,"NA","Parlamentar que decide pela <<cassação>> do Vereador Daniel Fraga Moreira Bertani (NOVO). O PRESIDENTE DA CÂMARA DA ESTÂNCIA TURÍSTICA DE SALTO, no uso das atribuições que lhes são conferidas por lei, promulga a seguinte Resolução: Artº1. Fica aprovado o relatório apresentado pela Comissão de Ética e Decoro Parlamentar da Câmara da Estância Turística de Salto, que após lido e aprovado por unanimidade de votos dos seus membros em 24 de maio de 2024 decidiu-se pela <<cassação>> do Vereador Daniel"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","6","M2024_70750_13_23789_250002117527","2026-05-15","alta","licenca","licenca","nome_completo_no_trecho",NA,"ALAN GOMES FERREIRA",1,"NA","usando das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XV, do artigo 30, do Regimento Interno, a <<suplente de Vereador>> pelo Partido CIDADANIA, Sra. LIÂNIA DUARTE DE OLIVEIRA FELICIANO, para substituir a partir de 12 de maio de 2026, o Vereador ALAN GOMES FERREIRA, em licença para tratar de interesse particular. São Bernardo do Campo, em 12 de maio de 2026"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","7","M2024_70750_13_23456_250002117533","2026-06-26","alta","licenca","licenca","nome_completo_no_trecho",NA,"JOÃO VICTOR VIANA PEREIRA",1,"NA","usando das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XV, do artigo 30, do Regimento Interno, a <<suplente de Vereador>> pelo Partido CIDADANIA, Sra. LIÂNIA DUARTE DE OLIVEIRA FELICIANO, para substituir a partir de 22 de junho de 2026, o Vereador JOÃO VICTOR VIANA PEREIRA, em licença para tratar de interesse particular. São Bernardo do Campo, em 22 de junho"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","8","M2020_71358_13_51051_250001091639","2022-05-05","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"TIAGO DOS SANTOS LIRA",0,"renuncia_a_cargo_da_mesa_1_secretario","em quem irá votar e que em caso de empate, haverá novo escrutínio entre os dois candidatos mais votados e que, persistindo o empate, disputarão por sorteio (art. 24). Informa ainda que está inelegível o Vereador Tiago dos Santos Lira, devido a sua <<renúncia>>. Solicita aos vereadores que têm interesse em ocupar o cargo de 1º Secretário que se manifestem. Em virtude de nenhum vereador se manifestar para ocupar o cargo, fica prejudicada a votação da eleição, que voltará a ser realizada na próxima sessão"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","9","M2016_46752_13_11000_130000029999","2020-03-06","alta","renuncia","renuncia","nome_completo_no_trecho",NA,"IAGO SOUZA SANTIAGO",0,"renuncia_a_nomeacao_em_cpi"," art. 31 do R e g i m e n t o I n t e r n o desta casa Legislativa e d e m a i s d i s p o s i ç õ e s r e g i m e n t a i s ; eCONSIDERANDO o o f í c i o d o E x m ° Vereador Iago Souza Santiago, que em seu teor requereu a <<renúncia>> a s u a n o m e a ç ã o n a Comissão Parlamentar de Inquérito: CONSIDERANDO a necessidade de mais vereadores para compor a referida comissão; RESOLVE: A r t . 1 ° R e c o m p o r a Comissão Parlamentar de Inquérito da Câmara"
"regra_v2_pre_corroboracao_mandato","30_alta","TRUE","10","M2020_58530_13_70444_190000853488","2021-02-12","alta","licenca","licenca","nome_completo_no_trecho",NA,"ADELSO PEREIRA",1,"NA","Vereador, o Senhor Jocemar dos Santos Simpício (Cemar) – AVANTE – eleito em 15 de novembro de 2020 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de <<licença do Vereador>> Adelso Pereira – AVANTE que ocupará a Secretaria de Iluminação Pública da Prefeitura Municipal de Maricá. O Suplente empossou-se nesta data, prestando compromisso e posse, atendendo ao que preceitua o art. 91 § 1º, da Lei Orgânica do Município"
