fonte_a,forma_a,fonte_b,forma_b,N
sapl_municipal,fim_regular,tce,outro,57
sapl_municipal,outro,tce,fim_regular,44
portal_camara,outro,tce,fim_regular,31
assembleia_historico,fim_regular,wikipedia,afastamento,15
portal_camara,fim_regular,tce,outro,6
sapl_municipal,licenca,tce,fim_regular,6
assembleia_historico,fim_regular,wikipedia,licenca,4
diario_oficial,renuncia,sapl_municipal,fim_regular,4
sapl_municipal,fim_regular,tce,falecimento,4
wikidata,fim_regular,wikipedia,renuncia,4
diario_oficial,cassacao,sapl_municipal,fim_regular,3
wikidata,fim_regular,wikipedia,suplente_efetivado,3
tce,outro,wikipedia,fim_regular,2
diario_oficial,cassacao,wikidata,outro,2
diario_oficial,licenca,sapl_municipal,fim_regular,2
diario_oficial,renuncia,sapl_municipal,outro,2
sapl_municipal,renuncia,tce,outro,2
wikidata,renuncia,wikipedia,fim_regular,1
diario_oficial,cassacao,wikipedia,fim_regular,1
wikidata,outro,wikipedia,cassacao,1
assembleia_api,fim_regular,wikipedia,licenca,1
wikidata,fim_regular,wikipedia,afastamento,1
diario_oficial,renuncia,portal_camara,outro,1
tce,outro,wikipedia,falecimento,1
sapl_municipal,falecimento,tce,outro,1
diario_oficial,cassacao,portal_camara,outro,1
diario_oficial,afastamento,wikipedia,fim_regular,1
diario_oficial,licenca,wikipedia,fim_regular,1
assembleia_api,afastamento,wikipedia,renuncia,1
wikidata,fim_regular,wikipedia,licenca,1
assembleia_api,fim_regular,wikipedia,cassacao,1
assembleia_historico,fim_regular,wikipedia,cassacao,1
diario_oficial,falecimento,portal_camara,outro,1
portal_camara,licenca,tce,fim_regular,1
sapl_municipal,cassacao,tce,fim_regular,1
assembleia_api,renuncia,wikipedia,suplente_efetivado,1
sapl_municipal,licenca,tce,outro,1
