chave,recontado,registrado,bate
v1_n_mandatos,4253,4253,TRUE
v1_n_pessoas,2155,2155,TRUE
v1_n_posicoes_ano,18092,18092,TRUE
v1_n_ocupacoes,6287,6287,TRUE
v1_n_filiacoes,5942,5942,TRUE
v1_pessoas_com_filiacao,2126,2126,TRUE
v1_n_lista_suplencia,24706,24706,TRUE
v1_mandatos_com_saida_observada,3660,3660,TRUE
v1_mandatos_em_curso,593,593,TRUE
v1_n_mandatos_presidente,7,7,TRUE
v1_n_mandatos_vice_presidente,7,7,TRUE
v1_n_mandatos_governador,189,189,TRUE
v1_n_mandatos_vice_governador,189,189,TRUE
v1_n_mandatos_senador,270,270,TRUE
v1_n_mandatos_deputado_federal,3591,3591,TRUE
