fonte,cd_cargo,ano_eleicao,unidade,sg_uf,id_pessoa_fonte,nome_fonte,nome_alt,partido_fonte,data_inicio,data_fim,forma_saida,titular_nome,url,tipo_ocupante,id_mandato_explicito,linha,ja_titular
camara_api,6,2002,AC,AC,BOCEL0002228,FRANCISCO BRÍGIDO DA COSTA,CHICÃO BRÍGIDO,PMDB,2005-02-23,2005-03-31,afastamento,,https://dadosabertos.camara.leg.br/api/v2/deputados/74181/historico,suplente,,209,TRUE
camara_api,6,2010,RO,RO,BOCEL0041208,MARCOS ROGÉRIO DA SILVA BRITO,MARCOS ROGÉRIO,PDT,2011-11-17,2015-01-31,fim_regular,,https://dadosabertos.camara.leg.br/api/v2/deputados/167722/historico,suplente,,667,TRUE
camara_api,6,2014,MG,MG,BOCEL0199924,ADELMO CARNEIRO LEAO,ADELMO CARNEIRO LEÃO,PT,2015-03-06,2018-04-06,afastamento,,https://dadosabertos.camara.leg.br/api/v2/deputados/178890/historico,suplente,,788,TRUE
camara_api,6,2022,CE,CE,BOCEL0181289,PRISCILA BEZERRA DA COSTA,Priscila Costa,PL,2023-06-30,2023-10-27,afastamento,,https://dadosabertos.camara.leg.br/api/v2/deputados/226075/historico,suplente,,1187,TRUE
assembleia:2,7,1998,RS,RS,BOCEL0151775,Cezar Busatto,Cezar Busatto,,,2003-01-31,suplente_efetivado,,http://www2.al.rs.gov.br/memorial/Informa%C3%A7%C3%B5esParlamentares/Legislaturas/tabid/3543/Default.aspx,suplente,,2576,TRUE
assembleia:2,7,1998,RS,RS,BOCEL0067759,Paulo Azeredo,Paulo Azeredo,,,2003-01-31,suplente_efetivado,,http://www2.al.rs.gov.br/memorial/Informa%C3%A7%C3%B5esParlamentares/Legislaturas/tabid/3543/Default.aspx,suplente,,2583,TRUE
assembleia:2,7,2006,RS,RS,BOCEL0172823,Luís Augusto Lara,Luís Augusto Lara,,2008-03-01,2011-01-31,suplente_efetivado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2610,TRUE
assembleia:2,7,2006,RS,RS,BOCEL0104237,Luiz Fernando Záchia,Luiz Fernando Záchia,,2008-08-01,2011-01-31,suplente_efetivado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2611,TRUE
assembleia:2,7,2006,RS,RS,BOCEL0067759,Paulo Azeredo,Paulo Azeredo,,2007-05-01,2011-01-31,suplente_efetivado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2614,TRUE
assembleia:2,7,2006,RS,RS,BOCEL0150190,Pedro Westphalen,Pedro Westphalen,,2007-11-01,2011-01-31,suplente_efetivado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2615,TRUE
assembleia:2,7,2010,RS,RS,BOCEL0090924,Adroaldo Loureiro,Adroaldo Loureiro,,2011-01-31,2011-10-31,renuncia,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2616,TRUE
assembleia:2,7,2018,RS,RS,BOCEL0109931,Juvir Costella,Juvir Costella,,2020-12-01,2023-01-31,suplente_efetivado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2634,TRUE
assembleia:2,7,2018,RS,RS,BOCEL0045759,Stela Farias,Stela Farias,,2022-03-01,2023-01-31,suplente_efetivado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2639,TRUE
assembleia:2,7,2022,RS,RS,BOCEL0165156,Gilmar Sossella,Gilmar Sossella,PDT,2026-04-01,,nao_observado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2641,TRUE
assembleia:2,7,2022,RS,RS,BOCEL0109931,Juvir Costella,Juvir Costella,MDB,2026-04-01,,nao_observado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2643,TRUE
assembleia:2,7,2022,RS,RS,BOCEL0179574,Ronaldo Santini,Ronaldo Santini,PODE,2023-07-01,,nao_observado,,https://transparencia.al.rs.gov.br/parlamentares/presencas-plenario/pesquisa,suplente,,2644,TRUE
