"tabela","id_mandato","sg_uf","ano_eleicao","cargo","nome","forma","url_1","tipo_1","url_2","tipo_2","tipo_declarado","tem_oficial","tem_noticia_oficial","so_imprensa_ou_referencia","melhor_tipo"
"eventos_governos_fonte_oficial.csv","M2022_AC_3_11_10001612476","AC","2022","GOVERNADOR","GLADSON DE LIMA CAMELI","renuncia","https://ac24horas.com/2026/04/02/mailza-assis-toma-posse-como-governadora-do-acre/","imprensa","https://acrenews.com.br/decisao-serena-escreve-o-governador-gladson-cameli-em-carta-renuncia-lida-agora-ha-pouco-na-assembleia-legislativa/","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M1998_AC_4_451_100000104004511","AC","1998","VICE-GOVERNADOR","EDSON SIMÕES CADAXO","falecimento","https://www1.folha.uol.com.br/fsp/brasil/fc0810200204.htm","imprensa","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/edson-simoes-cadaxo","referencia_academica",NA,FALSE,FALSE,TRUE,"referencia_academica"
"eventos_governos_fonte_oficial.csv","M2022_AC_4_11_10001612477","AC","2022","VICE-GOVERNADOR","MAILZA ASSIS DA SILVA","assumiu_titular","https://ac24horas.com/2026/04/02/mailza-assis-toma-posse-como-governadora-do-acre/","imprensa","https://acrenews.com.br/decisao-serena-escreve-o-governador-gladson-cameli-em-carta-renuncia-lida-agora-ha-pouco-na-assembleia-legislativa/","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M2002_AL_3_40_202","AL","2002","GOVERNADOR","RONALDO AUGUSTO LESSA SANTOS","renuncia","https://www.gazetadealagoas.com.br/politica/53679/lessa-deixa-governo-para-tentar-senado","imprensa","https://www1.folha.uol.com.br/fsp/brasil/fc0104200613.htm","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M2018_AL_3_15_20000621744","AL","2018","GOVERNADOR","JOSÉ RENAN VASCONCELOS CALHEIROS FILHO","renuncia","https://cgj.tjal.jus.br/?pag=verNoticia&not=20456","noticia_oficial","https://www.poder360.com.br/eleicoes/renan-filho-renuncia-ao-governo-de-alagoas-para-disputar-senado/","imprensa",NA,FALSE,TRUE,FALSE,"noticia_oficial"
"eventos_governos_fonte_oficial.csv","M2002_AL_4_40_203","AL","2002","VICE-GOVERNADOR","LUIS ABILIO DE SOUSA NETO","assumiu_titular","https://www.gazetadealagoas.com.br/politica/53644/luis-ablio-assume-hoje-governo-de-al","imprensa","https://www.gazetadealagoas.com.br/politica/53679/lessa-deixa-governo-para-tentar-senado","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M2010_AL_4_45_20000000302","AL","2010","VICE-GOVERNADOR","JOSE THOMAZ DA SILVA NONO NETTO","fim_regular","https://www.gazetadealagoas.com.br/politica/153320/passada-a-eleio-non-diz-que-o-dem-precisa-se-reciclar","imprensa","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/jose-tomas-da-silva-nono-neto","referencia_academica",NA,FALSE,FALSE,TRUE,"referencia_academica"
"eventos_governos_fonte_oficial.csv","M2014_AM_3_90_40000000487","AM","2014","GOVERNADOR","JOSÉ MELO DE OLIVEIRA","cassacao","http://web.archive.org/web/20210523121927/http://www.tse.jus.br/imprensa/noticias-tse/2017/Maio/tse-cassa-governador-do-amazonas-e-determina-nova-eleicao-para-o-cargo","noticia_oficial","https://agenciabrasil.ebc.com.br/politica/noticia/2017-05/presidente-da-assembleia-legislativa-do-amazonas-assume-governo-do-am","imprensa",NA,FALSE,TRUE,FALSE,"noticia_oficial"
"eventos_governos_fonte_oficial.csv","M2022_AM_3_44_40001619528","AM","2022","GOVERNADOR","WILSON MIRANDA LIMA","renuncia","https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/05/04/roberto-cidade-e-eleito-governador-do-amazonas-em-eleicao-indireta.ghtml","imprensa","https://www.acritica.com/politica/wilson-e-tadeu-renunciam-e-roberto-cidade-e-o-novo-governador-do-am-1.400449","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M2014_AM_4_90_40000000488","AM","2014","VICE-GOVERNADOR","JOSÉ HENRIQUE OLIVEIRA","cassacao","http://web.archive.org/web/20210523121927/http://www.tse.jus.br/imprensa/noticias-tse/2017/Maio/tse-cassa-governador-do-amazonas-e-determina-nova-eleicao-para-o-cargo","noticia_oficial","https://agenciabrasil.ebc.com.br/politica/noticia/2017-05/tse-confirma-cassacao-do-governador-do-amazonas-e-decide-por-novas-eleicoes","imprensa",NA,FALSE,TRUE,FALSE,"noticia_oficial"
"eventos_governos_fonte_oficial.csv","M2022_AM_4_44_40001619527","AM","2022","VICE-GOVERNADOR","TADEU DE SOUZA SILVA","renuncia","https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/05/04/roberto-cidade-e-eleito-governador-do-amazonas-em-eleicao-indireta.ghtml","imprensa","https://www.acritica.com/politica/wilson-e-tadeu-renunciam-e-roberto-cidade-e-o-novo-governador-do-am-1.400449","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M1998_AP_3_40_300000303000401","AP","1998","GOVERNADOR","JOAO ALBERTO RODRIGUES CAPIBERIBE","renuncia","https://www1.folha.uol.com.br/fsp/brasil/fc0904200219.htm","imprensa","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/joao-alberto-rodrigues-capiberibe","referencia_academica",NA,FALSE,FALSE,TRUE,"referencia_academica"
"eventos_governos_fonte_oficial.csv","M2006_AP_3_12_10081","AP","2006","GOVERNADOR","ANTONIO WALDEZ GÓES DA SILVA","renuncia","http://g1.globo.com/politica/noticia/2010/09/ex-governador-do-amapa-waldez-goes-tambem-e-preso-diz-advogado.html","imprensa","https://web.archive.org/web/20110724150414/http://www.istoedinheiro.com.br/noticias/18410_DEZ+GOVERNADORES+DEVEM+DEIXAR+O+CARGO+ATE+SABADO","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M1998_AP_4_131_300000304001311","AP","1998","VICE-GOVERNADOR","MARIA DALVA DE SOUZA FIGUEIREDO","assumiu_titular","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/figueiredo-dalva","referencia_academica","https://www1.folha.uol.com.br/fsp/brasil/fc0904200219.htm","imprensa",NA,FALSE,FALSE,TRUE,"referencia_academica"
"eventos_governos_fonte_oficial.csv","M2006_AP_4_12_10082","AP","2006","VICE-GOVERNADOR","PEDRO PAULO DIAS DE CARVALHO","assumiu_titular","http://g1.globo.com/politica/noticia/2010/09/ex-governador-do-amapa-waldez-goes-tambem-e-preso-diz-advogado.html","imprensa","https://web.archive.org/web/20110724150414/http://www.istoedinheiro.com.br/noticias/18410_DEZ+GOVERNADORES+DEVEM+DEIXAR+O+CARGO+ATE+SABADO","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M2014_AP_4_12_30000000099","AP","2014","VICE-GOVERNADOR","JOÃO BOSCO PAPALÉO PAES","renuncia","https://g1.globo.com/ap/amapa/eleicoes/2018/noticia/2018/08/07/vice-governador-do-amapa-papaleo-paes-anuncia-que-vai-renunciar-ao-cargo.ghtml","imprensa","https://www.diariodoamapa.com.br/cadernos/politica/medico-papaleo-paes-morre-aos-67-anos-vitima-da-covid-19/","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M2018_AP_4_12_30000613619","AP","2018","VICE-GOVERNADOR","JAIME DOMINGUEZ NUNES","fim_regular","https://g1.globo.com/ap/amapa/noticia/2023/01/01/clecio-luis-toma-posse-para-o-1o-mandato-como-governador-do-amapa.ghtml","imprensa","https://www.cnnbrasil.com.br/politica/pesquisa-ipec-governo-do-amapa-clecio-luis-tem-41-jaime-nunes-35/","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
"eventos_governos_fonte_oficial.csv","M1998_CE_3_45_600000603000451","CE","1998","GOVERNADOR","TASSO RIBEIRO JEREISSATI","renuncia","https://diariodonordeste.verdesmares.com.br/opiniao/colunistas/inacio-aguiar/apos-20-anos-ceara-volta-a-ter-renuncia-de-um-governador-veja-como-e-a-transmissao-do-cargo-1.3212079","imprensa","https://www1.folha.uol.com.br/fsp/brasil/fc0704200202.htm","imprensa",NA,FALSE,FALSE,TRUE,"imprensa"
