"origem","tabela","id_mandato","slot","url","trecho","arquivo","status_download","resultado"
"curada_governos","eventos_governos_fonte_oficial.csv","M2022_AC_3_11_10001612476",1,"https://ac24horas.com/2026/04/02/mailza-assis-toma-posse-como-governadora-do-acre/","assumiu oficialmente o comando do Poder Executivo estadual nesta quinta-feira, 2 [...] Ela sucede o agora ex-governador Gladson Cameli, que renunciou ao cargo para disputar uma vaga no Senado Federal.","19726ba06a9ce63ac003fec3b2af88eb.bin","ok","nenhum"
"curada_governos","eventos_governos_fonte_oficial.csv","M2022_AC_3_11_10001612476",2,"https://acrenews.com.br/decisao-serena-escreve-o-governador-gladson-cameli-em-carta-renuncia-lida-agora-ha-pouco-na-assembleia-legislativa/","formalizou nesta segunda-feira, 24, sua renúncia ao cargo ao encaminhar carta à Assembleia Legislativa do Acre. A saída será efetivada no dia 2 de abril, dentro do prazo legal de desincompatibilização","b7306a03126ec8e2701625330456315b.bin","ok","exato"
"curada_governos","eventos_governos_fonte_oficial.csv","M1998_AC_4_451_100000104004511",1,"https://www1.folha.uol.com.br/fsp/brasil/fc0810200204.htm","O vice-governador do Acre, Edson Simões Cadaxo, 82, morreu ontem de manhã, em Cruzeiro do Sul, a cerca de 700 km da capital, vítima de hemorragia digestiva.","f5ae260f2c58e44105b537cf25e63c70.htm","ok","exato"
"curada_governos","eventos_governos_fonte_oficial.csv","M1998_AC_4_451_100000104004511",2,"https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/edson-simoes-cadaxo","Com a posse dos novos governantes em 1º de janeiro de 1999, Edson Cadaxo assumiu sua função no Executivo acreano. [...] Faleceu em Rio Banco no dia 7 de outubro de 2002.","bb909db6b11f69133b555e2407b448f4.bin","ok","nenhum"
"curada_governos","eventos_governos_fonte_oficial.csv","M2014_AC_4_13_10000000153",1,"https://www.al.ac.leg.br/?p=24575","Na tarde desta terça-feira (1º) de janeiro, foi realizada na Assembleia Legislativa do Acre (Aleac) a solenidade de posse do governador eleito, Gladson Cameli (PP), e seu vice, Wherles Rocha (PSDB).","249ec7480ece4e6f2f229d6d918eb62e.bin","ok","exato"
"curada_governos","eventos_governos_fonte_oficial.csv","M2014_AC_4_13_10000000153",2,"https://ac24horas.com/2018/11/30/nazare-araujo-nomeia-novo-secretario-da-fazenda-acre-que-tambem-respondera-pela-seaprof/","A governadora em exercício do Acre, Nazaré Araújo, assinou a nomeação do novo secretário de Fazenda. O decreto foi rubricado na quarta-feira, dia 28, e publicado nesta sexta, 30, no Diário Oficial","46381c1923f28838d051a8b500f3e9c8.bin","ok","exato"
"curada_governos","eventos_governos_fonte_oficial.csv","M2022_AC_4_11_10001612477",1,"https://ac24horas.com/2026/04/02/mailza-assis-toma-posse-como-governadora-do-acre/","A governadora do Acre, Mailza Assis Cameli (Progressistas), assumiu oficialmente o comando do Poder Executivo estadual nesta quinta-feira, 2, durante cerimônia realizada em frente ao Palácio Rio Branco","19726ba06a9ce63ac003fec3b2af88eb.bin","ok","exato"
"curada_governos","eventos_governos_fonte_oficial.csv","M2022_AC_4_11_10001612477",2,"https://acrenews.com.br/decisao-serena-escreve-o-governador-gladson-cameli-em-carta-renuncia-lida-agora-ha-pouco-na-assembleia-legislativa/","A saída será efetivada no dia 2 de abril, dentro do prazo legal de desincompatibilização para disputar as eleições de 2026. [...] Com a renúncia, a vice-governadora Mailza Assis assume o comando do Executivo estadual.","b7306a03126ec8e2701625330456315b.bin","ok","nenhum"
"curada_governos","eventos_governos_fonte_oficial.csv","M2002_AL_3_40_202",1,"https://www.gazetadealagoas.com.br/politica/53679/lessa-deixa-governo-para-tentar-senado","O agora ex-governador Ronaldo Lessa (PDT) declarou, na cerimônia de transmissão de cargo para o vice Luis Abílio de Sousa (PDT), ocorrida no início da noite de ontem","24095f50b73fbf4bef9c2fb1f377b6c6.bin","ok","exato"
"curada_governos","eventos_governos_fonte_oficial.csv","M2002_AL_3_40_202",2,"https://www1.folha.uol.com.br/fsp/brasil/fc0104200613.htm","três deixaram os cargos ontem para disputar uma vaga no Senado: Ronaldo Lessa (PDT), de Alagoas, Marconi Perillo (PSDB), Goiás, e Jarbas Vasconcelos (PMDB), Pernambuco.","26512f0af887bd2a13adad3a947fa3a2.htm","ok","exato"
