"id_mandato","url","motivo"
"M2010_RJ_3_15_190000000130","https://agenciabrasil.ebc.com.br/politica/noticia/2014-04/cabral-renuncia-e-pezao-e-convocado-para-assumir-o-cargo-de-governador-do","achado confirmado no documento, mas a fonte e do tipo 'imprensa' (nao admissivel para fonte_1)"
"M2022_RJ_3_22_190001615753","https://agenciabrasil.ebc.com.br/politica/noticia/2026-03/entenda-o-que-acontece-no-rio-com-renuncia-de-claudio-castro","achado confirmado no documento, mas a fonte e do tipo 'imprensa' (nao admissivel para fonte_1)"
"M1998_CE_3_45_600000603000451",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2002_DF_4_15_1594",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_AP_3_12_10081",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_AP_4_12_10082",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_MA_3_12_10095",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_MA_4_12_10112",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_PI_3_13_10075",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_PI_4_13_10090",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_TO_3_15_10254",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2006_TO_4_15_10263",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2010_PI_3_40_180000000334",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2010_PI_4_40_180000000335",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2022_AC_3_11_10001612476",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2022_AC_4_11_10001612477",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2022_AM_3_44_40001619528",NA,"achado nao confirmado mecanicamente contra o documento baixado"
"M2022_AM_4_44_40001619527",NA,"achado nao confirmado mecanicamente contra o documento baixado"
