esfera,forma_saida,N
estadual,fim_regular,4775
estadual,nao_observado,2165
estadual,renuncia,320
estadual,outro,254
estadual,licenca,78
estadual,assumiu_titular,56
estadual,falecimento,44
estadual,cassacao,40
estadual,afastamento,35
estadual,suplente_efetivado,21
estadual,nao_tomou_posse,2
estadual,impeachment,1
federal,fim_regular,2973
federal,nao_observado,561
federal,renuncia,245
federal,falecimento,50
federal,cassacao,27
federal,retotalizacao,7
federal,nao_tomou_posse,5
federal,aposentadoria,5
federal,impeachment,1
federal,assumiu_titular,1
municipal,nao_observado,421918
municipal,fim_regular,45044
municipal,outro,2952
municipal,assumiu_titular,1257
municipal,substituicao_inferida_munic,602
municipal,perda_do_mandato_inferida_por_eleicao_suplementar,597
municipal,renuncia,194
municipal,falecimento,187
municipal,cassacao,167
municipal,licenca,121
municipal,afastamento,37
municipal,suplente_efetivado,20
municipal,nao_tomou_posse,10
