chave_cand,comp_raiz,id_pessoa_esperado,leitura_fusao
2004_42714_13_25630_12,r101167,BOCEL0120359,
2004_42714_13_25640_13,r101167,BOCEL1561430,
2008_42714_13_25640_52516,r101167,BOCEL1561430,
2012_42714_13_25630_130000050910,r101167,BOCEL0120359,
2016_42714_13_25630_130000055398,r101167,BOCEL0120359,
2024_42714_12_44_130001911782,r101167,BOCEL0120359,
2004_42790_11_11_17,r101203,BOCEL0226490,
2004_42790_12_11_18,r101203,BOCEL1561398,
2008_42790_11_14_13007,r101203,BOCEL0226490,
2004_43257_12_45_38,r101458,BOCEL1561197,
2020_43257_12_11_130000634727,r101458,BOCEL0183511,
2024_43257_12_11_130001949193,r101458,BOCEL0183511,
2004_43516_13_13000_59,r101605,BOCEL0203073,
2008_43516_13_13000_53701,r101605,BOCEL0203073,
2008_43516_13_13456_53700,r101605,BOCEL1561387,
2012_43516_13_13000_130000075958,r101605,BOCEL0203073,
2016_43516_13_13000_130000065496,r101605,BOCEL0203073,
2004_44113_13_12312_44,r101947,BOCEL0190911,
2012_44113_13_11311_130000003714,r101947,BOCEL1561234,
2000_12696_13_25601_143,r10680,BOCEL1560348,nome_diferente_mesmo_nascimento
2000_12696_13_25606_147,r10680,BOCEL0069383,
2004_12696_12_25_2,r10680,BOCEL0069383,
2004_12696_13_25601_3,r10680,BOCEL1560348,nome_diferente_mesmo_nascimento
2008_12696_11_40_9291,r10680,BOCEL0069383,
2012_12696_11_40_180000002102,r10680,BOCEL0069383,
2000_12696_13_25603_145,r10685,BOCEL1560067,
2000_12696_13_25610_150,r10685,BOCEL0010749,
2004_12696_13_25603_5,r10685,BOCEL1560067,
2004_12696_13_25610_10,r10685,BOCEL0010749,
2008_12696_13_25610_7828,r10685,BOCEL0010749,
2016_12696_13_13000_180000009754,r10685,BOCEL0010749,
2000_13218_13_41141_224,r11006,BOCEL1559719,
2000_13218_13_41234_215,r11006,BOCEL0020322,
2004_13218_13_31111_62,r11006,BOCEL0020322,
2012_13218_13_22222_60000007900,r11006,BOCEL0020322,
2016_13218_13_65412_60000016086,r11006,BOCEL1559719,
2024_13218_13_40000_60002113899,r11006,BOCEL1559719,
2004_64211_11_15_90,r112547,BOCEL1561169,nome_diferente_mesmo_nascimento
2004_64211_13_15100_105,r112547,BOCEL0178664,
2008_64211_11_15_27359,r112547,BOCEL1561169,nome_diferente_mesmo_nascimento
2008_64211_12_15_27360,r112547,BOCEL0178664,
2016_64211_11_15_250000090235,r112547,BOCEL0178664,
2020_64211_11_15_250001119129,r112547,BOCEL0178664,
2004_65676_11_11_52,r113416,BOCEL0237562,
2004_65676_13_11222_55,r113416,BOCEL1561424,
2004_67490_11_25_5,r114473,BOCEL0051691,
2004_67490_13_15555_36,r114473,BOCEL1560179,
2008_67490_11_45_47717,r114473,BOCEL0051691,
2008_67490_13_15555_60567,r114473,BOCEL1560179,
2000_13919_13_41610_92,r11785,BOCEL0095382,
2004_13919_13_23610_41,r11785,BOCEL0095382,
2004_13919_13_23777_40,r11785,BOCEL1560578,
2000_14176_13_14567_39,r11992,BOCEL0035827,
2000_14176_13_14634_38,r11992,BOCEL1559950,
2004_14176_13_11111_71,r11992,BOCEL0035827,
2004_79294_13_31456_94,r122063,BOCEL0037883,
2008_79294_13_45645_5468,r122063,BOCEL1559984,
2012_79294_13_45678_160000008200,r122063,BOCEL1559984,
2016_79294_13_55456_160000017469,r122063,BOCEL0037883,
2000_14893_13_45111_71,r12599,BOCEL1560761,
2000_14893_13_45333_64,r12599,BOCEL0120482,
2004_14893_13_45333_10,r12599,BOCEL0120482,
2000_87742_13_11650_286,r129192,BOCEL1561273,
2004_87742_13_11650_20,r129192,BOCEL1561273,
2004_87742_13_11660_21,r129192,BOCEL0156626,
2008_87742_12_15_5171,r129192,BOCEL1561273,
2008_87742_13_11660_5182,r129192,BOCEL0156626,
2012_87742_12_15_210000007783,r129192,BOCEL1561273,
2012_87742_13_11660_210000007795,r129192,BOCEL0156626,
2016_87742_13_12660_210000002924,r129192,BOCEL0156626,
2020_87742_13_12660_210000755187,r129192,BOCEL0156626,
2004_90921_13_23271_244,r132584,BOCEL0056263,
2008_90921_13_15271_133,r132584,BOCEL0056263,
2016_90921_13_55789_110000001021,r132584,BOCEL0056263,
2020_90921_13_11123_110001072066,r132584,BOCEL1560425,
2024_90921_13_22111_110002004184,r132584,BOCEL1560425,
2004_92703_11_22_71,r134109,BOCEL0005156,
2004_92703_12_22_72,r134109,BOCEL1560779,
2008_92703_11_22_13164,r134109,BOCEL0005156,
2018_GO_5_111_90000609234,r134109,BOCEL0005156,
2000_15938_13_13622_295,r13478,BOCEL1559736,
2000_15938_13_13666_291,r13478,BOCEL0021754,
2004_15938_13_13666_162,r13478,BOCEL0021754,
2000_16292_11_11_151,r13874,BOCEL0023224,
2000_16292_13_11222_148,r13874,BOCEL1559757,
2008_16292_11_12_3251,r13874,BOCEL0023224,
2000_16691_12_251_123,r14126,BOCEL0015311,
2000_16691_13_25623_126,r14126,BOCEL1559624,
2004_16691_11_25_80,r14126,BOCEL0015311,
2004_16691_13_25623_86,r14126,BOCEL1559624,
2008_16691_11_11_370,r14126,BOCEL0015311,
2016_16691_13_55666_200000003612,r14126,BOCEL0015311,
2020_16691_13_45666_200001211480,r14126,BOCEL0015311,
2000_17930_13_25611_3,r14879,BOCEL1560019,
2008_17930_13_25000_1718,r14879,BOCEL0040849,
2012_17930_13_25000_200000008457,r14879,BOCEL0040849,
2016_17930_13_25000_200000000675,r14879,BOCEL0040849,
2000_18112_13_25602_83,r14984,BOCEL0036553,
2000_18112_13_25611_87,r14984,BOCEL1559965,
2004_18112_13_25602_102,r14984,BOCEL0036553,
2008_18112_13_25602_875,r14984,BOCEL0036553,
2000_18538_13_40123_37,r15234,BOCEL0045608,
2004_18538_12_15_43,r15234,BOCEL0045608,
2004_18538_13_40111_33,r15234,BOCEL1560092,
2008_18538_12_23_2231,r15234,BOCEL0045608,
2008_18538_13_40111_1866,r15234,BOCEL1560092,
2012_18538_13_10000_200000006336,r15234,BOCEL0045608,
2012_18538_13_40111_200000006255,r15234,BOCEL1560092,
2016_18538_13_55111_200000003210,r15234,BOCEL1560092,
2016_18538_13_55555_200000003209,r15234,BOCEL0045608,
2020_18538_13_10000_200001098006,r15234,BOCEL0045608,
2020_18538_13_10111_200001097999,r15234,BOCEL1560092,
2024_18538_13_44111_200002042064,r15234,BOCEL1560092,
2024_18538_13_44444_200002042071,r15234,BOCEL0045608,
2000_18554_11_11_248,r15237,BOCEL0023697,
2000_18554_12_151_247,r15237,BOCEL1559763,
2000_18619_13_11611_100,r15273,BOCEL0015718,
2004_18619_12_15_30,r15273,BOCEL0015718,
2004_18619_13_23122_32,r15273,BOCEL1559627,
2008_18619_12_15_252,r15273,BOCEL0015718,
2008_18619_13_23222_255,r15273,BOCEL1559627,
2000_18651_12_111_181,r15294,BOCEL1559833,
2000_18651_13_11666_163,r15294,BOCEL0027750,
2004_18651_13_11666_21,r15294,BOCEL0027750,
2008_18651_13_11666_2522,r15294,BOCEL0027750,
2000_19070_12_121_283,r15587,BOCEL0013639,
2000_19070_13_12304_284,r15587,BOCEL1559597,
2004_19070_11_15_157,r15587,BOCEL0013639,
2000_19259_13_12222_216,r15831,BOCEL0041005,
2000_19259_13_12345_215,r15831,BOCEL1560020,
2004_19259_13_12222_101,r15831,BOCEL0041005,
2004_19259_13_12345_102,r15831,BOCEL1560020,
2008_19259_13_15555_6247,r15831,BOCEL0041005,
2008_19259_13_40444_6239,r15831,BOCEL1560020,
2012_19259_12_45_150000009929,r15831,BOCEL1560020,
2012_19259_13_15555_150000010637,r15831,BOCEL0041005,
2016_19259_12_45_150000011056,r15831,BOCEL1560020,
2016_19259_13_15555_150000009739,r15831,BOCEL0041005,
2020_19259_13_23333_150000748089,r15831,BOCEL0041005,
2024_19259_13_40000_150002019652,r15831,BOCEL0041005,
2000_20613_13_14628_135,r17202,BOCEL0031947,
2016_20613_12_40_150000009541,r17202,BOCEL1559892,
2000_22039_13_25611_169,r18157,BOCEL1559606,
2000_22039_13_25661_166,r18157,BOCEL0014088,
2004_22039_13_15661_125,r18157,BOCEL0014088,
2008_22039_13_45661_1336,r18157,BOCEL0014088,
2000_22071_13_15655_165,r18177,BOCEL0004432,
2000_22071_13_15688_157,r18177,BOCEL1559456,
2004_22071_13_45555_128,r18177,BOCEL0004432,
