chave_cand_saiu,nome_saiu,situacao_candidatura_saiu,substituido_saiu,id_ant,chave_cand_ficou,nome_ficou,regra_chapa_ficou,mesma_pessoa,id_final
1998_ES_6_1414_800000806014142,ARLINDO MELLO,RENÚNCIA,,15,1998_ES_6_1414_800000806014141,JOSÉ CARLOS ELIAS,,FALSE,27342
2000_09610_13_12345_323,JEOVÁ ALVES DE SOUSA,HOMOLOGAÇÃO DE RENÚNCIA,N,73732,2000_09610_13_12345_322,JOSUÉ ALVES DE SOUSA,,FALSE,74488
2000_69337_13_22616_63,FRANCISCO SADAO IGARASHI,HOMOLOGAÇÃO DE RENÚNCIA,N,149416,2000_69337_13_22616_241,HAMILTON LUIS FOZ,,FALSE,149419
2000_78573_13_14650_161,CASEMIRO PASA,HOMOLOGAÇÃO DE RENÚNCIA,N,96792,2000_78573_13_14650_128,SINVAL SCHREINER,,FALSE,1560595
2016_52159_12_14_130000073840,EUGENIO HENRIQUE PRADO SALES,INAPTO,S,246581,2016_52159_12_14_130000091369,LUIZ ALBERTO ROSA,numero_titular_imputado,FALSE,1561412
2016_72079_12_15_250000017337,JOSÉ CARLOS BUZÃO,INAPTO,S,208218,2016_72079_12_15_250000093577,ANGELA MARIA LONGHINI DOMINGOS,numero_titular_imputado,FALSE,246641
2020_14591_12_22_60000642913,VALTER JOCELIO DA PAZ,INAPTO,,42085,2020_14591_12_22_60001247872,MARIA SIMONE MARQUES NASCIMENTO DA PAZ,numero_titular_imputado,FALSE,192443
2020_16918_12_11_200000916912,SILVIO GONZAGA NOBRE,INAPTO,,62271,2020_16918_12_11_200000829502,SILVIO GONZAGA NOBRE,numero_titular_imputado,TRUE,62271
2020_40576_12_36_130001193682,ANICETO ARI DE SOUZA,INAPTO,,244735,2020_40576_12_36_130001265799,CARLOS ROBERTO RODRIGUES,numero_titular_imputado,FALSE,1561404
2020_58440_12_45_190001108611,JOÃO CARLOS DIAS DE OLIVEIRA,INAPTO,,59,2020_58440_12_45_190001109446,JOÃO CARLOS DIAS DE OLIVEIRA,numero_titular_imputado,FALSE,1561478
2020_68675_12_25_250001095919,RICARDO DONIZETE DA SILVA,INAPTO,,261539,2020_68675_12_25_250001270597,ANTONIO CARLOS FRANCO,numero_titular_imputado,FALSE,238186
2024_67512_12_22_250002367964,NELSON JOSE NETTO CAMACHO,#NE,,252817,2024_67512_12_22_250002382817,HELIO APARECIDO DE CARVALHO,numero_titular_imputado,FALSE,1561450
