"leitura","identidade","id_mandato","id_pessoa","sg_uf","fonte_atual","data_fim_atual","cargo_a","municipio_a","ano_a","nome_a","nasc_a","cargo_b","municipio_b","ano_b","nome_b","nasc_b","id_mandato_b","posse_b","data_posse_b","exercicio_b","fonte_exercicio_b","forma_b","mesmo_cpf","mesmo_titulo","mesmo_nasc","mesmo_nome","sapl_registros","sapl_titular","sapl_fim","sapl_legislatura_fim","sapl_afastamento","sapl_observacao","sapl_url","fim_da_casa_convencional"
"homonimo_provavel","documento_diverge","M2010_PE_6_1333_170000000749","BOCEL0009112","PE","camara_api","2015-01-31","DEPUTADO FEDERAL","PERNAMBUCO","2010","JOAO PAULO LIMA E SILVA","31/12/1952","VICE-PREFEITO","RECIFE","2012","LUCIANO ROBERTO ROSAS DE SIQUEIRA","05/09/1946","M2012_25313_12_40_170000005777","2013-01-01",NA,"2016-08-15","tse_reeleicao","nao_observado",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"homonimo_provavel","documento_diverge","M2014_RS_7_15444_210000000161","BOCEL0180741","RS","assembleia_portal","2019-01-31","DEPUTADO ESTADUAL","RIO GRANDE DO SUL","2014","VILMAR PERIN ZANCHIN","13/02/1972","VEREADOR","MARAU","2016","VILMO PERIN ZANCHIN","13/02/1972","M2016_87378_13_15444_210000024085","2017-01-01",NA,NA,NA,"outro",FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"homonimo_provavel","documento_diverge","M2018_RS_7_15444_210000605346","BOCEL0180741","RS","assembleia_portal","2023-01-31","DEPUTADO ESTADUAL","RIO GRANDE DO SUL","2018","VILMAR PERIN ZANCHIN","13/02/1972","VEREADOR","MARAU","2020","VILMO PERIN ZANCHIN","13/02/1972","M2020_87378_13_15444_210000807427","2021-01-01",NA,NA,NA,"outro",FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2000_01392_13_15888_193","BOCEL0002228","AC","sapl_municipal","2004-12-31","VEREADOR","RIO BRANCO","2000","FRANCISCO BRIGIDO DA COSTA","09/03/1958","DEPUTADO FEDERAL","ACRE","2002","FRANCISCO BRÍGIDO DA COSTA","09/03/1958","M2002_AC_6_1588_244","2003-02-01","2005-02-23",NA,NA,"fim_regular",TRUE,TRUE,TRUE,FALSE,1,"TRUE","2004-12-31","2004-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/146/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2000_01392_13_65123_329","BOCEL0004589","AC","sapl_municipal","2004-12-31","VEREADOR","RIO BRANCO","2000","MARIA PERPÉTUA DE ALMEIDA","28/12/1964","DEPUTADO FEDERAL","ACRE","2002","MARIA PERPÉTUA DE ALMEIDA","28/12/1964","M2002_AC_6_6513_106","2003-02-01","2003-02-01","2006-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2004-12-31","2004-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/155/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2004_01392_13_23100_75","BOCEL0012566","AC","sapl_municipal","2008-12-31","VEREADOR","RIO BRANCO","2004","DONALD FERNANDES DA COSTA","29/08/1943","DEPUTADO ESTADUAL","ACRE","2006","DONALD FERNANDES DA COSTA","29/08/1943","M2006_AC_7_23100_10241","2007-02-01","2007-02-01",NA,NA,"fim_regular",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2008-12-31","2008-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/163/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2008_01392_13_40012_227","BOCEL0005599","AC","sapl_municipal","2012-12-31","VEREADOR","RIO BRANCO","2008","ASTERIO DE PAULA MOREIRA FILHO","24/02/1961","DEPUTADO ESTADUAL","ACRE","2010","ASTERIO DE PAULA MOREIRA FILHO","24/02/1961","M2010_AC_7_44012_10000000351","2011-02-01","2011-02-01","2014-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2012-12-31","2012-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/180/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2012_01392_13_15555_10000000891","BOCEL0007922","AC","sapl_municipal","2016-12-31","VEREADOR","RIO BRANCO","2012","ELIANE PEREIRA SINHASIQUE","12/12/1969","DEPUTADO ESTADUAL","ACRE","2014","ELIANE PEREIRA SINHASIQUE","12/12/1969","M2014_AC_7_15555_10000000532","2015-02-01","2015-01-01","2018-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2016-12-31","2016-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/196/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_01392_13_15555_10000001226","BOCEL0018718","AC","sapl_municipal","2020-12-31","VEREADOR","RIO BRANCO","2016","ROBERTO DUARTE JÚNIOR","25/04/1975","DEPUTADO ESTADUAL","ACRE","2018","ROBERTO DUARTE JUNIOR","25/04/1975","M2018_AC_7_15000_10000610628","2019-02-01","2019-02-01",NA,NA,"fim_regular",TRUE,TRUE,TRUE,FALSE,1,"TRUE","2020-12-31","2020-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/226/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2020_01392_13_12222_10000851435","BOCEL0017457","AC","sapl_municipal","2024-12-31","VEREADOR","RIO BRANCO","2020","MICHELLE DE OLIVEIRA MELO WICIUK","01/06/1984","DEPUTADO ESTADUAL","ACRE","2022","MICHELLE DE OLIVEIRA MELO WICIUK","01/06/1984","M2022_AC_7_12555_10001622769","2023-02-01","2024-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2024-12-31","2024-12-31","","","https://sapl.riobranco.ac.leg.br/api/parlamentares/mandato/246/",TRUE
