id_mandato,cd_cargo,esfera,forma_saida,fonte_forma_saida,data_fim_efetiva,mandato_fim,nivel_esp,fontes,formas,n_fontes,nivel_grav,evento_declarado,nivel_ok
M2020_23370_13_55000_170000834654,13,municipal,fim_regular,sapl_municipal,2024-12-31,2024-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2016_53732_11_23_130000089763,11,municipal,falecimento,wikidata_obito,2018-05-02,2020-12-31,2,tse_suplementar;wikidata_obito,wikidata_obito=falecimento;tse_suplementar=perda_do_mandato_inferida_por_eleicao_suplementar,2,2,TRUE,TRUE
M2020_25356_13_40777_170000860035,13,municipal,fim_regular,sapl_municipal,2024-12-31,2024-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2016_48658_13_14333_130000059560,13,municipal,renuncia,sapl_observacao,2019-03-26,2020-12-31,1,sapl_municipal;sapl_observacao,sapl_municipal=fim_regular;sapl_observacao=renuncia,2,1,TRUE,TRUE
M2020_25950_13_15666_170000667886,13,municipal,fim_regular,sapl_municipal,2024-12-31,2024-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2020_19844_13_23111_150000803144,13,municipal,renuncia,sapl_observacao,2021-08-02,2024-12-31,1,sapl_municipal;sapl_observacao;tce,sapl_municipal=renuncia;tce=outro;sapl_observacao=renuncia,3,1,TRUE,TRUE
M2012_20273_11_45_150000001133,11,municipal,fim_regular,tce,2016-12-31,2016-12-31,1,tce;wikipedia,tce=fim_regular;wikipedia=fim_regular,2,1,FALSE,TRUE
M2016_19810_13_40040_150000005627,13,municipal,fim_regular,sapl_municipal,2020-12-31,2020-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2016_19755_13_55555_150000010169,13,municipal,fim_regular,sapl_municipal,2020-12-31,2020-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2020_23574_13_20620_170000828602,13,municipal,fim_regular,sapl_municipal,2024-12-31,2024-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2012_61697_13_55560_250000096250,13,municipal,falecimento,sapl_observacao,2016-12-31,2016-12-31,1,sapl_municipal;sapl_observacao,sapl_municipal=fim_regular;sapl_observacao=falecimento,2,1,TRUE,TRUE
M2020_23450_13_55777_170001218356,13,municipal,fim_regular,sapl_municipal,2024-12-31,2024-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2020_75515_13_55613_160000997420,13,municipal,falecimento,sapl_observacao,2021-05-29,2024-12-31,1,sapl_municipal;sapl_observacao,sapl_municipal=falecimento;sapl_observacao=falecimento,2,1,TRUE,TRUE
M2012_19836_13_13333_150000001243,13,municipal,fim_regular,sapl_municipal,2016-12-31,2016-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2000_18015_11_11_164,11,municipal,fim_regular,wikipedia,2004-12-31,2004-12-31,2,ibge_munic;wikipedia,wikipedia=fim_regular;ibge_munic=substituicao_inferida_munic,2,2,FALSE,TRUE
M2016_47430_13_15222_130000022610,13,municipal,cassacao,sapl_observacao,2020-08-10,2020-12-31,1,sapl_municipal;sapl_observacao,sapl_municipal=outro;sapl_observacao=cassacao,2,1,TRUE,TRUE
M2012_19658_13_11000_150000005626,13,municipal,fim_regular,sapl_municipal,2016-12-31,2016-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2016_19810_13_70111_150000011107,13,municipal,fim_regular,sapl_municipal,2020-12-31,2020-12-31,1,sapl_municipal;tce,sapl_municipal=fim_regular;tce=fim_regular,2,1,FALSE,TRUE
M2002_BA_7_25118_609,7,estadual,fim_regular,assembleia_portal,2007-01-31,2007-01-31,1,assembleia_portal;wikidata,wikidata=fim_regular;assembleia_portal=fim_regular,2,1,FALSE,TRUE
M2018_PR_7_55555_160000619865,7,estadual,falecimento,wikipedia,2021-04-09,2023-01-31,1,assembleia_portal;wikipedia,assembleia_portal=outro;wikipedia=falecimento,2,2,TRUE,TRUE
