id_mandato,esfera,forma_saida,fonte_forma_saida,data_posse,data_fim_efetiva,mandato_fim
M2002_RS_6_1412_400,federal,renuncia,camara_api,2003-02-01,2007-01-31,2007-01-31
M2014_RS_6_1301_210000000404,federal,renuncia,camara_api,2015-02-01,2019-01-31,2019-01-31
M2006_BA_7_19678_10880,estadual,licenca,assembleia_portal,2007-02-01,2011-01-31,2011-01-31
M2014_BA_7_12580_50000000290,estadual,licenca,assembleia_portal,2015-02-01,2019-01-31,2019-01-31
M2014_BA_7_13467_50000000338,estadual,afastamento,assembleia_portal,2015-02-01,2019-01-31,2019-01-31
M2000_00019_11_15_115,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00051_11_12_128,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_00078_11_11_742,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00272_11_14_382,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00299_11_25_221,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_00396_11_25_118,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00612_11_15_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00639_11_13_367,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00647_11_45_50,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00663_11_15_318,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00710_11_13_81,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00744_11_25_426,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_00752_11_25_67,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_01392_11_15_315,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_01538_11_25_281,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02232_11_14_147,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02259_11_22_221,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02330_11_11_142,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02496_11_22_79,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02534_11_25_192,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02631_11_45_21,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02674_11_15_81,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02739_11_22_21,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02852_11_15_101,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_02895_11_15_161,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_03093_11_18_501,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04081_11_45_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04090_11_15_112,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04146_11_45_23,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04154_11_45_141,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_04162_11_15_393,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04480_11_14_74,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04626_11_40_200,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_04715_11_15_150,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_05134_11_45_77,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_05193_11_11_132,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_05690_11_15_61,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_05738_11_15_107,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_05770_11_15_81,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_05819_11_15_60,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_07030_11_41_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_07170_11_15_42,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_07374_11_15_225,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_07889_11_11_547,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_07935_11_45_352,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_08117_11_15_63,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_08168_11_25_126,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_08419_11_25_204,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_08443_11_25_90,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
