fontes,fonte_forma_saida,N
sapl_municipal;tce,sapl_municipal,937
assembleia_portal;wikidata,assembleia_portal,338
sapl_municipal;sapl_observacao,sapl_observacao,238
assembleia_portal;cargo_incompativel,assembleia_portal,140
portal_camara;tce,portal_camara,84
cargo_incompativel;sapl_municipal,sapl_municipal,83
wikidata;wikipedia,wikidata,63
tce;wikipedia,tce,48
ibge_munic;wikipedia,wikipedia,46
ibge_munic;tse_suplementar,tse_suplementar,33
assembleia_portal;wikipedia,wikipedia,28
assembleia_api;wikidata,assembleia_api,24
assembleia_api;cargo_incompativel,assembleia_api,20
assembleia_historico;wikipedia,wikipedia,19
cargo_incompativel;ibge_munic,ibge_munic,19
cargo_incompativel;sapl_municipal;sapl_observacao,sapl_observacao,19
assembleia_portal;cargo_incompativel;wikipedia,wikipedia,18
assembleia_historico;cargo_incompativel,assembleia_historico,17
cargo_incompativel;diario_oficial,diario_oficial,16
assembleia_historico;cargo_incompativel;wikipedia,assembleia_historico,13
assembleia_portal;cargo_incompativel;wikidata,assembleia_portal,11
tse_suplementar;wikipedia,tse_suplementar,10
assembleia_inventario;cargo_incompativel,fonte_oficial_curada,9
assembleia_portal;wikipedia,assembleia_portal,9
diario_oficial;sapl_municipal,diario_oficial,8
assembleia_historico;wikipedia,assembleia_historico,7
assembleia_portal;cargo_incompativel;wikipedia,assembleia_portal,7
cargo_incompativel;tce,tce,6
tse_suplementar;wikipedia,wikipedia,5
cargo_incompativel;wikipedia,wikipedia,5
sapl_municipal;sapl_observacao;tce,sapl_observacao,5
diario_oficial;wikipedia,diario_oficial,4
assembleia_portal;wikidata_obito,assembleia_portal,4
assembleia_historico;wikidata,assembleia_historico,4
tce;tse_suplementar,tse_suplementar,4
wikidata;wikidata_obito,wikidata_obito,4
cargo_incompativel;wikidata,wikidata,3
cargo_incompativel;diario_oficial;sapl_municipal,diario_oficial,3
sapl_municipal;tce,tce,3
assembleia_portal;wikidata;wikidata_obito,wikidata_obito,2
ibge_munic;wikidata_obito,wikidata_obito,2
cargo_incompativel;ibge_munic;wikipedia,wikipedia,2
ibge_munic;wikidata;wikipedia,wikidata,2
diario_oficial;wikidata,diario_oficial,2
assembleia_api;wikipedia,wikipedia,2
cargo_incompativel;wikidata,fonte_oficial_curada,2
assembleia_portal;wikidata_obito,wikidata_obito,2
cargo_incompativel;tse_suplementar,tse_suplementar,2
diario_oficial;portal_camara,diario_oficial,2
cargo_incompativel;portal_camara,portal_camara,2
assembleia_api;cargo_incompativel;wikipedia,assembleia_api,2
wikidata;wikipedia,wikipedia,2
assembleia_portal;wikidata;wikipedia,assembleia_portal,2
assembleia_portal;wikidata_obito;wikipedia,assembleia_portal,2
tce;wikidata_obito,wikidata_obito,2
assembleia_portal;cargo_incompativel;wikidata;wikipedia,wikidata,2
ibge_munic;wikidata;wikidata_obito,wikidata_obito,1
assembleia_portal;cargo_incompativel;wikidata,wikidata,1
assembleia_inventario;wikidata,fonte_oficial_curada,1
assembleia_inventario;cargo_incompativel;wikidata,fonte_oficial_curada,1
assembleia_historico;wikidata;wikipedia,wikipedia,1
assembleia_portal;wikidata;wikidata_obito;wikipedia,assembleia_portal,1
cargo_incompativel;diario_oficial;portal_camara,diario_oficial,1
tce;wikipedia,wikipedia,1
tse_suplementar;wikidata_obito,wikidata_obito,1
assembleia_portal;wikidata_obito;wikipedia,wikidata_obito,1
assembleia_historico;wikidata_obito;wikipedia,assembleia_historico,1
wikidata_obito;wikipedia,fonte_oficial_curada,1
assembleia_inventario;cargo_incompativel,assembleia_inventario,1
cargo_incompativel;sapl_municipal;tce,sapl_municipal,1
tce;wikidata_obito,tce,1
diario_oficial;wikidata_obito;wikipedia,wikidata_obito,1
diario_oficial;sapl_municipal;sapl_observacao,sapl_observacao,1
wikidata;wikidata_obito;wikipedia,wikidata_obito,1
cargo_incompativel;wikidata;wikipedia,wikidata,1
assembleia_api;cargo_incompativel,fonte_oficial_curada,1
diario_oficial;sapl_municipal,sapl_municipal,1
