id_mandato,cd_cargo,esfera,forma_saida,fonte_forma_saida,data_fim_efetiva,mandato_fim,forma_esp,fonte_esp,fonte_ok
M1998_DF_8_22111_700000708221111,8,estadual,renuncia,fonte_oficial_curada,2001-12-19,2003-01-31,,,FALSE
M1998_ES_7_13456_800000807134561,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_ES_7_15311_800000807153111,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_GO_7_11105_900000907111051,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_11111_900000907111111,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_11116_900000907111161,7,estadual,renuncia,fonte_oficial_curada,2001-01-01,2003-01-31,outro,cargo_incompativel,FALSE
M1998_GO_7_12644_900000907126441,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_13230_900000907132301,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15111_900000907151111,7,estadual,renuncia,fonte_oficial_curada,2001-01-01,2003-01-31,outro,cargo_incompativel,FALSE
M1998_GO_7_15115_900000907151151,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15116_900000907151161,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15118_900000907151181,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15121_900000907151211,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15123_900000907151231,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15126_900000907151261,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15131_900000907151311,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15134_900000907151341,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15135_900000907151351,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15136_900000907151361,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15141_900000907151411,7,estadual,renuncia,fonte_oficial_curada,2000-10-01,2003-01-31,outro,cargo_incompativel,FALSE
M1998_GO_7_15160_900000907151601,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15170_900000907151701,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15180_900000907151801,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_15190_900000907151901,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_18151_900000907181511,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_18181_900000907181811,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_20111_900000907201111,7,estadual,falecimento,fonte_oficial_curada,2000-09-20,2003-01-31,,,FALSE
M1998_GO_7_22123_900000907221231,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_22144_900000907221441,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_22200_900000907222001,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_22210_900000907222101,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_25111_900000907251111,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_25999_900000907259991,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_41111_900000907411111,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_41123_900000907411231,7,estadual,renuncia,fonte_oficial_curada,2001-10-31,2003-01-31,,,FALSE
M1998_GO_7_41141_900000907411411,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_41155_900000907411551,7,estadual,renuncia,fonte_oficial_curada,2000-12-31,2003-01-31,outro,cargo_incompativel,FALSE
M1998_GO_7_45111_900000907451111,7,estadual,renuncia,fonte_oficial_curada,2000-12-31,2003-01-31,outro,cargo_incompativel,FALSE
M1998_GO_7_45133_900000907451331,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_45150_900000907451501,7,estadual,renuncia,fonte_oficial_curada,2003-01-01,2003-01-31,,,FALSE
M1998_GO_7_45151_900000907451511,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_45155_900000907451551,7,estadual,falecimento,fonte_oficial_curada,2000-09-10,2003-01-31,,,FALSE
M1998_GO_7_45177_900000907451771,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_GO_7_65123_900000907651231,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_11133_110001107111331,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_13131_110001107131311,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_13222_110001107132221,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_14111_110001107141111,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_14140_110001107141401,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_15150_110001107151501,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_15152_110001107151521,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_15163_110001107151631,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_15666_110001107156661,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_22123_110001107221231,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_22150_110001107221501,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_23110_110001107231101,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_25123_110001107251231,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,fim_regular,assembleia_inventario,FALSE
M1998_MT_7_25150_110001107251501,7,estadual,fim_regular,fonte_oficial_curada,2003-01-31,2003-01-31,,,FALSE
M1998_MT_7_25151_110001107251511,7,estadual,renuncia,fonte_oficial_curada,2000-12-06,2003-01-31,outro,cargo_incompativel,FALSE
