esfera,cargo,ano_eleicao,mandatos,saida_observada,posse,exercicio,pct_saida,pct_posse,pct_exercicio,faltam_saida
estadual,DEPUTADO DISTRITAL,1998,24,3,1,18,12.5,4.2,75,21
estadual,DEPUTADO DISTRITAL,2002,24,3,0,15,12.5,0,62.5,21
estadual,DEPUTADO DISTRITAL,2006,24,3,0,0,12.5,0,0,21
estadual,DEPUTADO DISTRITAL,2010,24,1,0,11,4.2,0,45.8,23
estadual,DEPUTADO DISTRITAL,2014,24,22,0,16,91.7,0,66.7,2
estadual,DEPUTADO DISTRITAL,2018,24,23,0,18,95.8,0,75,1
estadual,DEPUTADO DISTRITAL,2022,24,0,1,0,0,4.2,0,24
estadual,DEPUTADO ESTADUAL,1998,1035,720,528,765,69.6,51,73.9,315
estadual,DEPUTADO ESTADUAL,2002,1035,779,564,774,75.3,54.5,74.8,256
estadual,DEPUTADO ESTADUAL,2006,1035,855,640,0,82.6,61.8,0,180
estadual,DEPUTADO ESTADUAL,2010,1035,886,675,575,85.6,65.2,55.6,149
estadual,DEPUTADO ESTADUAL,2014,1035,944,635,745,91.2,61.4,72,91
estadual,DEPUTADO ESTADUAL,2018,1035,956,721,724,92.4,69.7,70,79
estadual,DEPUTADO ESTADUAL,2022,1035,85,714,0,8.2,69,0,950
estadual,GOVERNADOR,1998,27,27,27,7,100,100,25.9,0
estadual,GOVERNADOR,2002,27,27,27,16,100,100,59.3,0
estadual,GOVERNADOR,2006,27,27,27,6,100,100,22.2,0
estadual,GOVERNADOR,2010,27,27,27,12,100,100,44.4,0
estadual,GOVERNADOR,2014,27,27,27,14,100,100,51.9,0
estadual,GOVERNADOR,2018,27,27,27,15,100,100,55.6,0
estadual,GOVERNADOR,2022,27,11,27,0,40.7,100,0,16
estadual,VICE-GOVERNADOR,1998,27,27,24,3,100,88.9,11.1,0
estadual,VICE-GOVERNADOR,2002,27,27,25,4,100,92.6,14.8,0
estadual,VICE-GOVERNADOR,2006,27,27,26,0,100,96.3,0,0
estadual,VICE-GOVERNADOR,2010,27,27,26,3,100,96.3,11.1,0
estadual,VICE-GOVERNADOR,2014,27,27,26,6,100,96.3,22.2,0
estadual,VICE-GOVERNADOR,2018,27,27,26,4,100,96.3,14.8,0
estadual,VICE-GOVERNADOR,2022,27,11,27,0,40.7,100,0,16
federal,DEPUTADO FEDERAL,1998,513,513,507,362,100,98.8,70.6,0
federal,DEPUTADO FEDERAL,2002,513,513,511,391,100,99.6,76.2,0
federal,DEPUTADO FEDERAL,2006,513,513,513,1,100,100,0.2,0
federal,DEPUTADO FEDERAL,2010,513,513,513,221,100,100,43.1,0
federal,DEPUTADO FEDERAL,2014,513,513,513,375,100,100,73.1,0
federal,DEPUTADO FEDERAL,2018,513,513,510,408,100,99.4,79.5,0
federal,DEPUTADO FEDERAL,2022,513,27,512,0,5.3,99.8,0,486
federal,PRESIDENTE,1998,1,1,1,0,100,100,0,0
federal,PRESIDENTE,2002,1,1,1,1,100,100,100,0
federal,PRESIDENTE,2006,1,1,1,0,100,100,0,0
federal,PRESIDENTE,2010,1,1,1,1,100,100,100,0
federal,PRESIDENTE,2014,1,1,1,0,100,100,0,0
federal,PRESIDENTE,2018,1,1,1,1,100,100,100,0
federal,PRESIDENTE,2022,1,0,1,0,0,100,0,1
federal,SENADOR,1998,27,27,27,12,100,100,44.4,0
federal,SENADOR,2002,54,54,54,0,100,100,0,0
federal,SENADOR,2006,27,27,27,6,100,100,22.2,0
