sg_uf,cargo,mandatos,saida_observada,posse,exercicio,pct_saida,faltam_saida
AC,DEPUTADO ESTADUAL,144,112,135,63,77.8,32
AC,DEPUTADO FEDERAL,48,41,48,22,85.4,7
AC,GOVERNADOR,6,6,6,2,100,0
AC,PREFEITO,132,35,38,109,26.5,97
AC,SENADOR,9,6,9,2,66.7,3
AC,VEREADOR,1334,147,195,556,11,1187
AC,VICE-GOVERNADOR,6,6,6,0,100,0
AC,VICE-PREFEITO,132,10,0,16,7.6,122
AL,DEPUTADO ESTADUAL,162,116,143,76,71.6,46
AL,DEPUTADO FEDERAL,54,45,54,21,83.3,9
AL,GOVERNADOR,6,5,6,2,83.3,1
AL,PREFEITO,612,47,44,478,7.7,565
AL,SENADOR,9,7,9,2,77.8,2
AL,VEREADOR,6172,84,133,2203,1.4,6088
AL,VICE-GOVERNADOR,6,5,5,1,83.3,1
AL,VICE-PREFEITO,607,18,0,98,3,589
AM,DEPUTADO ESTADUAL,144,69,87,68,47.9,75
AM,DEPUTADO FEDERAL,48,40,48,19,83.3,8
AM,GOVERNADOR,6,6,6,2,100,0
AM,PREFEITO,372,24,17,294,6.5,348
AM,SENADOR,9,6,9,3,66.7,3
AM,VEREADOR,4094,419,584,1642,10.2,3675
AM,VICE-GOVERNADOR,6,6,6,1,100,0
AM,VICE-PREFEITO,369,14,0,52,3.8,355
AP,DEPUTADO ESTADUAL,144,5,2,77,3.5,139
AP,DEPUTADO FEDERAL,48,44,48,23,91.7,4
AP,GOVERNADOR,6,5,6,3,83.3,1
AP,PREFEITO,96,41,49,71,42.7,55
AP,SENADOR,9,6,9,2,66.7,3
AP,VEREADOR,987,107,134,355,10.8,880
AP,VICE-GOVERNADOR,6,5,5,1,83.3,1
AP,VICE-PREFEITO,96,5,0,11,5.2,91
BA,DEPUTADO ESTADUAL,378,322,347,182,85.2,56
BA,DEPUTADO FEDERAL,234,196,234,130,83.8,38
BA,GOVERNADOR,6,5,6,3,83.3,1
BA,PREFEITO,2501,276,296,1980,11,2225
BA,SENADOR,9,6,9,1,66.7,3
BA,VEREADOR,26115,1082,1484,9108,4.1,25033
BA,VICE-GOVERNADOR,6,5,6,2,83.3,1
BA,VICE-PREFEITO,2493,43,0,337,1.7,2450
BR,PRESIDENTE,6,5,6,3,83.3,1
BR,VICE-PRESIDENTE,6,5,6,2,83.3,1
CE,DEPUTADO ESTADUAL,276,198,276,123,71.7,78
CE,DEPUTADO FEDERAL,132,110,132,62,83.3,22
CE,GOVERNADOR,6,5,6,2,83.3,1
CE,PREFEITO,1102,110,101,879,10,992
CE,SENADOR,9,6,9,1,66.7,3
CE,VEREADOR,12156,1936,2661,4620,15.9,10220
CE,VICE-GOVERNADOR,6,5,6,1,83.3,1
CE,VICE-PREFEITO,1099,40,0,145,3.6,1059
DF,DEPUTADO DISTRITAL,144,52,1,60,36.1,92
DF,DEPUTADO FEDERAL,48,41,48,12,85.4,7
DF,GOVERNADOR,6,6,6,3,100,0
DF,SENADOR,9,6,9,1,66.7,3
DF,VICE-GOVERNADOR,6,6,6,1,100,0
ES,DEPUTADO ESTADUAL,180,151,29,70,83.9,29
ES,DEPUTADO FEDERAL,60,50,60,27,83.3,10
ES,GOVERNADOR,6,6,6,3,100,0
ES,PREFEITO,468,62,56,368,13.2,406
ES,SENADOR,9,6,9,3,66.7,3
ES,VEREADOR,4917,793,955,2009,16.1,4124
ES,VICE-GOVERNADOR,6,6,4,0,100,0
ES,VICE-PREFEITO,467,23,0,46,4.9,444
GO,DEPUTADO ESTADUAL,246,206,28,102,83.7,40
GO,DEPUTADO FEDERAL,102,85,101,48,83.3,17
GO,GOVERNADOR,6,6,6,2,100,0
GO,PREFEITO,1472,96,73,1160,6.5,1376
GO,SENADOR,9,6,9,1,66.7,3
GO,VEREADOR,14464,859,1087,4884,5.9,13605
GO,VICE-GOVERNADOR,6,6,5,1,100,0
