chave_cand,ano_eleicao,cd_cargo,SG_UF,SG_UE,SG_PARTIDO,id_lista,votos,ordem_tse,ordem_suplencia_derivada
2016_03018_13_77555_230000002074,2016,13,RR,03018,SD,2016_03018_13_230000000209,920,6,5
2016_03018_13_70123_230000002075,2016,13,RR,03018,PT do B,2016_03018_13_230000000209,842,7,6
2016_03018_13_15123_230000002054,2016,13,RR,03018,PMDB,2016_03018_13_230000000209,646,8,7
2016_03018_13_77234_230000002076,2016,13,RR,03018,SD,2016_03018_13_230000000209,418,9,8
2016_03018_13_40123_230000002059,2016,13,RR,03018,PSB,2016_03018_13_230000000209,411,10,9
2016_03018_13_17234_230000002069,2016,13,RR,03018,PSL,2016_03018_13_230000000209,380,11,10
2016_03018_13_77123_230000002073,2016,13,RR,03018,SD,2016_03018_13_230000000209,377,12,11
2016_03018_13_27123_230000002071,2016,13,RR,03018,PSDC,2016_03018_13_230000000209,335,13,12
2016_03018_13_27333_230000002080,2016,13,RR,03018,PSDC,2016_03018_13_230000000209,276,14,13
2016_03018_13_40444_230000002057,2016,13,RR,03018,PSB,2016_03018_13_230000000209,236,15,14
2016_03018_13_17456_230000002081,2016,13,RR,03018,PSL,2016_03018_13_230000000209,218,16,15
2016_03018_13_27147_230000002065,2016,13,RR,03018,PSDC,2016_03018_13_230000000209,174,17,16
2016_03018_13_27234_230000002072,2016,13,RR,03018,PSDC,2016_03018_13_230000000209,152,18,17
2016_03018_13_70456_230000002082,2016,13,RR,03018,PT do B,2016_03018_13_230000000209,151,19,18
2016_03018_13_70000_230000002067,2016,13,RR,03018,PT do B,2016_03018_13_230000000209,144,20,19
2016_03018_13_40040_230000002056,2016,13,RR,03018,PSB,2016_03018_13_230000000209,96,21,20
2016_03018_13_40555_230000002060,2016,13,RR,03018,PSB,2016_03018_13_230000000209,45,22,21
2016_03018_13_15555_230000002053,2016,13,RR,03018,PMDB,2016_03018_13_230000000209,44,23,22
2016_03018_13_40111_230000002058,2016,13,RR,03018,PSB,2016_03018_13_230000000209,42,24,23
2016_03018_13_27345_230000002068,2016,13,RR,03018,PSDC,2016_03018_13_230000000209,16,25,24
2016_03018_13_40524_230000002061,2016,13,RR,03018,PSB,2016_03018_13_230000000209,14,26,25
2016_03018_13_17789_230000002079,2016,13,RR,03018,PSL,2016_03018_13_230000000209,2,27,26
2016_03018_13_40987_230000003047,2016,13,RR,03018,PSB,2016_03018_13_230000000209,0,5,27
2016_08346_13_55333_100000014504,2016,13,MA,08346,PSD,2016_08346_13_100000001070,0,16,15
2016_08346_13_55666_100000014505,2016,13,MA,08346,PSD,2016_08346_13_100000001070,0,15,16
2016_43672_13_90876_130000003388,2016,13,MG,43672,PROS,2016_43672_13_130000000181,0,19,18
2016_43672_13_90004_130000003391,2016,13,MG,43672,PROS,2016_43672_13_130000000181,0,18,19
2016_68772_13_45200_250000073219,2016,13,SP,68772,PSDB,2016_68772_13_250000004864,46,15,14
2016_68772_13_11270_250000073235,2016,13,SP,68772,PP,2016_68772_13_250000004864,46,14,15
