sg_uf,ano_eleicao,n_bocel,n_pareados,n_fonte,n_fonte_titulares,fonte,coletada,taxa_pareamento,legislatura_ano_inicio
AC,1998,24,17,25,25,sapl_api,TRUE,0.7083,1999
AC,2002,24,19,26,26,sapl_api,TRUE,0.7917,2003
AC,2006,24,21,28,28,sapl_api,TRUE,0.875,2007
AC,2010,24,23,24,24,sapl_api,TRUE,0.9583,2011
AC,2014,24,24,25,25,sapl_api,TRUE,1,2015
AC,2018,24,24,26,26,sapl_api,TRUE,1,2019
AC,2022,24,23,25,25,sapl_api,TRUE,0.9583,2023
AL,1998,27,2,2,2,sapl_api,TRUE,0.0741,1999
AL,2002,27,10,11,11,sapl_api,TRUE,0.3704,2003
AL,2006,27,27,27,27,sapl_api,TRUE,1,2007
AL,2010,27,25,27,27,sapl_api,TRUE,0.9259,2011
AL,2014,27,27,33,27,sapl_api,TRUE,1,2015
AL,2018,27,27,30,30,sapl_api,TRUE,1,2019
AL,2022,27,27,34,31,sapl_api,TRUE,1,2023
AM,1998,24,0,,,,FALSE,0,1999
AM,2002,24,0,,,,FALSE,0,2003
AM,2006,24,0,,,,FALSE,0,2007
AM,2010,24,21,27,27,sapl_api,TRUE,0.875,2011
AM,2014,24,21,24,24,sapl_api,TRUE,0.875,2015
AM,2018,24,23,27,26,sapl_api,TRUE,0.9583,2019
AM,2022,24,22,26,26,sapl_api,TRUE,0.9167,2023
AP,1998,24,0,,,,FALSE,0,1999
AP,2002,24,0,,,,FALSE,0,2003
AP,2006,24,0,,,,FALSE,0,2007
AP,2010,24,0,,,,FALSE,0,2011
AP,2014,24,0,,,,FALSE,0,2015
AP,2018,24,0,,,,FALSE,0,2019
AP,2022,24,0,,,,FALSE,0,2023
BA,1998,63,48,70,0,alba_legislatura,TRUE,0.7619,1999
BA,2002,63,47,70,0,alba_legislatura,TRUE,0.746,2003
BA,2006,63,50,70,0,alba_legislatura,TRUE,0.7937,2007
BA,2010,63,48,71,0,alba_legislatura,TRUE,0.7619,2011
BA,2014,63,48,69,0,alba_legislatura,TRUE,0.7619,2015
BA,2018,63,51,72,0,alba_legislatura,TRUE,0.8095,2019
BA,2022,63,54,72,0,alba_legislatura,TRUE,0.8571,2023
CE,1998,46,0,,,,FALSE,0,1999
CE,2002,46,0,,,,FALSE,0,2003
CE,2006,46,0,,,,FALSE,0,2007
CE,2010,46,0,,,,FALSE,0,2011
CE,2014,46,0,,,,FALSE,0,2015
CE,2018,46,0,,,,FALSE,0,2019
CE,2022,46,0,,,,FALSE,0,2023
DF,1998,24,9,31,24,cldf_legislaturas_anteriores,TRUE,0.375,1999
DF,2002,24,16,28,24,cldf_legislaturas_anteriores,TRUE,0.6667,2003
DF,2006,24,22,36,24,cldf_legislaturas_anteriores,TRUE,0.9167,2007
DF,2010,24,18,28,24,cldf_legislaturas_anteriores,TRUE,0.75,2011
DF,2014,24,21,25,25,cldf_legislaturas_anteriores,TRUE,0.875,2015
DF,2018,24,22,29,24,cldf_legislaturas_anteriores,TRUE,0.9167,2019
DF,2022,24,23,24,24,cldf_legislatura_atual,TRUE,0.9583,2023
ES,1998,30,0,,,,FALSE,0,1999
ES,2002,30,0,,,,FALSE,0,2003
ES,2006,30,0,,,,FALSE,0,2007
ES,2010,30,0,,,,FALSE,0,2011
ES,2014,30,0,,,,FALSE,0,2015
ES,2018,30,0,,,,FALSE,0,2019
ES,2022,30,0,,,,FALSE,0,2023
GO,1998,41,24,50,0,alego_legislaturas_anteriores,TRUE,0.5854,1999
GO,2002,41,29,43,0,alego_legislaturas_anteriores,TRUE,0.7073,2003
GO,2006,41,33,49,0,alego_legislaturas_anteriores,TRUE,0.8049,2007
GO,2010,41,34,55,0,alego_legislaturas_anteriores,TRUE,0.8293,2011
GO,2014,41,34,50,0,alego_legislaturas_anteriores,TRUE,0.8293,2015
GO,2018,41,38,48,0,alego_legislaturas_anteriores,TRUE,0.9268,2019
GO,2022,41,37,49,0,alego_legislaturas_anteriores,TRUE,0.9024,2023
MA,1998,42,0,,,,FALSE,0,1999
MA,2002,42,0,,,,FALSE,0,2003
