item,igual,motivo
3151/deputados,TRUE,identico
3151/historico,TRUE,identico
3155/deputados,TRUE,identico
3155/historico,TRUE,identico
4927/deputados,TRUE,identico
4927/historico,TRUE,identico
4928/deputados,TRUE,identico
4928/historico,TRUE,identico
4929/deputados,TRUE,identico
4929/historico,TRUE,identico
4930/deputados,TRUE,identico
4930/historico,TRUE,identico
4931/deputados,TRUE,identico
4931/historico,TRUE,identico
62881/deputados,TRUE,identico
62881/historico,TRUE,identico
62926/deputados,TRUE,identico
62926/historico,TRUE,identico
64224/deputados,TRUE,identico
64224/historico,TRUE,identico
64960/deputados,TRUE,identico
64960/historico,TRUE,identico
65498/deputados,TRUE,identico
65498/historico,TRUE,identico
65511/deputados,TRUE,identico
65511/historico,TRUE,identico
65551/deputados,TRUE,identico
65551/historico,TRUE,identico
65904/deputados,TRUE,identico
65904/historico,TRUE,identico
65987/deputados,TRUE,identico
65987/historico,TRUE,identico
66179/deputados,TRUE,identico
66179/historico,TRUE,identico
66385/deputados,TRUE,identico
66385/historico,TRUE,identico
66828/deputados,TRUE,identico
66828/historico,TRUE,identico
67138/deputados,TRUE,identico
67138/historico,TRUE,identico
