"item","igual","motivo"
3151,TRUE,"html identico byte a byte"
3155,TRUE,"html identico byte a byte"
4927,TRUE,"html identico byte a byte"
4928,TRUE,"html identico byte a byte"
4929,TRUE,"html identico byte a byte"
4930,TRUE,"html identico byte a byte"
4931,TRUE,"html identico byte a byte"
62881,TRUE,"html identico byte a byte"
62926,TRUE,"html identico byte a byte"
64224,TRUE,"html identico byte a byte"
64960,TRUE,"html identico byte a byte"
65498,TRUE,"html identico byte a byte"
65511,TRUE,"html identico byte a byte"
65551,TRUE,"html identico byte a byte"
65904,TRUE,"html identico byte a byte"
65987,TRUE,"html identico byte a byte"
66179,TRUE,"html identico byte a byte"
66385,TRUE,"html identico byte a byte"
66828,TRUE,"html identico byte a byte"
67138,TRUE,"html identico byte a byte"
