"item","igual","motivo"
"204379 Acácio Favacho",TRUE,"identico"
"220714 Adail Filho",TRUE,"identico"
"221328 Adilson Barroso",TRUE,"identico"
"204560 Adolfo Viana",TRUE,"identico"
"204528 Adriana Ventura",TRUE,"identico"
"121948 Adriano do Baldy",TRUE,"identico"
"74646 Aécio Neves",TRUE,"identico"
"160508 Afonso Florence",TRUE,"identico"
"136811 Afonso Hamm",TRUE,"identico"
"178835 Afonso Motta",TRUE,"identico"
"160527 Aguinaldo Ribeiro",TRUE,"identico"
"204495 Airton Faleiro",TRUE,"identico"
"204549 AJ Albuquerque",TRUE,"identico"
"73579 Alberto Fraga",TRUE,"identico"
"220538 Albuquerque",TRUE,"identico"
"160559 Alceu Moreira",TRUE,"identico"
"204501 Alencar Santana",TRUE,"identico"
"178972 Alex Manente",TRUE,"identico"
"220542 Alexandre Guimarães",TRUE,"identico"
"160545 Alexandre Leite",TRUE,"identico"
