"item","igual","motivo"
"lista_legislatura_51",TRUE,"conteudo identico ao parsear (fora Metadados.Versao, carimbo de hora da chamada)"
"lista_legislatura_52",TRUE,"conteudo identico ao parsear (fora Metadados.Versao, carimbo de hora da chamada)"
"lista_legislatura_53",TRUE,"conteudo identico ao parsear (fora Metadados.Versao, carimbo de hora da chamada)"
"lista_legislatura_54",TRUE,"conteudo identico ao parsear (fora Metadados.Versao, carimbo de hora da chamada)"
"lista_legislatura_55",TRUE,"conteudo identico ao parsear (fora Metadados.Versao, carimbo de hora da chamada)"
"lista_legislatura_56",FALSE,"conteudo difere -- fonte ao vivo mudou desde 13/09/2026: ListaParlamentarLegislatura.Parlamentares.Parlamentar[73].IdentificacaoParlamentar.UrlPaginaParticular: teste='https://www.camara.leg.br/deputados/178905' producao='<ausente>' | ListaParlamentarLegislatura.Parlamentares.Parlamentar[73].IdentificacaoParlamentar.EmailParlamentar: teste='dep.fabiogarcia@camara.leg.br' producao='sen.fabiogarcia@senado.leg.br'"
"lista_legislatura_57",FALSE,"conteudo difere -- fonte ao vivo mudou desde 13/09/2026: ListaParlamentarLegislatura.Parlamentares.Parlamentar[76].IdentificacaoParlamentar.UrlPaginaParticular: teste='https://www.camara.leg.br/deputados/178905' producao='<ausente>' | ListaParlamentarLegislatura.Parlamentares.Parlamentar[76].IdentificacaoParlamentar.EmailParlamentar: teste='dep.fabiogarcia@camara.leg.br' producao='sen.fabiogarcia@senado.leg.br'"
"codigo_1",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_2",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_3",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_4",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_5",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_6",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_7",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_9",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_10",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_11",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_12",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_13",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_16",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_17",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_19",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_20",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_21",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_22",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_23",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
"codigo_25",TRUE,"mandatos e detalhe identicos ao parsear (fora Metadados.Versao)"
