item,igual,motivo
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 1.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 2.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 3.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 4.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 5.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 6.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 7.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 8.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|DF|DEPUTADO DISTRITAL|Lista de deputados distritais do Distrito Federal da 9.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 1.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 10.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 11.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 12.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 13.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 14.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 15.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 16.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 17.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
estadual|BA|DEPUTADO ESTADUAL|Lista de deputados estaduais da Bahia da 18.ª legislatura,TRUE,"identico (metadado, revid e tabelas)"
