grupo,uf,sg_ue,nome,dominio,n_leg_inventario,n_legislatura_json,n_parlamentar_json,n_mandato_json,n_arquivos_html,n_caracteres_texto_html,n_nomes_recuperados,diagnostico,evidencia
"A_sapl3_cache_api","AC","01015","Capixaba","sapl.capixaba.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01031","Santa Rosa do Purus","sapl.santarosadopurus.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01066","Porto Walter","sapl.portowalter.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01074","Cruzeiro do Sul","sapl.cruzeirodosul.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01082","Rodrigues Alves","sapl.rodriguesalves.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01104","Jordão","sapl.jordao.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01457","Sena Madureira","sapl.senamadureira.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01511","Plácido de Castro","sapl.placidodecastro.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AC","01554","Manoel Urbano","sapl.manoelurbano.ac.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02054","Atalaia do Norte","sapl.atalaiadonorte.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02151","Boca do Acre","sapl.bocadoacre.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02232","Careiro","sapl.careiro.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02356","Humaitá","sapl.humaita.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02372","Santa Isabel do Rio Negro","sapl.santaisabeldorionegro.am.leg.br",0,0,1,0,NA,NA,1,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02550","Manaus","sapl.manaus.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02712","Pauini","sapl.pauini.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02852","Urucará","sapl.urucara.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","02895","Alvarães","sapl.alvaraes.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AM","98434","Rio Preto da Eva","sapl.riopretodaeva.am.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AP","06009","Pracuúba","sapl.pracuuba.ap.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AP","06084","Pedra Branca do Amapari","sapl.pedrabrancadoamapari.ap.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AP","06106","Serra do Navio","sapl.serradonavio.ap.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","AP","06130","Laranjal do Jari","sapl.laranjaldojari.ap.leg.br",2,2,0,0,NA,NA,0,"vazio_na_origem_legislatura_sem_parlamentar","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","BA","30872","Dias d'Ávila","sapl.diasdavila.ba.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","BA","30953","Guajeru","sapl.guajeru.ba.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","BA","33138","Alagoinhas","sapl.alagoinhas.ba.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
"A_sapl3_cache_api","BA","33154","Alcobaça","sapl.alcobaca.ba.leg.br",0,0,0,0,NA,NA,0,"vazio_na_origem_instancia_sem_legislatura","json valido e vazio; n_legislaturas do inventario medido na descoberta"
